testId,depth [m],surge velocity [m/s],sink_m [mm],trim [mm/m],sink_a [mm],sink_f [mm],depth under keel [m]
C0101A01_C2,21.59347,1.799786422884671,20.018726700000002,0.0053,19.409226699999998,20.628226700000003,10.79347
C0101A01_C4,21.59347,3.599572845769342,87.6326213,-0.1478,104.6296213,70.6356213,10.79347
C0101A01_C6,21.59347,4.499466057211677,156.04705429999999,-0.2747,187.63755429999998,124.45655430000001,10.79347
C0101A02_C4,16.1951025,3.599572845769342,132.6997732,-0.1949,155.1132732,110.28627320000001,5.3951025
C0101A03_C2,12.956082,1.799786422884671,42.4390686,-0.0173,44.4285686,40.4495686,2.1560819999999996
C0101A03_C4,12.956082,3.599572845769342,202.0200786,-0.2515,230.9425786,173.0975786,2.1560819999999996
C0101A03_C6,12.956082,4.499466057211677,329.9482216,-0.4033,376.3277216,283.5687216,2.1560819999999996
