# Wigley hull sinkage from figure 10 in Beguin, Mashcon 2013,
#VMODEL [m/s],	Fr[-],	Sinkage[m]
0.24760,	0.04998,   0.00011585
0.40440,	0.08164,   0.00031623
0.56120,	0.11329,   0.00063393
0.71800,	0.14494,   0.00110649
0.87480,	0.17660,   0.00179419
1.03150,	0.20823,   0.00282624
1.18830,	0.23988,   0.00460711
