# x [m], y [m], z [m]
1.40727, -0.123022, 0.0041908
1.46415, -0.121333, 0.00409328
1.429, -0.122438, 0.00437679
1.40727, -0.123022, 0.0041908
1.32864, -0.124504, 0.00444847
1.38554, -0.12353, 0.00423661
1.35037, -0.124193, 0.00432785
1.32864, -0.124504, 0.00444847
1.25, -0.125, 0.00494716
1.30691, -0.12474, 0.00419819
1.27174, -0.124961, 0.00424622
2.5, 0, -0.031153
2.42275, 0.0147428, -0.00662015
2.47866, 0.00413365, -0.018703
2.44411, 0.0107291, -0.00856564
2.42275, 0.0147428, -0.00662015
2.34538, 0.0288083, -0.00213592
2.40138, 0.0187047, -0.00589208
2.36678, 0.0249972, -0.00196164
2.34538, 0.0288083, -0.00213592
2.26786, 0.0420458, 0.000150722
2.32397, 0.0325561, -0.00198208
2.2893, 0.0384781, 0.000698136
2.26786, 0.0420458, 0.000150722
2.19018, 0.0543171, 0.00140017
2.2464, 0.0455393, 3.61304e-05
2.21167, 0.0510283, 0.00212675
2.19018, 0.0543171, 0.00140017
2.11235, 0.0655645, 0.00210391
2.16868, 0.0575273, 0.00118396
2.13387, 0.0625567, 0.00285878
2.11235, 0.0655645, 0.00210391
2.03437, 0.0758151, 0.00257745
2.09081, 0.0684961, 0.00188005
2.05594, 0.0730799, 0.00328769
2.03437, 0.0758151, 0.00257745
1.95628, 0.0850969, 0.00293126
2.0128, 0.0784764, 0.00236433
1.97788, 0.082627, 0.00356917
1.95628, 0.0850969, 0.00293126
1.87808, 0.0934292, 0.0032437
1.93468, 0.0874945, 0.00274349
1.89971, 0.0912211, 0.00379189
1.87808, 0.0934292, 0.0032437
1.79979, 0.100807, 0.00351574
1.85645, 0.0955644, 0.00307924
1.82144, 0.098864, 0.00398017
1.79979, 0.100807, 0.00351574
1.72141, 0.107217, 0.00374265
1.77813, 0.102676, 0.0033679
1.74308, 0.105543, 0.00412812
1.72141, 0.107217, 0.00374265
1.64295, 0.112648, 0.00392629
1.69973, 0.108817, 0.00361201
1.66464, 0.111246, 0.00423899
1.64295, 0.112648, 0.00392629
1.56444, 0.117093, 0.00406244
1.62126, 0.113975, 0.00381035
1.58614, 0.115963, 0.00431037
1.56444, 0.117093, 0.00406244
1.48587, 0.120551, 0.00417742
1.54273, 0.118148, 0.00397195
1.50759, 0.119694, 0.00435139
1.48587, 0.120551, 0.00417742
1.40727, 0.123022, 0.0041908
1.46415, 0.121333, 0.00409328
1.429, 0.122438, 0.00437679
1.40727, 0.123022, 0.0041908
1.32864, 0.124504, 0.00444846
1.38554, 0.12353, 0.00423661
