time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	° 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	mm 	
0.8000	34.9963	0.0001	0.0000	0.0000	-0.0038	0.0136	-0.0104	-0.0308	0.0233	0.0238	0.1372	-1.1011	-1.2156	-0.3636	0.3701	-0.9699	-0.1333
0.8250	34.9963	0.0001	0.0000	0.0000	0.0205	-0.0162	0.0081	0.0527	-0.0117	-0.3009	0.8290	0.7340	-0.1146	-0.6063	-0.5847	0.6322	-0.5763
0.8500	34.9963	0.0001	0.0000	0.0000	-0.0234	0.0220	0.0009	-0.0672	0.0204	0.3769	-0.6581	0.2499	0.6402	0.1074	-0.3350	-0.1312	0.0578
0.8750	34.9963	0.0001	0.0000	0.0000	0.0346	-0.0412	0.0140	0.1165	-0.0473	0.2521	0.3140	0.4787	2.0875	0.1802	0.2917	-0.2631	-0.1567
0.9000	34.9963	0.0001	0.0000	0.0000	0.0412	-0.0281	0.0026	0.0972	-0.0148	0.2877	-0.8747	-1.3411	-1.9348	-0.1694	-0.4280	0.2269	-0.4971
0.9250	34.9963	0.0001	0.0000	0.0000	-0.1002	-0.0261	-0.0056	-0.0482	-0.1521	0.2521	0.9699	0.1142	0.1341	0.1268	0.4875	-1.1207	0.3656
0.9500	34.9963	0.0001	0.0000	0.0000	-0.0260	0.0489	-0.0041	-0.1233	0.0713	-0.1011	-1.5551	-0.6355	0.8711	-0.1839	-0.2273	0.7217	-0.0121
0.9750	34.9963	0.0001	0.0000	0.0000	-0.0543	0.0262	-0.0061	-0.1063	-0.0022	-0.1618	-0.0594	1.2342	0.4004	0.6366	-0.3839	-0.0463	0.2350
1.0000	34.9963	0.0001	0.0000	0.0000	0.0684	0.0245	-0.0028	0.0197	0.1171	-0.3187	-1.1725	-0.8481	1.5548	0.0442	-0.0755	-0.4233	0.1884
1.0250	34.9963	0.0001	0.0000	0.0000	0.0478	0.0164	0.0022	0.0152	0.0805	-0.2081	-0.8139	-1.5620	1.0131	-0.2616	0.2379	-0.4045	-0.2639
1.0500	34.9963	0.0001	0.0000	0.0000	-0.0321	-0.0406	0.0105	0.0486	-0.1128	-0.3151	0.9658	-0.1710	-0.3099	-0.0723	0.2917	-0.6118	-0.5577
1.0750	34.9963	0.0001	0.0000	0.0000	-0.0258	0.0378	-0.0120	-0.1011	0.0495	-0.0690	0.5102	1.4592	-1.2777	-0.0043	0.6050	0.0856	-0.0214
1.1000	34.9963	0.0001	0.0000	0.0000	-0.0834	-0.0028	-0.0017	-0.0779	-0.0890	0.2878	-0.9075	-0.3335	-1.6951	-0.3102	-0.6826	-1.2716	0.1185
1.1250	34.9963	0.0001	0.0000	0.0000	0.0407	-0.0044	0.0020	0.0496	0.0319	0.2592	1.1853	0.9170	-0.4253	0.7191	0.3309	0.0573	-0.1007
1.1500	34.9963	0.0001	0.0000	0.0000	-0.0101	-0.0248	0.0062	0.0394	-0.0595	0.2521	-0.0250	-1.0645	-0.2211	0.6754	-0.3742	-0.3574	-0.7302
1.1750	34.9963	0.0001	0.0000	0.0000	-0.0449	-0.0047	-0.0003	-0.0355	-0.0543	0.2771	1.1560	0.5790	0.8444	-0.0966	-0.2615	0.2505	-0.0447
1.2000	34.9963	0.0001	0.0000	0.0000	0.0617	-0.0114	0.0047	0.0844	0.0389	0.1379	-1.0413	0.0684	0.4360	0.6900	0.4288	-0.1783	0.2490
1.2250	34.9963	0.0001	0.0000	0.0000	0.0609	0.0004	0.0047	0.0601	0.0617	-0.1617	-0.1941	0.4267	-0.6651	-0.3636	0.1449	0.0479	-0.0074
1.2500	34.9963	0.0001	0.0000	0.0000	-0.0004	0.0412	-0.0135	-0.0824	0.0816	-0.1475	0.4150	-0.1523	1.5282	-0.7229	-0.5895	0.2364	-0.5810
1.2750	34.9963	0.0001	0.0000	0.0000	-0.0089	0.0326	-0.0026	-0.0736	0.0559	0.2878	0.9864	0.0182	1.5458	-0.5481	0.3309	-0.3856	0.1884
1.3000	34.9963	0.0001	0.0000	0.0000	0.0102	0.0162	0.0029	-0.0221	0.0424	0.2378	0.2886	0.8470	0.4715	-0.4753	-0.2371	-0.1359	0.3563
1.3250	34.9963	0.0001	0.0000	0.0000	0.0470	-0.0303	0.0076	0.1073	-0.0133	-0.1510	-1.7468	-0.5156	0.8355	-0.4802	-0.6826	0.4060	0.0392
1.3500	34.9963	0.0001	0.0000	0.0000	0.0676	-0.0088	0.0028	0.0851	0.0502	0.2093	0.1507	0.9637	0.2317	0.8406	0.1693	-0.1830	-0.0447
1.3750	34.9963	0.0001	0.0000	0.0000	-0.1197	0.0033	0.0019	-0.1264	-0.1131	0.3662	-0.7184	-1.6084	-0.8516	-0.2470	0.1987	0.1280	-0.2266
1.4000	34.9963	0.0001	0.0000	0.0000	-0.0248	0.0171	-0.0065	-0.0589	0.0092	0.0987	0.7114	0.2244	-0.1323	-0.0335	0.5561	0.3447	0.2630
1.4250	34.9963	0.0001	0.0000	0.0000	-0.0241	-0.0481	0.0035	0.0717	-0.1199	0.1843	-1.9386	-0.3957	-1.2955	0.7968	0.7617	0.2552	0.0532
1.4500	34.9963	0.0001	0.0000	0.0000	0.0687	0.0157	0.0029	0.0374	0.1000	-0.3580	-0.0520	0.5951	0.9509	0.1510	-0.4232	0.2505	0.1558
