time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	° 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	mm 	
0.0250	18.9972	0.0001	0.0000	0.0000	-0.0027	0.0074	-0.0043	-0.0174	0.0120	-0.2277	0.0042	1.3491	-0.1030	0.4565	-0.0235	0.3350	0.4657
0.0500	18.9972	0.0001	0.0000	0.0000	-0.0169	0.0404	-0.0023	-0.0974	0.0636	-0.1278	-1.2389	-0.8615	-1.0443	0.4953	-0.6551	-0.2775	-1.0638
0.0750	18.9972	0.0001	0.0000	0.0000	-0.0362	-0.0442	-0.0036	0.0518	-0.1241	0.4359	1.0613	0.2003	-1.6125	-0.4466	0.3143	-0.5791	0.1020
0.1000	18.9972	0.0001	0.0000	0.0000	0.0160	0.0212	-0.0072	-0.0262	0.0582	0.1862	-0.8699	-1.4809	-0.7157	0.2186	0.2457	0.2927	-0.2617
0.1250	18.9972	0.0001	0.0000	0.0000	0.0059	-0.0095	0.0181	0.0248	-0.0130	0.2005	-0.2980	0.7416	1.3710	0.1992	-0.1019	-0.8100	1.1418
0.1500	18.9972	0.0001	0.0000	0.0000	0.0588	0.0014	0.0039	0.0560	0.0615	-0.4810	0.3387	0.5549	0.2077	-0.6942	0.0744	0.8487	-0.2944
0.1750	18.9972	0.0001	0.0000	0.0000	-0.0786	0.0247	0.0023	-0.1278	-0.0294	0.1077	-0.6004	-1.1026	-1.4261	0.3254	0.3485	0.6885	0.8807
0.2000	18.9972	0.0001	0.0000	0.0000	0.0569	-0.0108	0.0046	0.0784	0.0355	0.2147	-0.9408	-1.7758	1.6107	0.0778	0.2213	-1.0504	0.8854
0.2250	18.9972	0.0001	0.0000	0.0000	0.0237	-0.0118	0.0032	0.0473	0.0001	0.0506	-0.0944	1.0830	-0.7601	-0.1698	0.1478	-0.5603	0.5450
0.2500	18.9972	0.0001	0.0000	0.0000	-0.0667	0.0266	-0.0099	-0.1197	-0.0137	0.0934	-1.7021	-0.6443	-0.0319	0.6313	0.3240	0.4576	-1.4975
0.2750	18.9972	0.0001	0.0000	0.0000	0.0341	-0.0079	-0.0137	0.0499	0.0184	0.1256	0.5892	0.6899	0.8914	0.2720	-0.3956	0.2219	-0.3457
0.3000	18.9972	0.0001	0.0000	0.0000	-0.0149	-0.0392	-0.0033	0.0631	-0.0930	0.0863	-0.3035	-1.5684	1.2023	-0.0873	0.0107	0.3162	0.3911
0.3250	18.9972	0.0001	0.0000	0.0000	0.0023	-0.0206	-0.0024	0.0432	-0.0387	-0.3026	1.1810	0.2340	0.9004	-0.1359	0.2457	-0.0890	0.4377
