time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	° 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	mm 	
0.3500	18.9972	0.0001	0.0000	0.0000	0.0247	0.0041	0.0101	0.0164	0.0329	-0.2491	-2.1296	-0.7009	0.8648	0.2331	-0.3613	0.0618	-1.5674
0.3750	18.9972	0.0001	0.0000	0.0000	-0.0058	0.0514	-0.0006	-0.1081	0.0965	-0.2312	-0.0865	0.8380	0.2610	-0.5437	-0.2733	-0.1644	-0.3876
0.4000	18.9972	0.0001	0.0000	0.0000	0.0100	-0.0796	0.0065	0.1684	-0.1485	-0.3168	-1.0997	-1.4268	-0.1385	-0.5777	0.2359	0.2314	0.1160
0.4250	18.9972	0.0001	0.0000	0.0000	0.0517	-0.0108	0.0060	0.0731	0.0302	0.1827	0.9357	-0.0641	-1.6214	0.1798	0.2506	-0.4613	-0.6861
0.4500	18.9972	0.0001	0.0000	0.0000	-0.0819	0.0461	-0.0011	-0.1736	0.0098	-0.0564	-1.2785	-1.2940	0.2255	-0.5874	0.5444	0.0241	0.0880
0.4750	18.9972	0.0001	0.0000	0.0000	0.0332	-0.0113	-0.0029	0.0557	0.0107	-0.2918	0.1413	1.2596	1.9038	-0.3252	-0.4299	0.6790	-0.1731
0.5000	18.9972	0.0001	0.0000	0.0000	-0.0029	0.0213	-0.0068	-0.0453	0.0394	-0.4025	0.6403	0.7684	0.7938	0.7430	-0.1998	-0.2351	0.1393
0.5250	18.9972	0.0001	0.0000	0.0000	-0.0112	-0.0211	-0.0057	0.0308	-0.0532	-0.2348	1.0380	0.0929	0.4386	-0.0193	0.1430	-0.2257	-0.1079
0.5500	18.9972	0.0001	0.0000	0.0000	0.0247	0.0020	-0.0082	0.0207	0.0287	0.3253	1.8768	1.1175	0.5274	0.1118	-0.3663	-1.0079	-0.1545
0.5750	18.9972	0.0001	0.0000	0.0000	-0.0467	0.0371	0.0140	-0.1205	0.0271	0.1755	-1.2905	-0.0975	-0.2007	0.7527	-0.3712	0.0571	-0.5788
0.6000	18.9972	0.0001	0.0000	0.0000	0.0722	-0.0175	0.0067	0.1071	0.0372	-0.4381	-1.2935	-0.8312	1.2644	0.7041	-0.0431	0.0146	0.1719
0.6250	18.9972	0.0001	0.0000	0.0000	-0.0054	0.0243	-0.0010	-0.0537	0.0430	0.2825	-0.4409	-1.0575	0.0479	-0.1164	0.0597	0.2219	0.3258
0.6500	18.9972	0.0001	0.0000	0.0000	-0.0310	0.0442	-0.0066	-0.1191	0.0570	-0.4738	-0.3833	-1.5909	-0.3161	-0.4029	-0.0725	0.0524	-0.3130
0.6750	18.9972	0.0001	0.0000	0.0000	0.0909	0.0107	0.0017	0.0696	0.1122	0.1327	0.1676	0.8639	-1.7457	-0.2572	0.8626	-0.4943	-0.6674
0.7000	18.9972	0.0001	0.0000	0.0000	-0.0066	-0.0173	0.0091	0.0279	-0.0411	0.3003	-1.2119	0.3735	-1.3462	-0.2669	0.2702	0.3916	0.8248
0.7250	18.9972	0.0001	0.0000	0.0000	-0.0378	0.0007	-0.0211	-0.0393	-0.0363	-0.3810	0.1797	0.9040	1.9393	-0.1262	-0.6160	-0.4566	0.4144
0.7500	18.9972	0.0001	0.0000	0.0000	-0.0149	-0.0693	-0.0006	0.1231	-0.1529	0.0863	1.0906	0.5383	0.4120	0.2234	0.2506	-0.5178	0.0134
0.7750	18.9972	0.0001	0.0000	0.0000	0.0235	0.0400	0.0100	-0.0560	0.1031	0.4895	1.1505	0.3446	-0.4582	0.1700	-0.1361	-0.3058	1.4356
0.8000	18.9972	0.0001	0.0000	0.0000	-0.0272	-0.0474	-0.0007	0.0670	-0.1215	-0.2419	-0.9233	0.5742	-0.9998	-0.1213	-0.2194	-0.7959	-0.1218
0.8250	18.9972	0.0001	0.0000	0.0000	0.0386	0.0013	0.0036	0.0360	0.0412	-0.2883	-0.7050	-0.3626	-0.9732	-0.0339	-0.1557	0.2031	-0.6301
0.8500	18.9972	0.0001	0.0000	0.0000	-0.0428	0.0398	0.0057	-0.1221	0.0365	-0.2348	1.1243	0.7401	-1.1330	0.6264	-0.0334	-0.6545	-0.4949
0.8750	18.9972	0.0001	0.0000	0.0000	0.0607	-0.0243	0.0034	0.1091	0.0122	0.1506	0.0883	-1.2379	1.1845	0.6895	0.6080	-0.2634	0.0880
0.9000	18.9972	0.0001	0.0000	0.0000	0.0701	0.0218	-0.0032	0.0267	0.1135	0.1148	-0.9416	-0.5120	1.6284	-0.6893	-0.3516	0.4528	-1.1757
0.9250	18.9972	0.0001	0.0000	0.0000	-0.0482	0.0140	-0.0070	-0.0760	-0.0204	0.0756	-0.9307	-0.0234	0.6340	0.3788	-0.5719	0.4434	-0.4669
0.9500	18.9972	0.0001	0.0000	0.0000	0.0135	-0.0338	-0.0038	0.0807	-0.0537	0.0649	1.4439	1.2244	-1.5060	0.1264	0.6276	0.4811	0.3305
0.9750	18.9972	0.0001	0.0000	0.0000	-0.0220	-0.0027	0.0137	-0.0165	-0.0275	-0.0457	-0.1070	-1.0091	0.5363	-0.7039	-0.0431	-0.5744	-3.1435
1.0000	18.9972	0.0001	0.0000	0.0000	0.0094	-0.0258	-0.0074	0.0607	-0.0419	-0.2669	1.4315	0.3689	0.8381	-0.7864	0.7941	0.1466	0.6616
1.0250	18.9972	0.0001	0.0000	0.0000	0.0034	-0.0048	0.0098	0.0130	-0.0062	-0.1384	-1.3774	0.0978	-0.8312	0.1749	-0.0138	-0.4236	0.3025
1.0500	18.9972	0.0001	0.0000	0.0000	-0.0678	0.0565	0.0004	-0.1803	0.0447	0.2433	0.5490	1.0999	0.9092	-0.1504	0.3240	0.3680	0.2046
1.0750	18.9972	0.0001	0.0000	0.0000	-0.0069	-0.0498	0.0081	0.0922	-0.1061	-0.3133	-0.0125	-1.0281	1.0158	0.4953	0.2213	-0.3482	-0.3130
1.1000	18.9972	0.0001	0.0000	0.0000	0.0382	-0.0009	0.0066	0.0400	0.0365	0.0185	1.3119	0.3351	0.4653	0.5585	-0.1019	0.0571	0.4983
1.1250	18.9972	0.0001	0.0000	0.0000	-0.0603	-0.0105	-0.0148	-0.0394	-0.0812	-0.2740	-0.5626	-0.6156	-0.1918	-0.2233	0.2262	0.5047	-0.5182
1.1500	18.9972	0.0001	0.0000	0.0000	0.0219	-0.0139	0.0011	0.0496	-0.0058	-0.0279	0.2495	1.6473	-0.6358	-0.0824	0.0645	0.0665	-0.5462
1.1750	18.9972	0.0001	0.0000	0.0000	-0.0197	0.0117	-0.0100	-0.0430	0.0036	-0.2954	-0.8175	-0.6144	-0.6713	-0.1067	-0.3124	-0.7064	-1.3156
1.2000	18.9972	0.0001	0.0000	0.0000	0.0566	0.0248	-0.0039	0.0072	0.1060	0.0114	1.6014	0.5085	-1.5415	-0.5583	-0.2733	0.5518	1.0486
1.2250	18.9972	0.0001	0.0000	0.0000	0.0405	0.0279	-0.0018	-0.0151	0.0961	0.3182	-0.3126	-0.8748	-1.4171	-0.0484	-0.0235	0.4340	-0.1079
1.2500	18.9972	0.0001	0.0000	0.0000	-0.0693	0.0218	0.0052	-0.1127	-0.0259	0.1399	0.5756	1.5196	0.1544	0.6362	0.4661	-0.0325	-3.1109
1.2750	18.9972	0.0001	0.0000	0.0000	0.0452	-0.0269	-0.0046	0.0986	-0.0083	0.0863	-0.7499	-0.6318	0.9891	-0.2329	0.0205	0.3068	0.3025
1.3000	18.9972	0.0001	0.0000	0.0000	0.0333	-0.0087	0.0090	0.0505	0.0160	-0.3489	1.1071	0.4422	0.3765	0.0293	0.8969	-0.1221	1.2444
1.3250	18.9972	0.0001	0.0000	0.0000	-0.0310	0.0370	-0.0067	-0.1047	0.0427	-0.2348	1.4020	0.4522	-1.0353	0.1360	0.2702	-0.5461	-1.8006
1.3500	18.9972	0.0001	0.0000	0.0000	0.0378	-0.0387	0.0109	0.1148	-0.0392	-0.2811	0.9452	1.2942	-1.5592	0.3109	-0.8069	-0.2210	-0.1032
1.3750	18.9972	0.0001	0.0000	0.0000	0.0041	-0.0062	-0.0058	0.0164	-0.0082	0.2112	-1.2560	0.0772	0.1634	0.6895	-0.0089	0.0900	-0.7280
1.4000	18.9972	0.0001	0.0000	0.0000	-0.0712	0.0377	0.0076	-0.1463	0.0038	0.1755	0.7234	1.1032	-0.1474	-0.5971	-0.3859	-0.3812	0.3864
1.4250	18.9972	0.0001	0.0000	0.0000	-0.0074	-0.0215	-0.0057	0.0354	-0.0503	0.2682	-0.0107	-1.0826	1.6728	0.5731	-0.4838	-0.6828	-0.7374
1.4500	18.9972	0.0001	0.0000	0.0000	-0.0369	-0.0448	-0.0055	0.0523	-0.1261	0.3324	1.2120	0.5176	1.0691	0.6264	0.4269	0.1607	-3.0689
1.4750	18.9972	0.0001	0.0000	0.0000	0.0684	0.0041	0.0078	0.0602	0.0767	0.0649	-1.0861	0.2167	-2.1364	-0.0727	-0.4887	0.2078	0.8014
1.5000	18.9972	0.0001	0.0000	0.0000	0.0377	0.0057	-0.0052	0.0263	0.0491	-0.2775	0.8829	1.1483	0.1900	0.0924	-0.0823	0.3209	1.4729
1.5250	18.9972	0.0001	0.0000	0.0000	-0.0203	0.0451	-0.0000	-0.1102	0.0695	-0.5487	-0.2928	-0.6585	-0.3871	0.2769	-0.6698	-0.4189	-1.0358
1.5500	18.9972	0.0001	0.0000	0.0000	0.0497	-0.0439	-0.0074	0.1371	-0.0376	-0.2027	1.5122	0.3642	-0.2184	0.0438	-0.7579	-0.8147	0.5636
1.5750	18.9972	0.0001	0.0000	0.0000	-0.0121	-0.0425	0.0044	0.0725	-0.0966	-0.6736	-0.4689	-0.6075	0.3765	-0.2038	0.0156	-0.4943	0.2699
1.6000	18.9972	0.0001	0.0000	0.0000	-0.0182	0.0682	0.0009	-0.1538	0.1175	0.1327	-0.2859	0.7817	1.3355	0.3157	0.2898	0.8157	-0.5788
1.6250	18.9972	0.0001	0.0000	0.0000	-0.0242	-0.0795	-0.0022	0.1341	-0.1824	0.4109	-0.6973	-0.1865	0.2433	-0.3640	-0.0089	0.4717	-0.2338
1.6500	18.9972	0.0001	0.0000	0.0000	0.0293	0.0408	-0.0034	-0.0519	0.1105	-0.8591	0.5206	-0.5020	-1.5326	-0.3349	0.0793	0.1984	0.7828
1.6750	18.9972	0.0001	0.0000	0.0000	-0.0198	-0.0314	0.0168	0.0428	-0.0823	-0.3454	-0.0689	-0.9433	0.2700	-0.7039	0.4415	0.8063	1.1698
1.7000	18.9972	0.0001	0.0000	0.0000	0.0302	-0.0290	0.0005	0.0879	-0.0275	-0.3668	-1.1434	0.3288	-1.0531	-0.4903	0.0401	-0.3906	0.5823
1.7250	18.9972	0.0001	0.0000	0.0000	-0.0862	-0.0202	-0.0043	-0.0460	-0.1265	0.8961	-0.4782	0.5075	0.7317	-0.2426	-0.1068	-0.1126	-0.4016
1.7500	18.9972	0.0001	0.0000	0.0000	0.0377	0.0183	0.0138	0.0012	0.0741	-0.3811	-0.2541	-0.1987	0.7583	-0.3786	0.0401	0.4434	0.8014
1.7750	18.9972	0.0001	0.0000	0.0000	-0.0029	-0.0299	0.0107	0.0566	-0.0623	-0.0207	0.8255	0.0238	0.4386	0.7236	0.3388	0.4764	-0.2291
1.8000	18.9972	0.0001	0.0000	0.0000	-0.0584	0.0261	-0.0012	-0.1104	-0.0064	0.0685	-1.0347	-1.3627	0.2876	-0.3252	0.2409	0.7215	1.4310
1.8250	18.9972	0.0001	0.0000	0.0000	-0.0030	-0.0766	0.0001	0.1495	-0.1555	-0.1812	-0.0294	1.1472	-0.8045	-0.0193	0.2163	-0.6828	0.9320
1.8500	18.9972	0.0001	0.0000	0.0000	0.0465	-0.0088	0.0031	0.0639	0.0290	0.2397	-1.3600	-1.2621	-1.1330	0.0341	0.0695	0.6555	0.7455
1.8750	18.9972	0.0001	0.0000	0.0000	-0.0561	0.0132	-0.0002	-0.0823	-0.0298	-0.3846	0.5886	0.2958	-1.2040	0.1895	0.1723	0.1937	0.8154
1.9000	18.9972	0.0001	0.0000	0.0000	0.0528	0.0380	0.0015	-0.0228	0.1283	-0.0172	1.2867	0.2823	-2.3051	-0.3786	-0.6061	0.2078	-0.2617
1.9250	18.9972	0.0001	0.0000	0.0000	-0.0194	0.0367	-0.0062	-0.0926	0.0537	0.2076	-0.5582	-0.7517	0.6428	-0.1601	-0.2586	-0.4142	1.7574
1.9500	18.9972	0.0001	0.0000	0.0000	0.0513	-0.0315	0.0058	0.1139	-0.0113	0.2754	0.4601	1.7710	1.7794	0.1167	0.6326	0.0665	0.4610
1.9750	18.9972	0.0001	0.0000	0.0000	0.0045	0.0113	-0.0082	-0.0180	0.0270	0.0364	-0.9529	-0.5792	0.7139	0.1457	-0.5719	0.0146	-0.2524
2.0000	18.9972	0.0001	0.0000	0.0000	-0.0742	-0.0200	-0.0058	-0.0344	-0.1140	0.2147	-0.7156	-1.2726	-1.0798	-0.6990	-0.0823	0.1937	-0.0426
2.0250	18.9972	0.0001	0.0000	0.0000	0.1028	-0.0045	0.0054	0.1117	0.0939	-0.0493	0.0620	-0.8423	0.9092	-0.6165	0.1135	-0.1691	0.3585
2.0500	18.9972	0.0001	0.0000	0.0000	-0.0241	-0.0145	0.0071	0.0047	-0.0530	0.0863	-0.9995	-0.7940	-0.2540	0.1506	-0.1900	-0.6828	1.0393
2.0750	18.9972	0.0001	0.0000	0.0000	-0.0740	0.0314	-0.0020	-0.1364	-0.0116	-0.1634	0.4179	1.4200	1.4420	-0.1504	0.1037	0.2644	-0.2571
2.1000	18.9972	0.0001	0.0000	0.0000	-0.0142	-0.0910	0.0017	0.1669	-0.1952	0.0506	-0.8332	-0.5454	0.4563	0.0826	-0.4201	-0.3718	0.3771
2.1250	18.9972	0.0001	0.0000	0.0000	0.0288	-0.0329	-0.0065	0.0942	-0.0366	0.2290	0.0141	-0.6084	-0.0319	-0.0824	-0.4789	0.2833	-2.4301
2.1500	18.9972	0.0001	0.0000	0.0000	-0.0031	0.0437	-0.0040	-0.0902	0.0839	0.1255	1.2017	0.4231	0.2788	-0.1504	0.4611	-1.0551	-1.6607
2.1750	18.9972	0.0001	0.0000	0.0000	0.0265	-0.0047	-0.0031	0.0358	0.0171	0.2183	-0.7242	-0.1849	0.5718	0.0632	-0.1165	0.4953	-0.5742
2.2000	18.9972	0.0001	0.0000	0.0000	-0.0059	0.0029	-0.0074	-0.0117	-0.0001	-0.1991	0.3901	1.4489	0.9891	-0.4903	-0.3369	-0.0325	0.4564
2.2250	18.9972	0.0001	0.0000	0.0000	-0.0040	-0.0037	-0.0120	0.0033	-0.0113	-0.2312	-0.5280	-0.4410	-0.4493	-0.4660	0.4709	0.1796	-2.7985
2.2500	18.9972	0.0001	0.0000	0.0000	-0.0048	-0.0165	-0.0074	0.0280	-0.0375	-0.2526	1.4238	0.1927	-0.2274	-0.2475	-0.2145	0.9146	0.6289
2.2750	18.9972	0.0001	0.0000	0.0000	-0.0466	0.0241	0.0111	-0.0946	0.0013	-0.0742	0.0413	-1.0313	-1.2307	0.2574	-0.1165	-0.4377	0.3818
2.3000	18.9972	0.0001	0.0000	0.0000	0.0272	-0.0140	-0.0009	0.0549	-0.0006	0.0970	0.3121	1.3719	1.1756	-0.5971	0.2555	-0.0042	0.3864
2.3250	18.9972	0.0001	0.0000	0.0000	0.0016	-0.0267	0.0073	0.0548	-0.0515	0.3646	-0.4760	-0.3896	-0.5736	0.0826	0.0988	-0.2869	0.5963
2.3500	18.9972	0.0001	0.0000	0.0000	-0.0788	0.0089	-0.0050	-0.0964	-0.0611	0.2861	1.1358	0.3862	-0.1119	0.5876	-0.2145	-0.7959	-0.3037
2.3750	18.9972	0.0001	0.0000	0.0000	0.0012	-0.0543	0.0149	0.1092	-0.1069	0.1790	0.3317	-0.8852	1.2732	0.1457	-0.0235	-0.0137	-0.8866
2.4000	18.9972	0.0001	0.0000	0.0000	-0.0523	-0.0136	0.0026	-0.0252	-0.0795	-0.3453	0.0097	-0.4723	1.1668	0.1069	-0.3908	0.4152	-0.6255
2.4250	18.9972	0.0001	0.0000	0.0000	-0.0269	-0.0093	-0.0060	-0.0083	-0.0455	0.9817	-1.0852	0.1895	-0.0231	0.4225	-0.5964	-0.1268	-1.0451
2.4500	18.9972	0.0001	0.0000	0.0000	0.0206	-0.0360	-0.0048	0.0923	-0.0511	-1.3157	0.5907	1.0567	-1.5770	-0.1795	-0.6894	-0.6168	1.2398
2.4750	18.9972	0.0001	0.0000	0.0000	-0.0241	0.0073	0.0041	-0.0385	-0.0096	0.2575	0.0691	-1.0601	-0.2807	-0.0145	-0.2487	0.2361	-0.2151
2.5000	18.9972	0.0001	0.0000	0.0000	-0.0442	0.0089	-0.0207	-0.0620	-0.0264	0.3467	1.8106	0.2653	-0.0586	-0.7233	0.2163	0.3256	-0.1125
2.5250	18.9972	0.0001	0.0000	0.0000	0.0223	0.0323	-0.0036	-0.0419	0.0866	0.2682	-0.6565	-0.2024	-2.4205	0.4079	0.1283	-1.0126	-0.1638
2.5500	18.9972	0.0001	0.0000	0.0000	-0.0289	-0.0301	-0.0130	0.0309	-0.0888	-0.2562	0.2964	1.4408	-1.1863	0.2138	0.0156	0.4293	-0.9052
2.5750	18.9972	0.0001	0.0000	0.0000	0.0144	0.0697	-0.0046	-0.1243	0.1531	-0.0136	-0.6217	-0.4490	0.0035	0.3157	0.8724	0.2691	-0.7700
2.6000	18.9972	0.0001	0.0000	0.0000	-0.0112	-0.0063	0.0133	0.0013	-0.0236	-0.0457	1.5754	0.4828	0.6518	-0.2329	0.3192	-0.7346	-0.1731
2.6250	18.9972	0.0001	0.0000	0.0000	0.0626	-0.0000	-0.0041	0.0626	0.0626	-0.3989	0.0732	-0.7750	0.8381	0.8983	0.4905	0.3397	2.3030
2.6500	18.9972	0.0001	0.0000	0.0000	-0.0467	-0.0450	-0.0002	0.0428	-0.1362	-0.3560	0.5620	1.1127	1.1934	0.1700	-0.5229	0.0193	1.9532
2.6750	18.9972	0.0001	0.0000	0.0000	-0.0579	-0.0021	-0.0030	-0.0536	-0.0621	0.1434	-0.7930	0.2812	-0.0053	-0.1747	-0.6257	0.1937	-0.6768
2.7000	18.9972	0.0001	0.0000	0.0000	-0.0828	-0.0290	-0.0060	-0.0251	-0.1406	-0.2205	0.1302	-0.4657	0.8471	0.9469	-0.4739	-0.1221	-0.5602
2.7250	18.9972	0.0001	0.0000	0.0000	0.0566	0.0041	0.0032	0.0484	0.0647	0.0721	0.0082	-0.8391	0.0124	-0.1844	-0.0382	-0.2587	-1.0918
2.7500	18.9972	0.0001	0.0000	0.0000	-0.0047	0.0019	0.0041	-0.0085	-0.0009	0.0470	1.4020	0.4522	-0.5736	-0.3883	-0.0334	0.0994	0.0320
2.7750	18.9972	0.0001	0.0000	0.0000	-0.0220	0.0364	-0.0137	-0.0944	0.0504	0.0507	0.2255	1.1460	-0.6802	-0.4660	0.1037	0.6743	-2.0057
2.8000	18.9972	0.0001	0.0000	0.0000	0.0654	0.0238	0.0075	0.0180	0.1128	-0.2597	0.6191	1.4219	-2.1897	0.0438	0.0645	0.3963	-0.6395
2.8250	18.9972	0.0001	0.0000	0.0000	0.0704	0.0049	0.0012	0.0607	0.0801	0.7462	-0.4160	-0.5834	1.0779	0.0147	-0.7090	-0.0843	-0.0706
2.8500	18.9972	0.0001	0.0000	0.0000	0.0342	0.0400	-0.0053	-0.0454	0.1139	-0.8627	1.2303	0.3671	0.5363	0.2574	-0.0578	-0.1833	0.1579
2.8750	18.9972	0.0001	0.0000	0.0000	-0.0061	0.0121	0.0184	-0.0301	0.0180	0.1968	-0.5771	-0.9952	1.4509	0.2720	-0.3369	0.2974	0.0134
2.9000	18.9972	0.0001	0.0000	0.0000	0.0492	0.0020	-0.0012	0.0452	0.0532	-0.1313	0.1266	1.3011	-0.6535	-0.3397	-0.3908	0.2550	-0.2851
2.9250	18.9972	0.0001	0.0000	0.0000	-0.0152	0.0102	0.0059	-0.0355	0.0050	0.1790	-1.1074	-0.3664	-1.7546	-0.0193	-0.1019	-0.0419	-1.5208
2.9500	18.9972	0.0001	0.0000	0.0000	-0.0339	0.0125	0.0089	-0.0587	-0.0090	-0.1492	0.5147	0.5040	-1.1863	0.3691	-0.0578	-0.7158	-0.2524
2.9750	18.9972	0.0001	0.0000	0.0000	0.0220	0.0284	-0.0068	-0.0346	0.0785	-0.3097	-0.3966	-1.1824	-2.2518	-0.8059	0.3339	-0.0184	-1.4275
3.0000	18.9972	0.0001	0.0000	0.0000	0.0595	-0.0195	0.0050	0.0984	0.0207	0.5501	-0.0004	-0.9881	-0.2629	-0.3786	0.5150	0.7498	-0.4949
3.0250	18.9972	0.0001	0.0000	0.0000	0.0673	0.0161	0.0035	0.0352	0.0994	-0.0350	-0.3225	1.0827	1.7083	0.0390	-0.5278	0.2502	0.1113
3.0500	18.9972	0.0001	0.0000	0.0000	-0.0362	0.0423	-0.0130	-0.1203	0.0480	-0.4524	-1.6294	-0.4039	1.1046	-0.5291	0.0645	0.5895	1.9252
3.0750	18.9972	0.0001	0.0000	0.0000	0.0509	0.0392	0.0038	-0.0271	0.1289	-0.1313	0.1026	0.7998	0.3143	-0.0873	0.3093	-0.8147	-0.6348
3.1000	18.9972	0.0001	0.0000	0.0000	0.0141	-0.0152	-0.0011	0.0444	-0.0162	-0.2490	1.1957	0.1925	-0.5026	0.5536	0.5052	0.5989	-0.1125
3.1250	18.9972	0.0001	0.0000	0.0000	0.0071	-0.0230	-0.0007	0.0529	-0.0387	1.2957	-0.7458	-1.5833	1.6995	0.5050	-0.4446	-0.2493	0.3724
3.1500	18.9972	0.0001	0.0000	0.0000	-0.0815	-0.0301	0.0073	-0.0216	-0.1415	0.4573	-1.5825	-0.6104	0.9980	-0.4417	0.3192	0.3775	0.5636
3.1750	18.9972	0.0001	0.0000	0.0000	0.0180	0.0237	0.0019	-0.0292	0.0653	0.0506	-1.4058	-0.2674	0.6073	0.3400	-0.2145	-0.8006	0.4377
3.2000	18.9972	0.0001	0.0000	0.0000	0.0547	-0.0278	0.0076	0.1099	-0.0006	-0.0457	0.2314	0.1400	0.5008	0.4274	-0.3859	0.0524	0.6149
3.2250	18.9972	0.0001	0.0000	0.0000	0.0147	0.0531	0.0036	-0.0910	0.1204	0.1184	0.3499	-0.6144	-0.7779	-0.0824	0.2017	-0.6168	0.4657
3.2500	18.9972	0.0001	0.0000	0.0000	-0.0159	0.0240	-0.0158	-0.0636	0.0318	-0.3989	0.0886	-0.4226	0.0923	0.5634	-0.2390	0.0288	1.7154
3.2750	18.9972	0.0001	0.0000	0.0000	-0.0205	-0.0657	0.0016	0.1102	-0.1513	-0.6807	-0.7289	0.3726	-0.5736	-0.3883	-0.1313	0.2691	0.5916
3.3000	18.9972	0.0001	0.0000	0.0000	-0.0315	-0.0271	-0.0164	0.0224	-0.0855	0.3575	-1.6147	-0.4455	-0.3783	-0.1650	0.1331	-0.6922	-0.1218
3.3250	18.9972	0.0001	0.0000	0.0000	0.0253	-0.0279	0.0211	0.0808	-0.0303	0.2575	0.4291	0.2507	-0.9821	-0.3835	-0.6894	-0.2634	-0.5975
3.3500	18.9972	0.0001	0.0000	0.0000	0.0053	0.0148	0.0108	-0.0242	0.0348	-0.3204	-0.1806	-1.2222	-1.0620	0.5682	0.1821	0.7874	-0.0939
3.3750	18.9972	0.0001	0.0000	0.0000	0.0088	0.0377	-0.0200	-0.0662	0.0838	-0.1100	0.5924	-0.2344	-1.3550	-0.2038	0.0548	0.1984	0.5403
3.4000	18.9972	0.0001	0.0000	0.0000	-0.0061	-0.0287	0.0024	0.0511	-0.0632	-0.1884	-1.2959	0.0659	1.6906	-0.0678	0.3878	0.1796	-0.0892
3.4250	18.9972	0.0001	0.0000	0.0000	-0.0455	0.0198	-0.0069	-0.0849	-0.0061	-0.2990	-0.2673	0.2098	0.7227	0.3983	0.6374	-0.7487	0.1626
3.4500	18.9972	0.0001	0.0000	0.0000	0.0059	-0.0701	0.0038	0.1453	-0.1335	-0.1420	0.1815	-0.3871	0.7139	0.2331	0.4905	0.2172	-0.4576
3.4750	18.9972	0.0001	0.0000	0.0000	0.0184	0.0157	0.0052	-0.0128	0.0497	0.1540	0.0638	-0.8968	-1.5770	0.4662	0.5052	-0.0796	-0.5369
3.5000	18.9972	0.0001	0.0000	0.0000	-0.0841	0.0107	0.0006	-0.1053	-0.0629	0.1898	-0.2001	-0.6231	-0.5203	-0.4126	0.0254	-0.3388	0.4610
3.5250	18.9972	0.0001	0.0000	0.0000	0.0761	-0.0188	-0.0026	0.1136	0.0386	0.1969	-0.9534	0.2633	-2.0299	-0.4563	-0.1949	0.4293	0.1113
3.5500	18.9972	0.0001	0.0000	0.0000	0.0566	0.0251	-0.0018	0.0067	0.1066	-0.1242	0.5277	0.5168	0.4120	-0.2329	0.1527	-0.9373	-1.6747
