time 	x0 	y0 	psi 	u 	v 	heave 	trim 	roll 	z_VF 	z_VA 	n 	T_p 	Qp 	drud 	Xrud 	Yrud 	Qrud 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm/m 	° 	mm 	mm 	rps 	N 	Nmm 	° 	N 	N 	Nmm 	mm 	mm 	mm 	mm 	mm 	
0.6250	9.9980	0.0001	0.0000	0.0000	-0.0000	0.6714	1.4232	-0.2220	-2.1607	3.5036	-0.0000	-0.0233	0.7583	0.1064	-0.0038	-0.0156	0.1432	0.4593	0.7196	0.6710	-0.5939	0.9661
0.6500	9.9980	0.0001	0.0000	0.0000	-0.0000	0.2843	-0.8218	0.2708	1.9196	-1.3511	-0.0073	-0.0542	0.4930	0.0530	-0.0356	0.0179	0.3176	1.1874	-1.0914	-0.3719	-0.0615	-0.0225
0.6750	9.9980	0.0001	0.0000	0.0000	-0.0000	-1.0592	0.3804	-0.0591	-1.8162	-0.3023	0.0085	-0.0507	-0.5809	0.0530	0.0212	-0.0050	0.1813	-0.1534	-0.7370	0.1226	0.4899	0.0428
0.7000	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.4059	-0.4172	-0.6234	1.2360	-0.4243	0.0030	0.0321	-0.5430	0.0148	-0.0090	-0.0114	0.5792	-0.3043	-0.3777	0.2450	0.5323	0.9708
0.7250	9.9979	0.0001	0.0000	0.0000	-0.0000	0.5298	-0.9283	0.2271	2.3772	-1.3176	-0.0031	-0.0186	-0.5304	0.0759	0.0264	-0.0500	0.3993	-0.6328	-0.2903	-0.7342	0.5323	-0.3722
0.7500	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.3463	1.2095	-0.0710	-2.7533	2.0606	-0.0018	0.0507	-0.4419	0.0362	0.0160	-0.0207	0.1541	-0.9525	0.1516	-0.0879	-0.2500	-0.4235
0.7750	9.9980	0.0001	0.0000	-0.0040	-0.0000	-0.1833	-0.5680	-0.4446	0.9470	-1.3137	0.0116	0.0519	1.6554	-0.0158	-0.0356	-0.0057	0.4102	0.6014	-0.6156	0.1079	0.2448	0.1501
0.8000	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.3609	-0.1201	1.0895	-0.1219	-0.5999	0.0152	0.0140	0.7836	0.0362	0.0338	-0.0251	-0.5327	-0.5529	-0.0426	0.1324	-0.0897	-0.3302
0.8250	9.9980	0.0001	0.0000	0.0000	-0.0000	0.0642	0.7839	-0.5042	-1.4958	1.6243	-0.0104	0.0245	0.4930	0.0300	-0.0103	0.0048	-0.3474	0.9921	0.7002	0.6661	0.2637	0.6024
0.8500	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.5501	-0.1697	0.1595	-0.2125	-0.8878	-0.0536	0.0169	-0.6946	0.0300	-0.0217	-0.0216	-0.4019	-0.7039	0.1807	-0.7391	0.6407	0.0428
0.8750	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.4069	0.2522	-0.1783	-0.0949	0.9087	0.0012	0.0263	-0.4293	0.0575	0.0212	-0.0057	-0.5436	-0.9614	0.9139	0.4800	0.7255	-0.0691
0.9000	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.0783	-1.0611	-0.1107	2.0333	-2.1899	0.0055	-0.0326	-0.9978	0.0377	-0.0184	-0.0226	-0.3310	0.0242	-0.2660	0.3625	-0.0662	0.7889
0.9250	9.9980	0.0001	0.0000	0.0000	-0.0000	0.4927	0.6161	-0.3214	-0.7334	1.7188	-0.0055	-0.0338	-0.3409	0.0087	0.0390	-0.0136	-0.4182	1.0631	-0.1349	-0.8468	0.4946	-0.1810
0.9500	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.0114	0.7410	-0.0193	-1.4861	1.4632	-0.0055	-0.0484	0.8847	-0.0188	-0.0061	-0.0175	-0.2929	0.4771	0.1710	-0.2984	0.6171	-0.6520
0.9750	9.9980	0.0001	0.0000	0.0000	-0.0000	0.2547	-0.2768	-0.3929	0.8056	-0.2961	-0.0152	-0.0338	1.0489	-0.0127	-0.0421	-0.0181	-0.3092	0.3261	-0.2854	0.7885	-0.0520	0.6490
1.0000	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.2149	0.7639	0.0244	-1.7350	1.3052	0.0061	0.0198	0.5056	-0.0112	0.0289	-0.0229	-0.0203	-1.0946	0.2147	0.2989	0.5841	-0.1157
