time 	x0 	y0 	psi 	u 	v 	heave 	trim 	roll 	z_VF 	z_VA 	n 	T_p 	Qp 	drud 	Xrud 	Yrud 	Qrud 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm/m 	° 	mm 	mm 	rps 	N 	Nmm 	° 	N 	N 	Nmm 	mm 	mm 	mm 	mm 	mm 	
21.6250	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.3800	-0.8030	0.1039	1.2179	-1.9780	0.0852	0.1743	-2.5392	0.0850	0.0160	-0.0156	-0.3692	-6.1825	-0.5233	0.1177	0.6784	-0.5121
21.6500	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.4498	0.2237	-0.0193	-0.8950	-0.0046	0.0292	0.0834	-2.5898	0.0881	-0.0152	0.0128	-0.2057	-0.8193	-0.1932	-0.0340	-0.9474	-2.6851
21.6750	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.2084	-0.3853	-0.2339	0.9751	-0.5583	0.0079	0.1679	-3.6384	-0.1334	-0.0298	0.0099	-0.2765	1.5692	0.3506	0.4262	0.1694	-6.9984
21.7000	9.9979	0.0001	0.0000	0.0000	-0.0000	0.8550	0.1544	-0.9334	0.5477	1.1624	-0.0225	0.0851	-2.9941	0.0224	0.0319	0.0224	0.1868	6.8170	0.0010	-0.6705	0.5747	-10.8501
21.7250	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.1392	0.3364	0.1993	-0.8087	0.5302	0.0664	0.1755	-3.8279	-0.0753	0.0176	0.0214	-0.0749	11.2567	-0.2514	1.0529	-0.0049	-14.8791
21.7500	9.9979	0.0001	0.0000	0.0040	-0.0000	0.1194	-1.1020	0.0482	2.3125	-2.0736	0.0651	0.0828	-2.3497	-0.1013	-0.0022	-0.0025	0.1105	15.8828	-0.2029	0.1373	0.4946	-17.0287
21.7750	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.7084	0.7124	-0.0392	-2.1261	0.7094	0.0487	0.2023	-2.4255	0.0621	-0.0161	-0.0324	0.1977	16.8240	0.4477	-0.4404	1.0883	-19.0665
21.8000	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.4704	0.1898	-0.5002	-0.8481	-0.0927	0.0237	0.0770	-2.1981	0.0285	-0.0126	-0.0273	0.3394	19.5855	0.2147	0.2548	0.8857	-21.5939
21.8250	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.6883	0.2941	0.6444	-1.2734	-0.1031	0.0176	0.1527	-2.9309	-0.0601	0.0332	-0.0264	0.4974	22.0096	-0.0184	-0.2054	-0.3206	-23.9581
21.8500	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.0985	-0.2877	0.0840	0.4741	-0.6710	-0.0305	0.0764	-3.8027	-0.0540	0.0199	-0.0127	0.4811	24.5402	-0.3728	-0.0291	0.2872	-25.3570
21.8750	9.9980	0.0001	0.0000	0.0000	-0.0000	0.9651	-0.1781	-0.3691	1.3195	0.6107	0.0493	0.1539	-2.9562	0.0239	-0.0051	0.0010	0.3721	28.6336	-0.1446	0.3087	0.3674	-25.5808
21.9000	9.9980	0.0001	0.0000	0.0000	-0.0000	0.5188	-0.6230	-0.4247	1.7587	-0.7211	0.0481	0.0886	-2.3876	0.0621	-0.0165	0.0160	-0.5490	27.8966	-0.4262	0.4605	-0.5233	-28.3414
21.9250	9.9980	0.0001	0.0000	0.0000	-0.0000	0.3093	0.2206	0.1396	-0.1296	0.7483	0.0475	0.1580	-2.6024	-0.1380	0.0234	0.0087	-0.3801	28.1808	-0.3631	0.2157	0.0846	-26.8585
21.9500	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.2235	-0.4938	0.3860	1.2062	-0.7592	0.0256	0.0904	-3.5626	0.0575	0.0358	-0.0347	-0.3692	30.9512	-0.0766	0.0100	0.2260	-26.0611
21.9750	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.2595	0.5876	0.0045	-1.4287	0.9098	-0.0018	0.1487	-2.4002	0.0102	0.0166	0.0157	-0.5327	32.0966	-0.1009	0.6955	-0.3819	-26.4202
22.0000	9.9979	0.0001	0.0000	0.0000	-0.0000	0.8110	0.0753	-0.3929	0.6611	0.9610	0.0730	0.0979	-3.2973	0.0499	-0.0178	-0.0117	-0.4237	30.7469	-0.4117	0.3185	-0.0944	-23.2959
22.0250	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.3585	0.9653	0.1794	-2.2794	1.5625	0.0523	0.1277	-4.2322	0.1003	-0.0217	-0.0302	-0.2602	29.1842	0.0059	-0.3425	0.9517	-21.6126
22.0500	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.6931	-0.3542	0.4059	1.3979	-0.0117	0.0937	0.0910	-2.9941	-0.0998	0.0276	-0.0121	-0.2874	25.8721	0.7876	-0.1417	-1.0039	-17.5230
22.0750	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.0318	0.4584	0.7477	-0.9440	0.8805	0.0523	0.1714	-2.5645	0.0453	0.0283	-0.0156	-0.2166	25.6590	-0.3534	0.6073	0.1600	-14.9956
22.1000	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.2008	-0.6860	0.0085	1.5660	-1.1644	0.0122	0.1026	-1.6548	0.0362	-0.0152	0.0189	-0.0094	24.3183	-0.2563	0.6955	-0.1227	-11.6802
22.1250	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.0086	0.8676	1.6221	-1.7352	1.7180	0.0170	0.1696	-2.4381	-0.0005	-0.0385	0.0195	0.0996	20.3048	0.3409	-0.2152	0.3909	-8.6678
22.1500	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.7019	-0.5735	-0.0790	1.8432	-0.4394	0.0304	0.1032	-3.6131	-0.0677	0.0315	0.0058	0.3830	17.7919	-0.4311	0.1961	0.1741	-2.8949
22.1750	9.9979	0.0001	0.0000	0.0040	-0.0000	0.6656	0.2293	-0.9851	0.2094	1.1219	0.0542	0.1790	-4.5481	0.0468	0.0276	0.0246	0.3394	14.8262	0.2535	0.5290	0.6548	2.5935
22.2000	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.2914	-0.3124	0.1118	0.3303	-0.9130	0.0402	0.0974	-0.8589	0.0300	-0.0064	0.0262	0.1868	10.2267	0.5254	0.1275	-0.1086	4.3562
22.2250	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.5271	-0.3460	-0.4724	0.1615	-1.2157	0.0225	0.2244	-1.9454	0.1186	-0.0389	-0.0098	0.0941	5.9734	-0.5962	-0.1858	0.4757	7.0701
22.2500	9.9980	0.0001	0.0000	0.0000	-0.0000	0.4590	-0.6863	0.7318	1.8247	-0.9068	0.0243	0.1032	-4.0301	-0.1258	0.0017	-0.0130	0.4048	3.6825	-0.4602	-0.4404	-0.4950	11.3135
22.2750	9.9980	0.0001	0.0000	0.0000	-0.0000	1.0862	-0.3456	-0.2300	1.7739	0.3986	0.0073	0.1865	-3.7521	0.0255	0.0131	-0.0293	0.6119	-2.4354	-0.3194	0.2646	-0.2829	14.5357
22.3000	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.1552	0.9489	-0.2975	-1.7331	2.0435	-0.0481	0.0997	-3.9922	-0.0188	-0.0028	-0.0149	0.4266	-8.1892	-0.2417	0.2010	0.2637	17.9211
22.3250	9.9979	0.0001	0.0000	0.0040	-0.0000	-1.1102	0.6834	-0.4048	-2.4702	0.2499	0.0548	0.1883	-1.8696	0.0300	-0.0184	0.0153	0.2249	-11.0129	0.4720	-0.4551	-0.5657	20.5977
22.3500	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.1070	0.3226	0.4576	-0.5349	0.7489	0.0560	0.1119	-2.1602	0.0331	-0.0184	-0.0034	-0.1730	-16.6513	-0.2563	0.6318	0.4522	22.0106
22.3750	9.9979	0.0001	0.0000	0.0000	-0.0000	-1.7142	0.2771	-0.7148	-2.2656	-1.1628	0.0073	0.1720	-2.7793	0.0560	0.0345	0.0252	-0.4836	-21.1265	-0.1155	0.2401	0.5134	23.9505
22.4000	9.9979	0.0001	0.0000	0.0000	-0.0000	0.5127	-0.7429	-0.6671	1.9911	-0.9657	0.0189	0.1108	-4.0680	0.0377	0.0309	-0.0194	-0.2929	-23.8169	0.0739	0.3625	0.2731	25.9742
22.4250	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.2882	-0.1994	-0.2657	0.1085	-0.6849	0.0207	0.1784	-4.0806	0.0606	-0.0161	-0.0315	-0.1839	-28.8160	0.7779	-0.2201	-0.2075	25.8996
22.4500	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.3264	0.7956	0.2390	-1.9097	1.2570	0.1163	0.1393	-2.9814	0.0300	-0.0418	-0.0226	-0.2493	-31.3289	0.7488	0.7004	-0.5091	27.2706
22.4750	9.9979	0.0001	0.0000	0.0000	-0.0000	0.2702	-0.5188	-1.2474	1.3026	-0.7622	0.0390	0.1784	-1.3263	0.0911	0.0306	-0.0184	-0.0531	-31.1247	-0.4796	-0.3131	0.1836	26.6177
22.5000	9.9979	0.0001	0.0000	0.0000	-0.0000	0.8081	-0.8767	0.2310	2.5527	-0.9364	0.0347	0.1516	-2.6529	-0.0860	0.0189	-0.0210	-0.1839	-33.0071	-0.2272	0.6514	-0.6693	25.5639
22.5250	9.9979	0.0001	0.0000	0.0000	-0.0000	0.7886	-0.3611	0.4655	1.5071	0.0701	0.0170	0.1527	-4.1817	-0.0448	-0.0009	0.0220	-0.1403	-32.5188	0.3798	0.2891	0.6030	24.9717
22.5500	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.4905	0.8433	-0.3651	-2.1687	1.1877	0.0243	0.1032	-3.7142	-0.0234	-0.0246	-0.0114	0.0069	-31.5598	-0.7661	0.2842	0.5229	24.1137
22.5750	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.0148	-0.3127	-0.3929	0.6075	-0.6371	0.0049	0.0700	-2.3750	0.0636	-0.0226	0.0281	0.2849	-28.9936	0.4380	0.5241	0.1694	22.8453
22.6000	9.9979	0.0001	0.0000	0.0000	-0.0000	0.5974	0.0168	-0.7705	0.5640	0.6308	-0.0238	0.1621	-1.7812	-0.1013	0.0419	0.0087	0.3394	-28.6829	0.0010	-0.5677	-0.5704	18.4853
22.6250	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.2485	-0.3079	-0.6910	0.3642	-0.8612	0.0469	0.1696	-2.9941	-0.0417	0.0280	-0.0312	0.1595	-25.5307	-0.3340	0.1079	-0.1698	14.4797
22.6500	9.9979	0.0001	0.0000	0.0000	-0.0000	0.0469	0.3883	0.1993	-0.7257	0.8195	0.0925	0.1708	-3.9922	-0.0311	-0.0119	-0.0162	0.5356	-20.1764	-0.2563	0.3283	-0.7353	11.4720
22.6750	9.9979	0.0001	0.0000	0.0040	-0.0000	0.5782	-0.7814	-0.4168	2.1333	-0.9768	0.0530	0.1014	-3.7395	0.0850	-0.0398	-0.0248	0.4484	-15.9232	-0.0815	0.1177	0.0752	8.6276
22.7000	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.0915	0.4447	0.7239	-0.7934	0.9765	-0.0067	0.1790	-2.9435	-0.1089	0.0225	-0.0066	0.1105	-12.7976	0.2632	-0.3327	-0.6081	3.2930
22.7250	9.9979	0.0001	0.0000	0.0000	-0.0000	-1.2057	0.3399	-0.6234	-1.8821	-0.5294	0.0280	0.1259	-1.8696	-0.0830	0.0238	0.0192	-0.3256	-6.9639	-0.1640	0.7444	-0.6929	-0.1530
22.7500	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.8642	0.3236	-0.6592	-1.5082	-0.2201	0.0018	0.1271	-2.6024	0.0270	0.0020	0.0195	-0.5381	-2.7994	0.1710	0.1814	-0.6128	-3.4452
22.7750	9.9979	0.0001	0.0000	0.0000	-0.0000	0.7744	-0.7636	0.7596	2.2939	-0.7451	0.0517	0.1382	-3.1204	0.0377	-0.0184	0.0281	-0.2711	4.8457	0.1079	0.0933	0.6642	-8.1316
22.8000	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.2719	0.4768	0.8431	-1.2207	0.6768	0.0377	0.0828	-3.3478	-0.1227	-0.0285	0.0138	-0.2929	6.9502	0.2972	0.1324	0.3579	-13.3123
22.8250	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.5749	0.0746	0.4576	-0.7234	-0.4265	0.0499	0.0507	-3.4236	0.0178	0.0351	-0.0210	-0.3637	9.9425	-0.1980	-0.0438	-0.0191	-14.7438
22.8500	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.2600	0.0155	0.3821	-0.2908	-0.2292	0.0262	0.1580	-1.8822	0.0362	0.0241	-0.0127	-0.2057	13.9382	-0.3437	0.3087	0.7302	-17.6303
22.8750	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.2519	0.4135	0.5013	-1.0746	0.5709	0.0164	0.1294	-1.9707	0.0942	-0.0152	-0.0114	-0.1185	18.9462	-0.6641	-0.4208	0.3532	-21.2628
22.9000	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.5540	-0.3754	0.6166	0.1931	-1.3012	0.0408	0.1044	-3.5879	0.0285	-0.0246	0.0036	-0.1294	22.3293	-0.4408	-0.0438	-0.1086	-22.8809
22.9250	9.9979	0.0001	0.0000	0.0000	-0.0000	0.3270	0.0171	0.4536	0.2930	0.3610	0.0450	0.1014	-4.0427	-0.1242	-0.0356	0.0153	0.2358	25.1263	-0.0524	0.2695	-0.1274	-23.9814
22.9500	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.5900	0.0633	-0.2856	-0.7160	-0.4640	0.0651	0.1049	-2.7287	-0.0219	0.0338	0.0278	0.3993	25.6502	0.0690	0.0786	0.7208	-25.7394
22.9750	9.9980	0.0001	0.0000	0.0000	-0.0000	1.0555	-0.4608	0.6285	1.9725	0.1384	0.0390	0.1626	-2.3497	-0.0921	0.0225	0.0150	0.3557	27.8345	0.2050	0.1863	0.3579	-27.1103
23.0000	9.9980	0.0001	0.0000	-0.0040	-0.0000	1.6910	-0.6764	0.4417	3.0370	0.3451	0.0542	0.1090	-2.7793	-0.0753	0.0228	-0.0143	0.1704	30.0277	0.0447	-0.1956	0.1035	-26.7979
23.0250	9.9979	0.0001	0.0000	0.0040	-0.0000	-1.0941	-0.0514	0.7795	-0.9917	-1.1965	0.0207	0.0752	-3.7268	0.0514	-0.0106	-0.0280	0.1650	31.9279	0.2292	-0.2152	-0.4903	-26.7093
23.0500	9.9980	0.0001	0.0000	0.0000	-0.0000	0.0643	0.7794	-0.4645	-1.4866	1.6153	0.0170	0.1667	-4.0932	0.0255	-0.0304	0.0115	0.5356	30.4717	0.6711	0.7591	-0.1604	-25.9306
23.0750	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.3188	-0.6161	0.6523	1.5448	-0.9071	-0.0177	0.1288	-1.5917	0.1324	0.0088	0.0010	0.5410	31.0755	0.2681	-0.2397	0.1412	-24.9467
23.1000	9.9979	0.0001	0.0000	0.0000	-0.0000	0.3051	0.5033	-0.0790	-0.6964	1.3066	0.0487	0.1323	-2.7287	-0.0769	0.0319	0.0173	0.4157	32.0344	-0.3582	0.5731	0.4286	-22.4612
23.1250	9.9979	0.0001	0.0000	0.0040	-0.0000	0.9776	0.9932	1.1571	-0.9989	2.9541	0.0548	0.0880	-3.5373	-0.0448	0.0186	0.0122	0.3230	30.0188	-0.0038	0.3087	-0.5280	-19.5841
23.1500	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.4025	0.4158	-0.0551	-1.2300	0.4250	0.0797	0.0910	-4.1311	0.0407	-0.0084	0.0010	-0.0422	28.6780	0.5400	0.2989	0.5417	-17.0474
23.1750	9.9980	0.0001	0.0000	-0.0040	-0.0000	-0.5222	-0.1810	0.3900	-0.1621	-0.8823	0.0164	0.1871	-2.7161	0.0239	-0.0204	-0.0372	-0.4237	26.9110	-0.4651	-0.1026	-0.4997	-14.3335
23.2000	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.3717	0.4113	-0.6910	-1.1901	0.4468	0.0170	0.1277	-2.0844	0.0743	-0.0126	0.0096	-0.5327	22.7555	0.6080	-0.1809	0.1129	-9.7077
23.2250	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.1810	0.8769	0.7795	-1.9260	1.5641	0.0292	0.1108	-3.0446	-0.1364	0.0377	0.0160	-0.1839	19.5767	-0.4068	0.2793	0.2967	-6.9984
23.2500	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.5244	-0.0996	0.0800	-0.3262	-0.7225	0.1011	0.0799	-3.4236	-0.0372	0.0114	0.0322	-0.2493	17.9784	-0.3971	-0.0487	-0.3112	-1.9810
23.2750	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.3993	-0.6514	0.5808	0.8971	-1.6957	0.0530	0.0758	-3.2341	0.0591	-0.0097	0.0278	-0.2329	14.0270	0.3701	0.2989	0.4569	1.3998
23.3000	9.9979	0.0001	0.0000	0.0000	-0.0000	1.0617	-0.3500	-0.6989	1.7583	0.3651	0.0408	0.1813	-1.8443	0.0423	-0.0314	0.0118	-0.1239	10.9459	0.3749	-0.4404	0.1883	5.6059
23.3250	9.9979	0.0001	0.0000	0.0000	-0.0000	0.2007	-0.9167	-0.4088	2.0249	-1.6235	0.0146	0.1248	-2.7540	0.0835	-0.0366	-0.0366	0.0887	7.2521	-0.3000	-0.2201	-0.5327	9.8400
23.3500	9.9979	0.0001	0.0000	0.0000	-0.0000	0.1943	0.6278	0.9544	-1.0549	1.4436	0.0207	0.1224	-3.0951	-0.0998	0.0143	-0.0187	0.3666	1.4538	-0.4554	0.1079	-0.6788	13.6124
23.3750	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.0467	0.0876	0.0284	-0.2210	0.1276	0.0335	0.0863	-3.3857	-0.1349	0.0348	-0.0054	0.2522	-4.1935	-0.3097	0.1128	-0.4149	15.8041
23.4000	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.1076	-0.5251	-0.4247	0.9374	-1.1526	0.0530	0.0577	-3.8532	-0.0463	0.0241	0.0023	0.1486	-8.9528	-0.0766	0.2597	0.5134	17.8278
23.4250	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.2789	-1.0269	0.3384	1.7647	-2.3225	0.0706	0.1522	-3.0446	0.0652	0.0280	-0.0395	0.2031	-12.8509	0.2001	-0.1613	0.1082	20.1267
23.4500	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.8693	0.5226	0.1436	-1.9094	0.1707	0.0761	0.1265	-1.8570	0.0194	-0.0071	-0.0270	0.4702	-17.7878	-0.0378	-1.3119	0.2637	23.1857
23.4750	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.8875	0.5136	-0.5479	-1.9097	0.1346	0.0122	0.1388	-2.2739	0.1202	-0.0204	-0.0136	0.4538	-22.4584	-0.2563	0.6024	-0.3489	24.4681
23.5000	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.8184	0.0997	-0.2896	-1.0169	-0.6199	-0.0073	0.0845	-4.3459	0.0667	-0.0165	0.0080	-0.4019	-26.2055	0.2098	-0.2788	-1.1358	25.8064
23.5250	9.9980	0.0001	0.0000	-0.0040	-0.0000	-0.3291	0.1942	-0.1187	-0.7155	0.0573	0.0036	0.1143	-3.9416	-0.1028	0.0286	0.0153	-0.4182	-30.4410	0.5497	0.2597	0.0658	26.7623
23.5500	9.9979	0.0001	0.0000	0.0000	-0.0000	0.3022	0.0216	-0.2697	0.2592	0.3452	0.1163	0.1236	-1.4653	0.0026	0.0169	0.0201	-0.2820	-31.9238	0.1856	-0.0634	-0.4432	26.6364
23.5750	9.9979	0.0001	0.0000	0.0000	-0.0000	0.9066	-0.6461	-0.2300	2.1924	-0.3792	0.0377	0.1446	-1.9454	0.0117	0.0114	-0.0130	-0.2438	-33.5221	0.7682	-0.6216	0.5841	27.0934
23.6000	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.4923	-0.3846	0.1436	0.2729	-1.2576	0.0444	0.1283	-3.4489	0.0636	-0.0171	-0.0219	-0.2547	-33.5843	-0.2951	0.2157	0.2448	26.1794
23.6250	9.9980	0.0001	0.0000	0.0000	-0.0000	-0.3745	-0.0703	1.0776	-0.2346	-0.5145	0.0262	0.0910	-4.3333	-0.1273	-0.0311	-0.0200	-0.2711	-33.1403	-0.1980	0.2744	-0.4102	24.6219
23.6500	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.3967	0.1708	-0.7506	0.0569	0.7366	0.0359	0.0566	-3.1204	0.0545	-0.0239	0.0007	-0.2002	-32.5276	-0.2466	0.6367	0.5276	24.2909
23.6750	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.6634	0.6400	-0.1028	-1.9370	0.6102	0.0298	0.1586	-1.7433	-0.0188	0.0306	0.0176	0.2685	-29.2778	-0.4165	-0.4453	0.5841	21.2645
23.7000	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.1479	-0.1588	-0.1584	0.1681	-0.4638	0.0505	0.1207	-1.5917	0.1034	0.0182	0.0220	0.3012	-26.8803	-0.6690	0.4605	0.0658	17.2403
23.7250	9.9980	0.0001	0.0000	-0.0040	-0.0000	1.5609	-0.6355	-0.4804	2.8256	0.2963	0.0377	0.1376	-2.7540	-0.0402	-0.0087	0.0211	0.2304	-22.6626	-0.7370	0.1324	0.5229	13.9668
23.7500	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.4796	0.5426	0.6046	-1.5593	0.6002	0.0457	0.0787	-3.4994	-0.0906	-0.0155	-0.0101	0.1595	-16.5092	-0.0863	0.0247	-0.5091	9.9192
23.7750	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.2983	-0.4006	0.0244	0.4988	-1.0954	0.0536	0.0583	-4.2322	-0.0815	-0.0327	-0.0156	0.4647	-13.6412	-0.1737	0.1275	0.3344	5.4194
23.8000	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.4571	0.6239	-0.3214	-1.6987	0.7846	0.0012	0.1562	-1.9707	-0.0494	0.0335	-0.0254	0.1759	-7.9228	0.3215	-1.1160	-0.0897	1.9873
23.8250	9.9979	0.0001	0.0000	0.0000	-0.0000	0.4622	-0.6931	0.7119	1.8416	-0.9171	0.0243	0.1469	-2.8298	0.0209	0.0182	0.0103	-0.4455	-3.7051	-0.2417	0.3136	0.1789	-1.9530
23.8500	9.9979	0.0001	0.0000	0.0000	-0.0000	1.5122	-0.0634	-0.0432	1.6383	1.3861	0.0316	0.1428	-3.0699	0.1232	-0.0045	0.0036	-0.2220	1.7291	-0.2951	0.2891	-0.2170	-5.2731
23.8750	9.9979	0.0001	0.0000	0.0000	-0.0000	0.0821	0.8065	0.9107	-1.5229	1.6871	0.0511	0.0834	-4.6365	0.0682	-0.0158	0.0208	-0.4836	5.0056	0.2681	0.4556	0.5558	-7.3855
23.9000	9.9979	0.0001	0.0000	0.0000	-0.0000	0.0254	-0.9143	0.0443	1.8448	-1.7939	0.0530	0.0752	-3.8406	0.0285	-0.0200	0.0230	-0.3692	8.2021	0.9090	0.0590	-0.1981	-13.2050
23.9250	9.9979	0.0001	0.0000	0.0000	-0.0000	-1.5237	-0.1935	-0.4923	-1.1387	-1.9087	0.0408	0.1288	-1.5917	0.0010	0.0361	0.0166	-0.0367	13.9738	0.2292	0.0786	0.0611	-16.1008
23.9500	9.9979	0.0001	0.0000	0.0000	-0.0000	0.3577	-0.6930	-0.5320	1.7368	-1.0213	0.0103	0.1615	-0.4546	0.0041	0.0244	-0.0299	0.3176	17.6587	0.3409	0.8619	-0.7212	-18.4090
23.9750	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.6490	0.2036	0.7636	-1.0541	-0.2439	-0.0055	0.0985	-2.7919	0.0789	-0.0074	-0.0207	0.2413	20.4202	-0.6399	-0.3523	0.6642	-21.2395
24.0000	9.9980	0.0001	0.0000	0.0000	-0.0000	0.1802	-0.2496	0.0760	0.6770	-0.3165	-0.0043	0.1020	-4.6744	-0.0692	-0.0243	-0.0175	0.0342	24.0163	-0.5282	-0.1613	-0.2311	-23.0907
24.0250	9.9980	0.0001	0.0000	-0.0040	-0.0000	1.3118	-0.5086	0.2469	2.3239	0.2996	-0.0256	0.0915	-4.6239	0.0530	0.0166	-0.0054	0.2740	26.0142	-0.4408	0.6220	-0.1934	-25.3850
24.0500	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.7072	-0.1582	-0.7546	-0.3924	-1.0220	0.0597	0.1557	-1.4527	0.0102	0.0289	0.0220	0.5628	26.0941	0.6128	-0.0389	0.7161	-25.7487
24.0750	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.8189	0.4728	0.0721	-1.7598	0.1220	0.0450	0.1632	-1.4021	0.0392	-0.0077	0.0182	0.3939	29.0865	0.3458	0.6073	0.1600	-27.4181
24.1000	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.1053	0.4495	-0.6354	-0.9997	0.7892	0.0073	0.1702	-2.7414	0.0316	-0.0288	0.0236	-0.2111	30.5338	0.1856	-0.2152	-0.2452	-25.4363
24.1250	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.6778	-0.7114	0.6166	2.0935	-0.7379	0.0243	0.1545	-4.7376	0.0468	0.0101	0.0192	-0.5054	31.1820	0.1176	0.2499	-0.1510	-26.7186
24.1500	9.9979	0.0001	0.0000	0.0000	-0.0000	0.2212	0.3021	-0.2816	-0.3800	0.8224	0.0603	0.0968	-4.4470	0.0927	0.0208	0.0157	-0.3038	31.8302	0.1516	0.5388	0.2731	-26.8166
24.1750	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.0452	-0.6812	-0.1386	1.3105	-1.4008	0.0542	0.0927	-2.1602	0.0194	-0.0025	-0.0041	-0.2493	31.6526	0.8702	-0.7195	-0.1416	-24.2332
24.2000	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.5036	0.4001	0.5768	-1.2998	0.2927	0.0262	0.0630	-1.2884	-0.0081	-0.0285	-0.0283	0.0723	29.1575	-0.3582	0.0639	-0.9898	-21.2115
24.2250	9.9979	0.0001	0.0000	0.0000	-0.0000	0.1278	-0.7131	0.1834	1.5468	-1.2913	0.0359	0.1609	-2.7161	0.0285	0.0192	-0.0302	0.3612	29.9389	0.4332	-0.1417	0.6407	-18.8660
24.2500	9.9979	0.0001	0.0000	0.0040	-0.0000	0.4394	-0.1707	0.5092	0.7792	0.0997	0.0511	0.1557	-4.3207	0.0591	0.0225	-0.0226	0.1704	28.2785	0.4963	0.6612	0.6124	-15.6904
24.2750	9.9980	0.0001	0.0000	-0.0040	-0.0000	0.5100	-0.6389	-0.0273	1.7813	-0.7614	0.0280	0.0985	-3.8911	-0.0326	-0.0032	0.0013	0.4974	25.1707	-0.5816	0.0737	0.4522	-12.4729
24.3000	9.9979	0.0001	0.0000	0.0000	-0.0000	0.4134	-0.7066	0.7358	1.8196	-0.9928	0.0158	0.0939	-3.1962	-0.0753	-0.0320	0.0061	-0.2711	23.2261	0.3458	1.0382	-0.2547	-8.8031
24.3250	9.9979	0.0001	0.0000	0.0000	-0.0000	-0.7473	-0.5063	-0.3015	0.2603	-1.7549	0.0073	0.0810	-0.8841	-0.1044	0.0302	0.0138	-0.5490	17.9428	-0.5525	0.1373	0.1506	-4.2938
24.3500	9.9979	0.0001	0.0000	0.0040	-0.0000	-0.1913	0.5649	0.2072	-1.3153	0.9328	0.0353	0.1679	-1.7812	-0.0372	0.0208	0.0240	-0.2983	15.0215	-0.5816	-0.6118	0.3155	-2.6664
24.3750	9.9980	0.0001	0.0000	0.0000	-0.0000	-1.0160	0.8416	-0.9771	-2.6908	0.6589	0.0371	0.1755	-2.3118	0.0362	-0.0191	-0.0156	-0.3474	12.4376	-0.2077	-0.5040	-0.1369	2.5889
