time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	° 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	mm 	
0.5750	35.9973	0.0001	0.0000	0.0000	-0.0065	0.0021	0.0062	-0.0107	-0.0023	-0.1620	-1.8486	-0.7427	-1.1194	-0.3298	-0.0679	0.3372	0.1862
0.6000	35.9973	0.0001	0.0000	0.0000	0.0182	0.0094	0.0034	-0.0005	0.0368	-0.2977	0.7296	0.8465	0.7985	0.6073	0.0985	-0.7654	0.3027
0.6250	35.9973	0.0001	0.0000	0.0000	0.0367	-0.0289	0.0073	0.0943	-0.0209	-0.1157	0.8959	-0.1417	-1.7764	0.1607	-0.6310	0.4362	-0.0143
0.6500	35.9973	0.0001	0.0000	0.0000	0.0518	-0.0465	-0.0110	0.1443	-0.0408	0.1019	-0.9741	0.0081	-0.1515	-0.0093	-0.0826	0.6435	0.2048
0.6750	35.9973	0.0001	0.0000	0.0000	0.0679	-0.0356	-0.0015	0.1387	-0.0028	0.3338	-0.3832	-0.4205	0.1681	-0.8396	-0.1854	-0.0822	0.1815
0.7000	35.9973	0.0001	0.0000	0.0000	0.0726	0.0026	0.0025	0.0675	0.0778	0.2517	0.8844	0.2123	0.4700	0.2481	-0.3274	0.4786	-0.0983
0.7250	35.9973	0.0001	0.0000	0.0000	0.0093	-0.0746	0.0044	0.1578	-0.1392	0.3410	0.3696	-0.4644	0.6298	-0.4219	-0.1413	-0.1058	0.0649
0.7500	35.9973	0.0001	0.0000	0.0000	0.0490	-0.0443	0.0137	0.1372	-0.0393	-0.0158	-1.3720	-0.1318	0.5766	-0.3249	0.0105	-0.4827	0.2561
0.7750	35.9973	0.0001	0.0000	0.0000	0.0561	-0.0054	-0.0069	0.0669	0.0452	-0.1942	0.7104	1.0243	-0.5599	0.9958	-0.5037	-0.9963	-0.2522
0.8000	35.9973	0.0001	0.0000	0.0000	0.0663	-0.0239	0.0067	0.1138	0.0187	-0.2228	0.9314	0.0057	1.1182	-0.1549	0.2307	-0.1952	0.3913
0.8250	35.9973	0.0001	0.0000	0.0000	0.0331	-0.0360	0.0057	0.1048	-0.0386	-0.3512	-1.0879	-1.0316	-1.5633	0.5200	-0.5967	-0.6523	0.0556
0.8500	35.9973	0.0001	0.0000	0.0000	-0.0474	-0.0930	0.0033	0.1378	-0.2325	-0.3404	0.2061	1.6788	-1.1460	-0.1210	0.3237	-0.5911	0.0603
0.8750	35.9973	0.0001	0.0000	0.0000	0.0836	-0.0048	-0.0009	0.0930	0.0741	-0.0265	-0.1229	-0.5851	0.5233	0.2093	-0.2442	0.3891	-0.2708
0.9000	35.9973	0.0001	0.0000	0.0000	0.0503	-0.0196	0.0035	0.0892	0.0114	0.2660	0.0889	-0.9100	0.5411	-0.3152	0.0202	0.4691	-0.1309
0.9250	35.9973	0.0001	0.0000	0.0000	-0.0059	-0.0231	-0.0076	0.0402	-0.0519	0.2910	-0.9812	-1.0107	0.1947	0.2772	-0.0679	0.6341	0.6012
0.9500	35.9973	0.0001	0.0000	0.0000	0.0065	-0.0188	0.0088	0.0439	-0.0309	0.2696	-1.2255	-0.0996	-1.6522	-0.0239	-0.3764	0.2194	-0.2382
0.9750	35.9973	0.0001	0.0000	0.0000	0.0493	-0.0191	0.0142	0.0873	0.0114	0.3445	0.9698	0.8868	-1.0839	0.3549	-0.4987	-0.7843	-0.1776
1.0000	35.9973	0.0001	0.0000	0.0000	0.0163	-0.0011	0.0046	0.0184	0.0141	0.1447	-0.1711	-1.1667	1.2159	-0.5774	0.2014	0.4221	0.2095
1.0250	35.9973	0.0001	0.0000	0.0000	-0.0036	0.0437	0.0031	-0.0905	0.0833	0.1803	-1.6778	-0.6304	0.8874	-0.4608	-0.4791	0.4173	0.2701
1.0500	35.9973	0.0001	0.0000	0.0000	-0.0809	0.0045	-0.0104	-0.0897	-0.0720	-0.2191	0.6498	0.8240	0.4167	0.4617	0.1964	-0.4827	0.1629
1.0750	35.9973	0.0001	0.0000	0.0000	-0.0278	-0.0359	0.0045	0.0437	-0.0992	-0.1014	1.0838	0.2687	-0.8886	0.0733	-0.2980	0.2666	-0.5040
1.1000	35.9973	0.0001	0.0000	0.0000	0.0049	0.0615	-0.0109	-0.1175	0.1273	-0.2299	0.3357	-0.2448	0.8341	0.1315	0.2895	-0.5911	-0.3594
1.1250	35.9973	0.0001	0.0000	0.0000	-0.0129	0.0545	-0.0016	-0.1213	0.0955	-0.2049	0.1378	1.3023	0.9229	0.7821	-0.1952	-0.5063	-0.3594
1.1500	35.9973	0.0001	0.0000	0.0000	-0.0202	0.0500	-0.0093	-0.1196	0.0793	0.2767	-0.7543	-0.5619	0.6210	0.3063	-0.1610	0.3513	0.2281
1.1750	35.9973	0.0001	0.0000	0.0000	-0.0746	-0.0345	-0.0067	-0.0059	-0.1432	0.0377	1.4020	0.3860	-0.5334	-0.6064	-0.4987	0.7236	0.4147
1.2000	35.9973	0.0001	0.0000	0.0000	-0.0112	0.0160	-0.0079	-0.0430	0.0207	0.1947	0.2307	-0.3203	0.4966	0.3452	-0.3029	0.1251	0.5172
1.2250	35.9973	0.0001	0.0000	0.0000	-0.0162	-0.0048	-0.0127	-0.0066	-0.0258	0.3302	-1.7854	-0.6240	-1.1105	-0.2666	0.1132	0.5775	-0.4527
1.2500	35.9973	0.0001	0.0000	0.0000	0.0257	0.0321	-0.0018	-0.0382	0.0895	0.1091	0.6256	0.7438	0.2835	0.2578	0.1768	0.0073	-0.1729
1.2750	35.9973	0.0001	0.0000	0.0000	-0.0471	-0.0077	-0.0011	-0.0317	-0.0625	0.0947	-0.0559	-0.9967	-1.0306	-0.3783	0.3042	-0.7466	-0.3081
1.3000	35.9973	0.0001	0.0000	0.0000	0.0016	0.0273	0.0037	-0.0526	0.0559	-0.2906	0.1857	1.0684	1.0827	0.3209	0.4462	-0.0869	-0.1729
1.3250	35.9973	0.0001	0.0000	0.0000	-0.0073	0.0095	-0.0148	-0.0263	0.0117	-0.1015	0.3133	0.8572	-0.6754	0.0927	-0.5037	-0.7985	-0.1216
1.3500	35.9973	0.0001	0.0000	0.0000	0.0290	0.0205	-0.0013	-0.0118	0.0698	-0.2763	-0.3543	-0.8977	-0.5244	0.2772	0.0888	0.3419	-0.4480
1.3750	35.9973	0.0001	0.0000	0.0000	-0.0041	-0.0458	0.0005	0.0871	-0.0953	-0.2370	1.2564	0.3265	0.0083	1.1075	-0.0777	0.4503	0.1862
1.4000	35.9973	0.0001	0.0000	0.0000	0.0004	-0.0274	0.0135	0.0550	-0.0541	-0.2084	0.1934	1.2446	0.0439	-0.4026	0.6175	-0.5770	-0.3221
1.4250	35.9973	0.0001	0.0000	0.0000	0.0316	0.0309	0.0006	-0.0300	0.0932	0.1233	0.7875	1.1285	-0.0983	0.0344	-0.4938	0.7613	0.1022
1.4500	35.9973	0.0001	0.0000	0.0000	-0.0207	-0.0137	0.0081	0.0066	-0.0480	0.0947	0.0437	-0.7579	-1.3325	-0.8396	-0.3519	0.3231	0.3027
1.4750	35.9973	0.0001	0.0000	0.0000	0.0035	0.0337	0.0052	-0.0635	0.0705	0.2625	0.4137	-0.1679	0.9762	0.1024	-0.1756	-0.3414	0.1675
1.5000	35.9973	0.0001	0.0000	0.0000	-0.0636	-0.0455	0.0091	0.0270	-0.1541	-0.1442	0.1819	1.5986	0.6743	-0.5434	-0.5526	-0.1434	0.2421
1.5250	35.9973	0.0001	0.0000	0.0000	-0.0252	0.0195	-0.0087	-0.0640	0.0136	0.0948	1.1707	1.3100	-0.0450	0.1266	-0.1463	-0.0115	0.1442
1.5500	35.9973	0.0001	0.0000	0.0000	0.0121	0.0256	0.0062	-0.0389	0.0631	0.2695	0.1380	-0.3558	-0.0184	0.6753	-0.3616	0.2100	0.4100
1.5750	35.9973	0.0001	0.0000	0.0000	0.0213	0.0475	0.0095	-0.0732	0.1158	-0.2905	0.9580	0.4254	-1.2614	0.3889	0.5441	0.4597	0.0043
1.6000	35.9973	0.0001	0.0000	0.0000	-0.0257	0.0055	0.0105	-0.0365	-0.0148	-0.2156	-1.0278	0.0112	0.0172	0.5686	-0.5085	-0.0963	0.1768
1.6250	35.9973	0.0001	0.0000	0.0000	-0.0060	0.0542	0.0128	-0.1139	0.1019	-0.2013	-0.6116	0.0006	0.2658	-0.2375	0.2454	-0.8455	0.1629
1.6500	35.9973	0.0001	0.0000	0.0000	0.0039	0.0577	0.0059	-0.1109	0.1186	-0.0301	0.9337	0.3454	-0.2314	0.1704	0.1964	0.2335	-0.4060
1.6750	35.9973	0.0001	0.0000	0.0000	-0.0070	0.0454	0.0069	-0.0974	0.0834	0.1804	0.8105	0.4205	-0.7908	-0.2617	0.9847	-0.0539	-0.4247
1.7000	35.9973	0.0001	0.0000	0.0000	-0.0253	0.0116	0.0095	-0.0484	-0.0022	-0.2976	-0.8919	0.3702	-1.1282	-0.8250	-0.0875	0.4833	0.0416
1.7250	35.9973	0.0001	0.0000	0.0000	0.0117	-0.0236	0.0083	0.0586	-0.0352	0.4836	0.5839	0.7871	-0.2670	0.3695	-0.9100	0.0026	0.0743
1.7500	35.9973	0.0001	0.0000	0.0000	0.0592	0.0538	0.0024	-0.0478	0.1661	0.2767	0.8888	0.0762	0.8252	0.3354	0.7057	0.2760	0.1395
1.7750	35.9973	0.0001	0.0000	0.0000	-0.0247	-0.0245	0.0023	0.0241	-0.0734	0.3053	-0.7788	-0.2207	-0.4623	-0.0093	-1.1156	0.3749	-0.2335
1.8000	35.9973	0.0001	0.0000	0.0000	0.0668	0.0027	-0.0029	0.0614	0.0722	0.1447	0.5092	1.0224	-1.4301	0.5976	0.5980	0.2053	-0.0610
1.8250	35.9973	0.0001	0.0000	0.0000	-0.0121	-0.0495	0.0094	0.0865	-0.1107	0.0947	0.9086	0.2925	-0.7376	0.6753	0.3727	-0.1717	-0.4340
1.8500	35.9973	0.0001	0.0000	0.0000	0.1047	0.0093	0.0018	0.0863	0.1232	0.2553	1.6014	0.4423	1.1271	0.3500	0.0301	0.5446	-0.0890
1.8750	35.9973	0.0001	0.0000	0.0000	0.0237	-0.0410	-0.0071	0.1053	-0.0580	0.0020	-0.1030	0.8679	1.1182	-0.4608	0.6224	-0.2094	0.5266
1.9000	35.9973	0.0001	0.0000	0.0000	0.0567	-0.0100	0.0007	0.0766	0.0367	-0.1620	-1.1714	-0.5240	0.1148	0.1364	0.1818	-0.6854	-0.3594
1.9250	35.9973	0.0001	0.0000	0.0000	0.0063	-0.0754	0.0054	0.1563	-0.1437	-0.2370	-0.2172	-0.9873	-1.5012	0.3452	0.0741	-0.1387	0.2701
1.9500	35.9973	0.0001	0.0000	0.0000	0.0744	0.0003	0.0085	0.0738	0.0751	-0.2334	0.5845	-0.0555	-0.6754	0.1704	-0.0189	0.6200	-0.1682
1.9750	35.9973	0.0001	0.0000	0.0000	0.0630	-0.0313	0.0011	0.1254	0.0006	-0.1586	0.2696	1.3761	-1.0128	-0.7473	0.2307	-0.4827	-0.3734
2.0000	35.9973	0.0001	0.0000	0.0000	0.1006	0.0017	0.0048	0.0972	0.1041	-0.0979	-0.3900	-0.6239	1.5267	0.6122	0.0545	0.1864	0.1489
2.0250	35.9973	0.0001	0.0000	0.0000	0.0323	-0.0216	0.0096	0.0753	-0.0108	-0.1906	0.8900	-0.3723	0.1771	-0.1404	-0.7142	0.2053	-0.1402
2.0500	35.9973	0.0001	0.0000	0.0000	-0.0262	-0.0841	0.0066	0.1412	-0.1936	0.1233	-1.1974	-0.5497	-0.8974	-0.3783	0.0447	-0.0256	0.4520
2.0750	35.9973	0.0001	0.0000	0.0000	0.0414	0.0223	-0.0022	-0.0030	0.0857	0.4087	0.8428	1.4921	-2.0783	-0.3734	-0.5085	0.3796	0.2748
2.1000	35.9973	0.0001	0.0000	0.0000	-0.0190	-0.0607	0.0016	0.1019	-0.1399	-0.0515	0.5845	-0.0555	1.6332	-0.1112	0.7057	-0.2895	0.1442
2.1250	35.9973	0.0001	0.0000	0.0000	-0.0203	0.0197	-0.0003	-0.0595	0.0189	0.1804	-0.2559	-1.4471	0.9673	0.0635	-0.2001	-0.8926	0.0230
2.1500	35.9973	0.0001	0.0000	0.0000	-0.0517	0.0170	0.0048	-0.0855	-0.0180	0.1483	0.4776	1.5814	-1.2081	-0.4219	0.0594	0.4456	0.2235
2.1750	35.9973	0.0001	0.0000	0.0000	-0.0122	0.0433	-0.0152	-0.0983	0.0739	0.0805	-0.2552	0.1835	-1.2704	-0.2812	0.0055	-0.7796	0.5639
2.2000	35.9973	0.0001	0.0000	0.0000	-0.0254	0.0336	-0.0062	-0.0922	0.0414	-0.2548	-0.6999	-1.4076	-0.9063	-0.2909	0.4119	0.5587	0.2748
2.2250	35.9973	0.0001	0.0000	0.0000	-0.0102	0.0280	0.0008	-0.0659	0.0454	-0.1478	1.5311	0.5416	1.6687	-0.5093	-0.1463	0.1912	0.3354
2.2500	35.9973	0.0001	0.0000	0.0000	-0.0219	0.0144	0.0051	-0.0506	0.0069	-0.4190	-0.8104	0.3383	-0.5511	0.5976	0.0888	0.3184	-0.0516
2.2750	35.9973	0.0001	0.0000	0.0000	-0.0241	0.0176	-0.0126	-0.0591	0.0109	0.0912	0.4687	0.6171	0.2658	0.5637	0.5735	0.6058	0.1069
2.3000	35.9973	0.0001	0.0000	0.0000	0.0305	0.0310	-0.0036	-0.0312	0.0923	-0.1906	1.1869	0.3986	-1.2970	0.3014	-0.3029	-0.9304	-0.0796
2.3250	35.9973	0.0001	0.0000	0.0000	0.0123	0.0149	-0.0032	-0.0175	0.0420	0.1661	0.0159	-0.7291	0.7719	0.0150	0.2748	0.6812	0.2328
2.3500	35.9973	0.0001	0.0000	0.0000	-0.0517	-0.0243	-0.0113	-0.0033	-0.1001	0.1804	-1.7127	-0.3837	1.2336	-0.4511	-0.4302	-0.1575	0.1582
2.3750	35.9973	0.0001	0.0000	0.0000	-0.0262	-0.0529	0.0039	0.0791	-0.1315	0.2839	0.4486	0.8221	-0.1781	0.1122	-0.7485	-0.5723	0.0463
2.4000	35.9973	0.0001	0.0000	0.0000	0.0126	-0.0208	-0.0155	0.0540	-0.0288	0.2125	-0.1099	-0.5723	0.4523	-0.1355	-0.3274	-0.3225	0.4613
2.4250	35.9973	0.0001	0.0000	0.0000	0.0297	0.0080	0.0001	0.0139	0.0456	-0.1871	0.9721	-0.0102	-0.8619	-0.4172	0.2699	0.5069	0.2141
2.4500	35.9973	0.0001	0.0000	0.0000	0.0257	-0.0511	0.0013	0.1274	-0.0759	0.1661	-0.0504	1.3133	1.0471	-0.2666	-0.2147	0.5163	0.3447
2.4750	35.9973	0.0001	0.0000	0.0000	-0.0210	-0.0347	0.0009	0.0480	-0.0900	0.0270	-0.5324	-0.3710	0.7186	0.2869	0.2748	0.0404	-0.5040
2.5000	35.9973	0.0001	0.0000	0.0000	0.0817	-0.0018	-0.0022	0.0854	0.0780	-0.0515	-0.2464	-1.3254	0.4789	0.5976	0.0741	0.5163	0.4147
2.5250	35.9973	0.0001	0.0000	0.0000	0.0199	-0.0556	-0.0046	0.1306	-0.0908	-0.2084	0.4339	0.8637	-0.2048	-0.4365	-0.2589	-0.0774	-0.2055
2.5500	35.9973	0.0001	0.0000	0.0000	0.0216	-0.0286	-0.0003	0.0785	-0.0353	-0.2870	-0.8275	0.0403	-0.7376	0.6802	0.3580	1.0205	0.4986
2.5750	35.9973	0.0001	0.0000	0.0000	0.0366	-0.0290	0.0134	0.0944	-0.0211	0.3231	-0.2541	-0.2649	0.4434	0.1315	-0.3176	-0.2895	-0.0890
2.6000	35.9973	0.0001	0.0000	0.0000	0.0320	-0.0208	-0.0160	0.0734	-0.0094	0.3160	1.3060	0.0382	0.7276	-0.4317	0.8183	-0.6005	-0.3594
2.6250	35.9973	0.0001	0.0000	0.0000	0.0228	-0.0248	-0.0071	0.0723	-0.0266	-0.2406	-0.5289	-0.4799	0.7276	-0.0821	0.3385	0.0686	0.1722
2.6500	35.9973	0.0001	0.0000	0.0000	0.0504	0.0131	-0.0063	0.0244	0.0764	0.1590	-0.5485	0.5405	-1.0661	-0.6696	0.0153	0.3419	-0.5413
2.6750	35.9973	0.0001	0.0000	0.0000	0.0501	-0.0329	0.0117	0.1156	-0.0154	0.1233	0.7302	0.0039	-0.9950	-0.2035	0.5538	-0.5157	-0.3874
2.7000	35.9973	0.0001	0.0000	0.0000	0.0249	-0.0473	-0.0099	0.1189	-0.0692	0.2267	-0.6113	-1.6574	0.4966	0.3985	0.4119	-0.8691	0.0416
2.7250	35.9973	0.0001	0.0000	0.0000	0.0757	-0.0143	0.0003	0.1041	0.0473	0.3231	0.8818	1.5306	1.1893	-0.1549	0.5001	-0.1105	-0.1029
2.7500	35.9973	0.0001	0.0000	0.0000	0.0457	-0.0518	-0.0073	0.1488	-0.0574	-0.1407	-0.9632	-0.7399	-1.2437	0.1364	0.7742	0.0875	-0.2988
2.7750	35.9973	0.0001	0.0000	0.0000	0.0309	-0.0688	0.0054	0.1678	-0.1060	0.1733	-0.7685	-1.3628	1.4379	-0.1161	0.1132	-0.4686	-0.0656
2.8000	35.9973	0.0001	0.0000	0.0000	0.0148	-0.0470	-0.0098	0.1084	-0.0789	-0.2977	-0.1737	-1.0850	0.0793	0.4617	0.3385	0.3560	0.2608
2.8250	35.9973	0.0001	0.0000	0.0000	0.0276	0.0388	-0.0105	-0.0496	0.1048	-0.1799	-0.8683	0.0563	0.7009	0.5345	0.6371	0.2194	0.0230
2.8500	35.9973	0.0001	0.0000	0.0000	0.0303	0.0320	-0.0102	-0.0335	0.0940	-0.2406	-0.2266	0.1276	1.2781	-0.3443	-0.1707	0.2477	-0.2662
2.8750	35.9973	0.0001	0.0000	0.0000	-0.0715	-0.0247	-0.0101	-0.0223	-0.1207	0.1590	-0.3132	-1.3350	0.1060	0.2869	-0.1413	0.4503	-0.1636
2.9000	35.9973	0.0001	0.0000	0.0000	-0.0092	0.0300	-0.0132	-0.0690	0.0506	0.3730	-0.9894	-0.3444	0.1148	-0.6891	-0.1560	0.7660	0.3027
2.9250	35.9973	0.0001	0.0000	0.0000	-0.0256	0.0052	-0.0140	-0.0359	-0.0152	0.2982	0.6826	1.0531	-0.5244	-0.2229	0.4413	0.0828	0.0649
2.9500	35.9973	0.0001	0.0000	0.0000	-0.0202	0.0159	-0.0013	-0.0518	0.0113	0.0448	-0.8119	-1.2652	1.2159	0.4180	-0.3616	-0.5817	-0.3081
2.9750	35.9973	0.0001	0.0000	0.0000	-0.0054	0.0263	-0.0002	-0.0577	0.0470	0.2160	1.5719	0.5256	-1.5278	-0.2958	-0.0042	0.6671	0.4286
3.0000	35.9973	0.0001	0.0000	0.0000	-0.0058	-0.0127	0.0070	0.0195	-0.0311	0.1019	0.5071	1.4982	0.2125	-0.1161	0.2111	-0.8455	-0.3827
3.0250	35.9973	0.0001	0.0000	0.0000	0.0107	-0.0198	-0.0112	0.0500	-0.0286	-0.1407	-1.3082	-0.8558	0.5056	-0.4851	-0.2785	0.3749	0.3727
3.0500	35.9973	0.0001	0.0000	0.0000	0.0476	-0.0102	0.0053	0.0679	0.0274	-0.2692	0.8540	0.3228	0.7276	0.4859	0.0055	0.2288	-0.7138
3.0750	35.9973	0.0001	0.0000	0.0000	0.0599	0.0308	0.0017	-0.0013	0.1212	-0.2584	0.9337	0.3454	-0.7908	-0.4754	-0.3861	-0.8832	-0.4900
3.1000	35.9973	0.0001	0.0000	0.0000	-0.0207	-0.0080	0.0052	-0.0047	-0.0367	-0.2976	-0.0043	1.1339	-0.6754	0.0684	-0.5967	0.0026	0.2515
3.1250	35.9973	0.0001	0.0000	0.0000	-0.0286	-0.0379	-0.0052	0.0468	-0.1040	-0.2334	-0.3268	-0.5053	-0.4002	0.0392	-0.3812	0.5210	0.2188
3.1500	35.9973	0.0001	0.0000	0.0000	0.0566	0.0220	0.0053	0.0128	0.1003	-0.1050	-0.2178	-1.3813	0.5411	0.2529	-0.4742	-0.2047	0.1675
3.1750	35.9973	0.0001	0.0000	0.0000	0.0495	0.0000	0.0042	0.0495	0.0495	0.1376	0.2079	1.6243	-1.0395	-0.1743	-0.3323	0.7189	0.0463
3.2000	35.9973	0.0001	0.0000	0.0000	-0.0142	-0.0736	0.0024	0.1323	-0.1607	0.4765	0.1298	0.3107	-0.8441	-0.5822	-0.0777	0.0404	-0.0983
3.2250	35.9973	0.0001	0.0000	0.0000	-0.0073	-0.0551	0.0141	0.1023	-0.1170	0.3124	-0.6063	-1.3995	0.3546	0.2383	0.1524	-0.1811	-0.1682
3.2500	35.9973	0.0001	0.0000	0.0000	0.0809	0.0087	0.0009	0.0636	0.0982	0.1733	1.1512	0.6724	-0.3912	0.2286	-0.2099	0.3702	0.0369
3.2750	35.9973	0.0001	0.0000	0.0000	0.0733	-0.0170	0.0075	0.1071	0.0395	-0.2548	-1.0281	0.4325	0.1060	0.7724	-0.0042	0.6200	0.3540
3.3000	35.9973	0.0001	0.0000	0.0000	-0.0197	-0.0380	-0.0063	0.0560	-0.0953	0.1518	-1.1180	-1.3424	-1.3858	-0.3977	0.1671	-0.2330	-0.1496
3.3250	35.9973	0.0001	0.0000	0.0000	-0.0352	-0.0104	-0.0004	-0.0144	-0.0559	-0.0836	1.4221	0.1810	1.0827	0.1947	0.6127	0.4786	0.3447
3.3500	35.9973	0.0001	0.0000	0.0000	0.0247	0.0442	-0.0145	-0.0632	0.1127	-0.1014	-0.8015	0.0659	-1.0040	-0.0579	0.0888	-0.1152	0.0696
3.3750	35.9973	0.0001	0.0000	0.0000	-0.0247	0.0551	-0.0042	-0.1344	0.0850	-0.2976	-1.2500	-0.9951	0.9317	-0.0724	0.2454	-0.4403	0.1162
3.4000	35.9973	0.0001	0.0000	0.0000	-0.0487	-0.0007	-0.0153	-0.0473	-0.0500	0.3659	1.2694	0.3393	0.2658	0.1850	-0.1952	0.1393	0.2235
3.4250	35.9973	0.0001	0.0000	0.0000	-0.0628	0.0066	-0.0012	-0.0759	-0.0497	-0.2905	-0.0700	-0.5611	0.1593	-0.7958	0.5392	-0.2848	0.1209
3.4500	35.9973	0.0001	0.0000	0.0000	-0.0028	0.0438	-0.0004	-0.0898	0.0843	0.1483	-1.5452	-0.5837	0.0439	-0.7036	-0.1120	-0.4120	0.4706
3.4750	35.9973	0.0001	0.0000	0.0000	-0.0312	0.0259	-0.0113	-0.0828	0.0203	0.2482	0.7151	0.4668	0.7897	0.0684	0.2846	-0.2989	-0.1542
3.5000	35.9973	0.0001	0.0000	0.0000	0.0293	0.0504	0.0006	-0.0709	0.1295	0.3873	0.0109	-0.9870	0.9229	0.5394	-0.2736	-0.1528	0.1862
3.5250	35.9973	0.0001	0.0000	0.0000	-0.0054	-0.0148	0.0069	0.0241	-0.0348	0.1554	-1.2352	0.1999	-1.4213	0.6414	-0.9981	-0.4356	0.2934
3.5500	35.9973	0.0001	0.0000	0.0000	-0.0869	-0.0500	-0.0030	0.0125	-0.1863	-0.2655	-1.0119	-0.4789	0.4345	0.2821	-0.4841	0.2147	0.2375
