time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	° 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	mm 	
0.0250	35.9973	0.0001	0.0000	0.0000	-0.0305	-0.0008	-0.0062	-0.0290	-0.0320	-0.3797	-0.8831	0.0979	0.8341	-0.3588	-0.0777	0.5399	-0.1449
0.0500	35.9973	0.0001	0.0000	0.0000	0.0320	0.0141	0.0021	0.0038	0.0601	-0.1443	-1.4504	-1.0241	1.2426	0.2626	-0.2246	-0.3272	-0.1542
0.0750	35.9973	0.0001	0.0000	0.0000	-0.0110	-0.0276	0.0087	0.0439	-0.0659	-0.3013	1.3864	0.4548	-0.8263	0.0733	0.1671	-0.7607	0.4473
0.1000	35.9973	0.0001	0.0000	0.0000	-0.0410	-0.0572	0.0005	0.0728	-0.1549	-0.1656	-0.1820	-0.4186	2.0595	0.8016	-0.8072	0.5869	0.1955
0.1250	35.9973	0.0001	0.0000	0.0000	0.0622	0.0264	0.0035	0.0097	0.1146	-0.2869	-1.7907	-0.4607	-0.4268	0.4520	0.7742	-0.3225	-0.3827
0.1500	35.9973	0.0001	0.0000	0.0000	-0.0455	-0.0108	-0.0046	-0.0240	-0.0670	-0.0265	1.4443	0.7368	0.7808	0.3160	-0.2343	-0.3696	0.0276
0.1750	35.9973	0.0001	0.0000	0.0000	-0.0462	-0.0061	-0.0031	-0.0341	-0.0584	0.1947	-0.4104	-1.2342	1.2959	-0.4172	-0.5967	-0.2141	-0.3827
0.2000	35.9973	0.0001	0.0000	0.0000	-0.0309	0.0224	0.0117	-0.0755	0.0137	-0.0373	0.1916	1.2991	0.6653	-0.4997	-0.1707	-0.4450	-0.2335
0.2250	35.9973	0.0001	0.0000	0.0000	-0.0045	0.0351	-0.0025	-0.0744	0.0654	0.3659	0.6679	1.0946	0.6743	-0.2229	-0.5477	0.3466	0.1069
0.2500	35.9973	0.0001	0.0000	0.0000	-0.0013	0.0360	0.0034	-0.0730	0.0704	0.2481	0.4858	-0.3216	-1.0306	0.4326	-0.6359	0.1535	-0.3314
0.2750	35.9973	0.0001	0.0000	0.0000	-0.0305	0.0051	-0.0070	-0.0406	-0.0204	0.1519	-0.6219	-1.3307	0.8518	0.3111	-0.6456	0.7802	-0.1962
0.3000	35.9973	0.0001	0.0000	0.0000	-0.0104	0.0044	0.0122	-0.0192	-0.0016	-0.2656	0.5547	1.6856	1.2869	0.6511	-0.1658	-0.7985	-0.0004
0.3250	35.9973	0.0001	0.0000	0.0000	-0.0561	-0.0252	0.0069	-0.0059	-0.1063	-0.2263	-0.9023	-0.9610	0.0349	0.3354	-0.7632	-0.2518	-0.1309
0.3500	35.9973	0.0001	0.0000	0.0000	0.0002	0.0570	0.0017	-0.1132	0.1137	0.1340	1.1801	0.1951	-0.8263	-0.0918	-0.2686	-0.3036	0.2188
0.3750	35.9973	0.0001	0.0000	0.0000	-0.0235	-0.0044	-0.0032	-0.0147	-0.0322	-0.3940	0.9722	1.2264	0.2303	-0.0967	-0.3568	-0.0492	0.2421
0.4000	35.9973	0.0001	0.0000	0.0000	-0.0003	0.0173	0.0131	-0.0348	0.0342	0.3909	-1.7050	-0.2075	-0.0184	-0.2812	-0.6260	-0.5958	-0.4480
0.4250	35.9973	0.0001	0.0000	0.0000	-0.0371	-0.0308	0.0088	0.0242	-0.0984	-0.1942	-0.9082	-1.1916	-0.7554	-0.4705	-0.3665	-0.0774	-0.0843
0.4500	35.9973	0.0001	0.0000	0.0000	0.0467	0.0463	0.0090	-0.0453	0.1388	0.1661	1.6440	0.3719	-0.5334	-0.0967	-0.2001	-0.3884	0.2468
0.4750	35.9973	0.0001	0.0000	0.0000	-0.0203	-0.0034	0.0061	-0.0134	-0.0271	0.0948	-1.3573	-0.1734	1.6954	0.3111	-0.3127	-0.4592	-0.6579
0.5000	35.9973	0.0001	0.0000	0.0000	-0.0027	0.0401	0.0022	-0.0825	0.0770	0.0662	0.5042	0.7645	-0.2226	-0.9706	0.0349	0.1864	-0.2801
0.5250	35.9973	0.0001	0.0000	0.0000	-0.0086	-0.0220	0.0203	0.0352	-0.0525	-0.2263	1.2058	0.6421	-1.5989	0.6802	-0.5477	0.6388	0.6245
0.5500	35.9973	0.0001	0.0000	0.0000	-0.0124	-0.0254	0.0051	0.0381	-0.0628	-0.0551	-0.4391	-1.1782	-0.8796	-0.2763	-0.4498	0.0026	0.1069
