time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
19.5000	1.1154	0.0000	0.0000	0.3260	0.3736	0.5437	-0.0078	-0.7084	1.4556	-15.3765	0.9236	-1.9576	-0.5266	0.2031	0.0876	-1.8166
19.5500	1.1317	0.0000	0.0000	0.3260	0.3965	0.5443	-0.0018	-0.6866	1.4796	-15.8296	1.0990	1.7286	0.9117	0.8004	-0.4951	-1.6188
19.6000	1.1480	0.0000	0.0000	0.3280	0.3969	0.5460	0.0698	-0.6896	1.4834	-14.7950	1.0848	-0.3090	0.3701	-0.5009	-0.5538	-1.1664
19.6500	1.1644	0.0000	0.0000	0.3340	0.4299	0.4886	-0.0684	-0.5424	1.4021	-14.8057	-0.9849	0.2057	1.8530	-0.6271	0.3862	-1.9062
19.7000	1.1811	0.0000	0.0000	0.3320	0.4471	0.4731	0.0026	-0.4943	1.3885	-15.4907	1.9717	0.0605	0.2813	0.2420	0.0581	-1.1145
19.7500	1.1977	0.0000	0.0000	0.3420	0.4789	0.4500	0.0032	-0.4165	1.3744	-17.8738	-1.0765	-0.2782	-1.2992	0.0867	0.6750	-2.5659
19.8000	1.2148	0.0000	0.0000	0.3400	0.5375	0.5062	0.0485	-0.4699	1.5449	-19.8359	0.5627	-0.3465	0.7697	0.2858	-0.1377	-2.4434
19.8500	1.2318	0.0000	0.0000	0.3440	0.5273	0.4826	0.0108	-0.4331	1.4876	-20.1177	0.4924	0.9894	-0.4112	-0.4329	-0.7840	-1.6847
19.9000	1.2490	0.0000	0.0000	0.3460	0.5709	0.5137	0.0064	-0.4514	1.5932	-20.0963	-1.6500	-1.2096	0.1126	-0.5591	0.6603	-1.4585
19.9500	1.2663	0.0000	0.0000	0.3500	0.5678	0.4871	-0.0045	-0.4015	1.5371	-18.3447	0.1538	0.2617	-0.5711	-0.1367	0.2050	-1.9722
20.0000	1.2838	0.0000	0.0000	0.3520	0.6085	0.4935	0.0387	-0.3736	1.5906	-17.9238	-1.1748	1.5079	0.9295	0.3100	-0.0789	-1.3973
20.0500	1.3014	0.0000	0.0000	0.3560	0.6105	0.4917	0.0228	-0.3679	1.5890	-19.5505	0.1828	-0.2156	0.5744	-0.5591	0.0581	-1.3360
20.1000	1.3192	0.0000	0.0000	0.3560	0.6199	0.4949	-0.0553	-0.3649	1.6047	-16.3968	-0.6848	0.0524	-1.1660	-0.0493	0.1316	-2.0759
20.1500	1.3370	0.0000	0.0000	0.3640	0.6735	0.5404	-0.0160	-0.4020	1.7489	-12.1586	-0.7655	-2.4162	-0.9795	-0.1610	-0.2062	-1.5528
20.2000	1.3552	0.0000	0.0000	0.3620	0.5729	0.5145	0.0365	-0.4508	1.5967	-13.5179	-1.1121	1.2324	-1.2814	0.2031	-0.2944	-1.9203
20.2500	1.3733	0.0000	0.0000	0.3660	0.5509	0.4527	-0.0384	-0.3500	1.4518	-15.4764	0.6611	0.3408	-0.8730	0.5965	0.4058	-2.6036
20.3000	1.3916	0.0000	0.0000	0.3660	0.6137	0.4746	-0.0362	-0.3308	1.5583	-18.3090	0.0844	1.5704	-1.4413	-0.2969	0.4401	-2.1371
20.3500	1.4099	0.0000	0.0000	0.3740	0.6109	0.4598	0.0119	-0.3042	1.5260	-20.3781	-0.3899	-1.1744	-0.7576	-0.1076	-0.7693	-1.9250
20.4000	1.4286	0.0000	0.0000	0.3760	0.6696	0.5053	0.0124	-0.3360	1.6752	-20.9097	-0.5470	0.3570	0.5832	0.2760	-0.0006	-1.4491
20.4500	1.4474	0.0000	0.0000	0.3780	0.6351	0.5003	-0.0952	-0.3604	1.6307	-19.0689	-0.0597	-2.2535	-1.0328	0.8781	0.5869	-2.2927
20.5000	1.4663	0.0000	0.0000	0.3820	0.6809	0.5413	-0.0001	-0.3962	1.7580	-17.5527	-1.2600	0.4120	0.8674	0.6936	-0.0006	-2.4058
20.5500	1.4854	0.0000	0.0000	0.3840	0.7446	0.4980	0.0124	-0.2464	1.7355	-17.1638	-0.3337	0.3989	-1.2459	-0.4620	-0.2698	-1.3691
20.6000	1.5046	0.0000	0.0000	0.3860	0.7092	0.4546	-0.0236	-0.1954	1.6137	-20.9525	0.1411	1.0643	-0.5711	-0.8116	0.6016	-2.1088
20.6500	1.5239	0.0000	0.0000	0.3880	0.8014	0.4470	-0.0526	-0.0881	1.6909	-18.6265	0.0364	-0.6692	-0.7753	0.7712	-0.3776	-1.7272
20.7000	1.5433	0.0000	0.0000	0.3900	0.7543	0.4704	0.0245	-0.1819	1.6905	-15.8403	-1.2169	-0.5009	-0.8020	-0.0736	-0.0103	-2.5942
20.7500	1.5628	0.0000	0.0000	0.3960	0.8012	0.5055	0.0201	-0.2047	1.8071	-11.0991	-0.4292	-0.7916	-1.7520	0.8829	0.0876	-2.1041
20.8000	1.5826	0.0000	0.0000	0.3960	0.8596	0.4695	-0.0389	-0.0748	1.7939	-10.9957	0.4631	-0.5853	0.8941	-0.7631	0.4254	-2.3445
20.8500	1.6024	0.0000	0.0000	0.3980	0.8432	0.3967	-0.0274	0.0539	1.6326	-18.5587	-0.6914	1.0856	-1.8231	0.1303	0.0484	-2.3539
20.9000	1.6223	0.0000	0.0000	0.4040	0.8799	0.4725	0.0059	-0.0603	1.8202	-20.6279	-0.0621	1.5381	0.6365	0.2469	0.5086	-2.0146
20.9500	1.6425	0.0000	0.0000	0.4060	0.8069	0.4769	0.0064	-0.1421	1.7560	-19.7182	-0.5593	-2.1564	-0.6244	-0.1124	0.0092	-2.0475
21.0000	1.6628	0.0000	0.0000	0.4100	0.8971	0.5336	-0.0416	-0.1649	1.9590	-19.0296	-0.8943	-1.7564	-0.5622	-0.3309	-0.7889	-1.9156
21.0500	1.6833	0.0000	0.0000	0.4120	0.8679	0.4314	-0.0903	0.0094	1.7265	-19.0974	1.0845	0.1123	-0.7664	-0.0639	0.2149	-2.7167
21.1000	1.7039	0.0000	0.0000	0.4160	0.9919	0.4991	-0.0242	-0.0014	1.9852	-16.2791	2.0846	1.1275	1.5778	0.1983	-0.1475	-2.1418
21.1500	1.7247	0.0000	0.0000	0.4160	0.9175	0.4487	-0.0111	0.0246	1.8103	-16.6930	0.0298	-2.5305	-1.1305	-0.5251	-0.0446	-2.4717
21.2000	1.7455	0.0000	0.0000	0.4200	1.0010	0.4483	0.0337	0.1089	1.8931	-19.0761	-0.6181	1.7200	-1.0949	-0.2969	-0.1083	-2.4058
21.2500	1.7665	0.0000	0.0000	0.4240	1.0153	0.4306	-0.0995	0.1585	1.8722	-18.4803	2.7162	-0.5536	1.0539	-0.0153	0.1659	-2.7921
21.3000	1.7877	0.0000	0.0000	0.4200	0.9443	0.4795	-0.0258	-0.0099	1.8984	-17.7168	-0.4682	-0.8300	0.8941	-0.7193	-0.4462	-2.7449
21.3500	1.8087	0.0000	0.0000	0.4320	0.9781	0.5362	-0.0018	-0.0890	2.0451	-19.0368	0.5243	0.0091	1.0450	0.0818	-0.1572	-2.4670
21.4000	1.8303	0.0000	0.0000	0.4320	0.9626	0.4293	-0.0646	0.1084	1.8169	-21.7374	0.7693	1.9652	1.4978	-0.0639	0.6946	-1.8921
21.4500	1.8519	0.0000	0.0000	0.4340	0.9952	0.4410	-0.0378	0.1176	1.8728	-20.1391	1.5309	-0.8243	-0.7309	0.6838	-0.6077	-1.7931
21.5000	1.8736	0.0000	0.0000	0.4380	1.0517	0.4520	-0.0083	0.1521	1.9512	-20.2212	-0.4078	2.2650	-0.5356	-0.0736	-0.8280	-2.6790
21.5500	1.8955	0.0000	0.0000	0.4400	1.0081	0.4319	0.0086	0.1487	1.8675	-20.5566	0.4535	-3.1804	0.8408	-0.5737	-0.3237	-2.6696
21.6000	1.9175	0.0000	0.0000	0.4400	1.0607	0.4318	-0.0586	0.2014	1.9200	-18.8085	-2.1493	0.9396	-0.8020	-0.4669	0.2246	-3.7063
21.6500	1.9395	0.0000	0.0000	0.4500	0.9898	0.4738	-0.0493	0.0470	1.9326	-18.6480	0.2182	-0.0682	-0.8818	0.4314	-0.8916	-2.8627
21.7000	1.9620	0.0000	0.0000	0.4500	1.0892	0.4960	0.0086	0.1023	2.0762	-16.4718	-0.7982	-0.1721	-0.5799	-0.0590	-0.1034	-2.4670
21.7500	1.9845	0.0000	0.0000	0.4520	1.1895	0.4626	0.0294	0.2688	2.1101	-18.7229	-0.5389	-1.5461	0.8318	-0.2775	-0.5489	-2.6649
21.8000	2.0071	0.0000	0.0000	0.4540	1.0912	0.4600	-0.0979	0.1758	2.0067	-15.5799	-0.4625	1.0587	-0.9085	-0.6854	0.0924	-2.6130
21.8500	2.0298	0.0000	0.0000	0.4560	1.2302	0.4473	-0.0078	0.3401	2.1203	-13.8247	-1.4663	-2.3210	0.5655	0.3489	0.7045	-3.6638
21.9000	2.0526	0.0000	0.0000	0.4600	1.1464	0.4589	-0.0138	0.2332	2.0596	-12.1301	-0.0515	1.2114	-0.0028	-0.5251	-0.2797	-2.7167
21.9500	2.0756	0.0000	0.0000	0.4620	1.1795	0.4760	-0.0542	0.2323	2.1268	-15.4764	-0.4918	-0.5161	1.1427	0.2080	0.1903	-2.5942
22.0000	2.0987	0.0000	0.0000	0.4640	1.2217	0.4878	-0.0843	0.2511	2.1924	-20.2248	-0.2552	-1.6035	-1.4857	-0.3454	-0.8623	-4.1115
22.0500	2.1219	0.0000	0.0000	0.4700	1.2385	0.4907	0.0245	0.2620	2.2151	-22.3795	1.0875	2.0826	0.4500	0.1935	-0.2503	-2.5706
22.1000	2.1454	0.0000	0.0000	0.4720	1.3669	0.4660	-0.0089	0.4395	2.2942	-25.0123	0.9112	-2.8130	1.3291	-0.3552	-0.4266	-2.9288
22.1500	2.1690	0.0000	0.0000	0.4740	1.3744	0.4723	-0.0739	0.4345	2.3142	-22.0086	1.9199	3.7192	-0.6954	0.5576	0.2981	-2.5659
22.2000	2.1927	0.0000	0.0000	0.4800	1.3694	0.5202	-0.0378	0.3343	2.4046	-19.2151	2.3755	-0.8055	1.1427	0.2760	0.6310	-2.4293
22.2500	2.2167	0.0000	0.0000	0.4800	1.3606	0.4851	-0.0067	0.3952	2.3260	-16.5717	0.4632	0.6513	0.9207	-0.2290	-0.5734	-2.9005
22.3000	2.2407	0.0000	0.0000	0.4840	1.3482	0.4274	-0.0477	0.4976	2.1988	-16.8641	2.3443	0.5688	0.2192	-0.2387	0.6212	-3.1361
22.3500	2.2649	0.0000	0.0000	0.4860	1.3801	0.3904	-0.0209	0.6031	2.1570	-14.1957	0.1073	-0.3744	-1.8319	0.0915	0.4401	-3.1785
22.4000	2.2892	0.0000	0.0000	0.4880	1.2930	0.4697	-0.0225	0.3583	2.2276	-12.2122	-0.3373	-0.7290	0.9207	-0.2823	0.1316	-3.1126
22.4500	2.3136	0.0000	0.0000	0.4900	1.3403	0.5043	-0.0788	0.3367	2.3439	-15.0768	1.5259	1.3911	0.8141	-0.1367	0.4988	-2.5236
22.5000	2.3381	0.0000	0.0000	0.4940	1.4095	0.4467	-0.0711	0.5207	2.2984	-20.6386	0.2903	1.0148	1.3646	-0.8699	0.4743	-3.8100
22.5500	2.3628	0.0000	0.0000	0.4980	1.4898	0.4491	-0.0154	0.5962	2.3834	-22.8540	1.2756	-0.4016	-1.5300	0.2177	0.0973	-3.6828
22.6000	2.3877	0.0000	0.0000	0.5000	1.4115	0.4418	0.0195	0.5324	2.2906	-22.3295	0.0696	0.3754	0.7697	-0.0590	-0.3482	-3.1926
22.6500	2.4127	0.0000	0.0000	0.5040	1.3937	0.4696	-0.0788	0.4593	2.3281	-21.3735	0.7525	-2.8853	-0.5977	0.6936	-0.0153	-3.9089
22.7000	2.4379	0.0000	0.0000	0.5060	1.5306	0.4601	-0.0176	0.6150	2.4461	-16.7000	-1.2926	1.4196	-1.2992	-0.3454	-0.3188	-3.3906
22.7500	2.4632	0.0000	0.0000	0.5080	1.4461	0.4163	0.0108	0.6177	2.2745	-14.9556	0.1625	-2.4839	-0.8375	-0.7825	0.0533	-3.1644
22.8000	2.4886	0.0000	0.0000	0.5100	1.4967	0.4470	0.0108	0.6073	2.3861	-18.3483	0.5601	2.2085	-1.4413	-0.1998	-0.5098	-2.6979
22.8500	2.5141	0.0000	0.0000	0.5180	1.5015	0.4353	-0.0198	0.6351	2.3678	-20.4994	-0.5635	0.4530	-1.4679	-0.2823	0.4450	-3.7251
22.9000	2.5400	0.0000	0.0000	0.5160	1.5499	0.5289	-0.0012	0.4973	2.6025	-23.1180	-0.1936	1.0430	-1.5123	-0.3066	0.3176	-3.3576
22.9500	2.5658	0.0000	0.0000	0.5200	1.6135	0.4498	-0.0001	0.7185	2.5085	-17.8987	-0.2794	-0.4470	0.1837	-0.5542	0.7093	-2.9901
23.0000	2.5918	0.0000	0.0000	0.5160	1.5871	0.4637	-0.0739	0.6644	2.5098	-11.3025	1.2700	0.1830	0.9029	0.4750	-0.0642	-3.7251
23.0500	2.6176	0.0000	0.0000	0.5280	1.5711	0.4638	-0.0471	0.6481	2.4941	-12.0837	-0.1501	-1.9493	-0.3047	-0.3358	-0.6371	-3.9419
23.1000	2.6440	0.0000	0.0000	0.5300	1.6634	0.4175	0.0430	0.8327	2.4942	-21.5304	-0.7759	1.6205	1.2847	-0.3989	0.3225	-3.0324
23.1500	2.6705	0.0000	0.0000	0.5300	1.6586	0.4488	0.0004	0.7656	2.5517	-25.0979	-0.8006	-0.5117	-1.6189	0.4702	0.3862	-3.7393
23.2000	2.6970	0.0000	0.0000	0.5340	1.6311	0.4557	-0.0886	0.7242	2.5379	-20.0464	0.2331	2.3634	0.7519	0.2031	-0.0299	-3.2210
23.2500	2.7237	0.0000	0.0000	0.5360	1.7166	0.4425	-0.0826	0.8360	2.5973	-17.0568	1.0390	-0.5510	-1.0594	-0.1076	0.1610	-4.3612
23.3000	2.7505	0.0000	0.0000	0.5400	1.6822	0.4376	0.0097	0.8113	2.5530	-19.2687	0.3394	1.5691	0.5744	-0.0396	0.5527	-3.9890
23.3500	2.7775	0.0000	0.0000	0.5440	1.7449	0.4719	0.0174	0.8057	2.6840	-20.0464	-0.1843	-1.3086	1.6754	0.3828	-0.4069	-3.5979
23.4000	2.8047	0.0000	0.0000	0.5440	1.7775	0.4511	-0.0367	0.8798	2.6752	-16.4432	1.0821	1.0094	0.9384	-0.6222	-0.0006	-2.9995
23.4500	2.8319	0.0000	0.0000	0.5460	1.7374	0.3947	-0.0438	0.9519	2.5229	-17.0568	1.1921	1.3426	0.0149	-0.5397	-0.5245	-3.4235
23.5000	2.8592	0.0000	0.0000	0.5480	1.7918	0.4342	-0.0105	0.9278	2.6558	-17.7775	-0.1087	-1.5712	-0.0650	1.0772	-0.2797	-4.3755
23.5500	2.8866	0.0000	0.0000	0.5560	1.7679	0.4617	0.0245	0.8491	2.6868	-17.7096	0.5876	1.3643	0.2370	-0.1367	-0.0299	-3.6828
23.6000	2.9144	0.0000	0.0000	0.5560	1.8009	0.4400	-0.0995	0.9252	2.6766	-16.5788	0.3796	1.1590	-0.6688	0.8635	0.4694	-3.6828
23.6500	2.9422	0.0000	0.0000	0.5580	1.8565	0.3944	-0.0422	1.0717	2.6414	-17.0925	1.6491	0.0793	-0.9174	-0.4425	0.0434	-4.1446
23.7000	2.9701	0.0000	0.0000	0.5580	1.8725	0.4420	-0.0094	0.9929	2.7521	-20.7634	-0.0614	-0.9625	0.9650	-0.7825	-0.1719	-4.0220
23.7500	2.9980	0.0000	0.0000	0.5680	1.8808	0.4450	0.0365	0.9952	2.7663	-24.0741	1.7907	2.3269	-1.2193	0.4557	-0.0789	-3.5037
23.8000	3.0264	0.0000	0.0000	0.5620	1.9176	0.4060	-0.0362	1.1098	2.7255	-20.6600	0.1210	0.0326	0.0594	-0.1513	-0.4412	-3.3906
23.8500	3.0545	0.0000	0.0000	0.5740	1.8241	0.4036	-0.0957	1.0208	2.6273	-15.6513	0.8384	-0.1588	0.8585	0.3246	0.0043	-3.6497
23.9000	3.0832	0.0000	0.0000	0.5740	1.9750	0.4342	-0.0389	1.1108	2.8391	-18.8833	-1.1141	-1.1864	1.1337	-0.3261	-0.1132	-3.6544
23.9500	3.1119	0.0000	0.0000	0.5740	1.9295	0.4269	0.0168	1.0799	2.7791	-21.0738	-1.0154	0.3163	0.6809	0.1643	0.4547	-4.4367
24.0000	3.1406	0.0000	0.0000	0.5720	2.0040	0.4218	0.0059	1.1646	2.8433	-16.6537	1.2511	-1.2972	-0.8730	0.0332	-0.2307	-4.0644
24.0500	3.1692	0.0000	0.0000	0.5860	1.9714	0.4322	0.0152	1.1114	2.8314	-18.6087	0.5823	1.5277	-0.9884	0.2905	0.5624	-4.4885
24.1000	3.1985	0.0000	0.0000	0.5840	2.0132	0.4224	-0.0668	1.1727	2.8537	-19.3329	0.6189	1.2266	0.0149	-0.1367	0.8464	-4.0550
24.1500	3.2277	0.0000	0.0000	0.5860	1.9710	0.4046	0.0075	1.1658	2.7763	-17.8238	-0.1423	-0.5365	-1.3525	-0.2678	-0.4266	-3.7534
24.2000	3.2570	0.0000	0.0000	0.5880	2.1013	0.3839	-0.0018	1.3373	2.8653	-18.3696	-1.7120	-0.5401	-0.9262	0.5479	0.4401	-3.2398
24.2500	3.2864	0.0000	0.0000	0.5920	2.1081	0.4591	0.0616	1.1945	3.0218	-17.7383	-1.9020	0.7621	-0.1626	0.1789	0.0484	-3.4188
24.3000	3.3160	0.0000	0.0000	0.5940	2.1856	0.4449	-0.0416	1.3003	3.0710	-19.4363	0.6282	-1.1250	-1.0594	-0.5737	0.4988	-3.5979
24.3500	3.3457	0.0000	0.0000	0.5960	2.1945	0.3978	-0.0362	1.4028	2.9862	-22.4152	0.2977	0.3756	-0.2780	-0.0104	-0.7497	-3.3576
24.4000	3.3755	0.0000	0.0000	0.6000	2.1728	0.3734	-0.0203	1.4296	2.9159	-17.2459	0.2233	0.1897	-0.8463	-0.1804	-0.0446	-3.6073
24.4500	3.4055	0.0000	0.0000	0.6020	2.2111	0.4205	-0.0160	1.3743	3.0479	-16.4575	0.3337	-0.3195	-0.2514	0.3440	-0.2650	-4.2718
24.5000	3.4356	0.0000	0.0000	0.6040	2.2094	0.4565	0.0026	1.3010	3.1178	-18.2163	-1.1055	-1.0375	-0.2870	0.3634	-0.4412	-3.4047
24.5500	3.4658	0.0000	0.0000	0.6080	2.2771	0.4365	0.0430	1.4084	3.1459	-20.2819	-1.4083	-0.8024	1.3735	0.6159	-0.3237	-4.7477
24.6000	3.4962	0.0000	0.0000	0.6060	2.2840	0.4391	-0.0597	1.4103	3.1578	-19.9608	-0.2007	1.2608	-0.8641	-0.7193	-0.0103	-2.7733
24.6500	3.5265	0.0000	0.0000	0.6180	2.2728	0.4567	0.0119	1.3640	3.1815	-16.6537	0.9858	-0.1537	1.8352	-0.3892	-0.6371	-3.8900
24.7000	3.5574	0.0000	0.0000	0.6100	2.3731	0.4185	-0.0012	1.5402	3.2059	-19.6933	-1.0439	1.6090	-0.6598	0.3002	0.1316	-3.9937
24.7500	3.5879	0.0000	0.0000	0.6220	2.3932	0.4072	0.0081	1.5828	3.2036	-18.9548	0.6657	-1.4533	-1.5745	-0.3795	0.3421	-3.4895
24.8000	3.6190	0.0000	0.0000	0.6200	2.3663	0.3644	-0.0843	1.6411	3.0914	-17.0211	0.2153	1.6714	0.1126	-0.3989	-0.8868	-3.8288
24.8500	3.6500	0.0000	0.0000	0.6220	2.3779	0.3552	-0.0493	1.6711	3.0847	-16.2256	-0.4871	-1.0736	-1.5567	0.4022	-0.1621	-3.8288
24.9000	3.6811	0.0000	0.0000	0.6260	2.4421	0.3752	-0.0143	1.6956	3.1887	-23.9386	0.3491	1.2696	1.5600	0.4265	-0.5588	-4.1493
24.9500	3.7124	0.0000	0.0000	0.6280	2.4125	0.3748	-0.0061	1.6666	3.1584	-22.0121	0.7137	0.7862	0.5389	0.2905	-0.3873	-3.5366
25.0000	3.7438	0.0000	0.0000	0.6320	2.5210	0.3888	-0.0733	1.7473	3.2947	-16.1828	0.5822	0.2911	0.3612	-0.0104	-0.0593	-3.7346
25.0500	3.7754	0.0000	0.0000	0.6320	2.4942	0.4432	-0.0657	1.6123	3.3761	-15.4800	-0.3237	-0.3221	1.7731	0.1013	-0.3629	-3.5650
25.1000	3.8070	0.0000	0.0000	0.6380	2.4543	0.4093	-0.0302	1.6398	3.2689	-21.5590	-0.0029	-1.5231	0.7076	0.1060	-0.5636	-3.7063
25.1500	3.8389	0.0000	0.0000	0.6380	2.4431	0.3876	-0.0045	1.6717	3.2145	-23.4641	0.6682	1.3596	0.9207	-0.5931	-0.3286	-3.9137
25.2000	3.8708	0.0000	0.0000	0.6420	2.5381	0.3142	-0.1017	1.9128	3.1634	-17.9879	-0.8296	-2.5076	0.7076	-0.5883	-0.1867	-3.8382
25.2500	3.9029	0.0000	0.0000	0.6440	2.5102	0.3380	-0.0318	1.8375	3.1829	-12.7829	-0.4875	2.2424	1.3114	-0.3358	-0.4559	-3.6922
25.3000	3.9351	0.0000	0.0000	0.6460	2.5625	0.3521	-0.0367	1.8618	3.2633	-17.0461	1.6109	-1.2230	0.5566	0.8004	-0.6811	-3.7487
25.3500	3.9674	0.0000	0.0000	0.6500	2.6080	0.3450	-0.0755	1.9215	3.2946	-21.9621	0.4653	2.6488	-1.4413	-0.4425	0.5134	-4.5639
25.4000	3.9999	0.0000	0.0000	0.6500	2.6475	0.3944	-0.0717	1.8626	3.4324	-19.2865	1.4348	-1.1719	0.1215	0.2469	0.1169	-3.9231
25.4500	4.0324	0.0000	0.0000	0.6540	2.6911	0.3414	-0.0313	2.0117	3.3705	-16.7571	0.8972	1.3327	-1.1482	-0.0930	-0.6321	-4.1068
25.5000	4.0651	0.0000	0.0000	0.6560	2.6322	0.3070	-0.0018	2.0213	3.2430	-19.3364	-0.5391	-1.1249	0.3524	-0.0299	0.4450	-3.8477
25.5500	4.0979	0.0000	0.0000	0.6580	2.7247	0.3418	-0.0935	2.0445	3.4048	-22.7434	-0.2561	-0.3396	-1.5034	0.2469	0.0581	-3.5366
25.6000	4.1308	0.0000	0.0000	0.6620	2.8100	0.3381	-0.0657	2.1371	3.4828	-21.5019	-1.3992	-1.4959	-1.5212	-0.6562	-0.6567	-3.9278
25.6500	4.1639	0.0000	0.0000	0.6640	2.7569	0.3437	-0.0340	2.0730	3.4409	-14.8378	0.0835	1.5976	-0.1448	0.4896	-0.1915	-4.3095
25.7000	4.1971	0.0000	0.0000	0.6620	2.7987	0.2998	-0.0569	2.2021	3.3954	-19.6040	-0.1246	-1.0811	1.5155	0.4799	-0.3433	-4.6534
25.7500	4.2302	0.0000	0.0000	0.6740	2.8875	0.3537	-0.0668	2.1837	3.5914	-22.5329	-1.3286	-0.7798	-0.0561	0.0235	0.2442	-4.9692
25.8000	4.2639	0.0000	0.0000	0.6660	2.9806	0.3196	-0.0324	2.3445	3.6167	-17.4528	-0.2385	0.7738	1.3735	-0.2387	-0.3140	-4.6440
25.8500	4.2972	0.0000	0.0000	0.6780	2.9980	0.3152	-0.0176	2.3707	3.6253	-11.6556	0.6606	-2.9478	-1.2726	-0.2387	-0.8036	-3.6828
25.9000	4.3311	0.0000	0.0000	0.6720	2.9859	0.2933	-0.0662	2.4022	3.5696	-17.9415	1.1697	3.6813	0.5566	-0.4717	-0.3580	-4.0880
25.9500	4.3647	0.0000	0.0000	0.6840	3.1226	0.3155	-0.0067	2.4948	3.7504	-24.6342	-0.8999	-2.4084	1.1959	-0.1027	-0.5734	-4.0031
26.0000	4.3989	0.0000	0.0000	0.6800	3.0095	0.3093	0.0316	2.3939	3.6250	-19.6290	0.8399	2.6814	0.9117	0.2809	-0.0398	-4.5827
26.0500	4.4329	0.0000	0.0000	0.6840	3.0372	0.3719	-0.1132	2.2971	3.7773	-11.6271	-1.7198	-3.1895	0.1571	-0.6029	-0.2307	-4.1446
26.1000	4.4671	0.0000	0.0000	0.6860	3.1151	0.2403	0.0037	2.6370	3.5933	-14.3206	-0.7249	0.4623	1.7376	-0.1221	-0.2747	-4.0786
26.1500	4.5014	0.0000	0.0000	0.6880	3.1437	0.2946	0.0015	2.5573	3.7300	-24.8340	-1.3794	-2.5163	0.2103	-0.3940	0.0728	-4.4602
26.2000	4.5358	0.0000	0.0000	0.6900	3.1055	0.2518	-0.0979	2.6044	3.6065	-25.2549	1.7794	1.0230	-0.6510	0.6887	0.0777	-4.5686
26.2500	4.5703	0.0000	0.0000	0.6920	3.1183	0.3667	-0.0668	2.3885	3.8481	-13.3966	1.8065	-0.6364	0.4500	0.2760	-0.8329	-4.3236
26.3000	4.6049	0.0000	0.0000	0.6940	3.1146	0.2344	0.0097	2.6481	3.5811	-13.9353	-0.9012	0.9348	0.0594	-0.3454	-0.2650	-4.9032
26.3500	4.6396	0.0000	0.0000	0.6980	3.1910	0.3214	-0.0274	2.5515	3.8306	-22.1833	0.6697	0.4898	1.0539	-0.2436	0.1267	-3.6875
26.4000	4.6745	0.0000	0.0000	0.7000	3.1945	0.2579	-0.0395	2.6812	3.7078	-22.7756	-0.3855	-0.0738	0.0416	-0.6173	0.0876	-3.8900
26.4500	4.7095	0.0000	0.0000	0.7020	3.1688	0.3402	-0.0646	2.4918	3.8457	-14.7986	0.2736	-1.3625	-0.6510	-0.4183	-0.5734	-4.6299
26.5000	4.7446	0.0000	0.0000	0.7060	3.2226	0.2589	-0.0029	2.7074	3.7377	-15.9866	-2.0834	-1.4969	-0.2780	0.6838	-0.0741	-4.6299
26.5500	4.7799	0.0000	0.0000	0.7060	3.3207	0.2900	-0.1050	2.7436	3.8979	-19.9429	0.1687	2.6933	-1.0150	-0.1027	-0.6860	-4.0691
26.6000	4.8152	0.0000	0.0000	0.7100	3.2364	0.3027	-0.0564	2.6340	3.8388	-20.1427	-2.5163	-1.3900	0.2103	-0.7290	-0.4510	-4.2058
26.6500	4.8507	0.0000	0.0000	0.7100	3.3470	0.2873	-0.0324	2.7753	3.9187	-13.6427	2.9000	2.0448	0.0061	0.5479	-0.2356	-4.9032
26.7000	4.8862	0.0000	0.0000	0.7140	3.3807	0.2824	-0.1028	2.8187	3.9427	-14.4739	0.6701	-2.8261	-1.1394	0.5139	0.0386	-5.7184
26.7500	4.9219	0.0000	0.0000	0.7160	3.3758	0.2868	0.1173	2.8050	3.9466	-17.8916	-1.2347	-2.4296	2.0217	0.3732	0.1707	-5.5299
26.8000	4.9577	0.0000	0.0000	0.7180	3.4654	0.2598	0.1479	2.9483	3.9825	-19.7360	-0.6858	1.7376	1.2048	0.4799	-0.3972	-5.2895
26.8500	4.9936	0.0000	0.0000	0.7200	3.4828	0.2312	-0.0848	3.0228	3.9428	-19.2008	0.2957	0.8513	-0.9529	-0.4474	-0.4706	-4.7289
26.9000	5.0296	0.0000	0.0000	0.7160	3.5480	0.2882	-0.2476	2.9745	4.1215	-21.9835	1.0738	0.4391	-0.7664	0.3634	-1.3029	-4.8467
26.9500	5.0654	0.0000	0.0000	0.7300	3.5795	0.2560	-0.1285	3.0701	4.0890	-21.5876	1.0319	0.9036	1.4623	0.2954	-0.6615	-5.5959
27.0000	5.1019	0.0000	0.0000	0.7280	3.5113	0.2751	-0.0313	2.9639	4.0587	-14.1742	-2.2267	0.0200	1.1337	-0.5009	0.6995	-5.1388
27.0500	5.1383	0.0000	0.0000	0.7300	3.6065	0.2767	-0.0384	3.0559	4.1571	-17.3351	-2.2130	-3.7044	-0.8108	0.0624	-0.9358	-5.4216
27.1000	5.1748	0.0000	0.0000	0.7240	3.5144	0.2599	0.0070	2.9972	4.0316	-18.2947	-2.3927	0.5868	0.4944	0.2809	-0.7790	-5.4875
