time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	° 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
1.7000	0.0030	0.0000	0.0000	0.0000	0.0325	0.0026	-0.0100	0.0273	0.0377	0.2384	0.1402	-0.1452	0.7431	-0.5251	-0.4020	0.5206
1.7500	0.0030	0.0000	0.0000	0.0000	-0.0279	-0.0083	0.0124	-0.0113	-0.0445	0.2920	0.3698	0.2219	0.6809	-0.2678	-0.0936	0.1860
1.8000	0.0030	0.0000	0.0000	0.0000	-0.0494	-0.0814	0.0163	0.1126	-0.2115	0.3348	0.0829	-0.0331	1.0273	-0.4620	0.8024	0.7892
1.8500	0.0030	0.0000	0.0000	0.0000	0.0405	0.0668	0.0343	-0.0924	0.1735	0.1992	-0.5899	-0.3881	-0.8552	0.1838	-0.5734	0.3274
1.9000	0.0030	0.0000	0.0000	0.0000	0.0551	-0.0271	-0.0460	0.1090	0.0011	-0.1040	-1.3466	-1.0506	1.3380	0.4168	0.1512	0.0447
1.9500	0.0030	0.0000	0.0000	0.0000	-0.0087	-0.0016	0.0255	-0.0055	-0.0118	0.2420	0.6091	0.2895	-1.4857	-0.5785	0.4008	-1.1239
2.0000	0.0030	0.0000	0.0000	0.0000	-0.0272	0.0115	0.0081	-0.0501	-0.0044	0.0636	0.9303	1.1405	0.7875	-0.0833	0.1707	-0.1768
2.0500	0.0030	0.0000	0.0000	0.0000	-0.0189	0.0619	0.0403	-0.1420	0.1043	-0.3680	0.7704	0.2801	-0.1360	0.6208	0.0092	0.2190
2.1000	0.0030	0.0000	0.0000	0.0000	-0.0287	0.0020	0.0021	-0.0327	-0.0246	0.1992	0.2265	0.5021	-0.0294	-0.4669	0.3128	0.2143
2.1500	0.0030	0.0000	0.0000	0.0000	-0.0871	-0.0289	-0.0023	-0.0295	-0.1447	0.0815	-0.1509	-0.6855	0.8052	-0.1124	0.0288	0.3509
2.2000	0.0030	0.0000	0.0000	0.0000	0.0808	-0.0101	0.0184	0.1010	0.0606	-0.7569	-1.0659	-0.6049	0.9740	-0.0250	-0.3384	0.1860
2.2500	0.0030	0.0000	0.0000	0.0000	0.0304	-0.0433	0.0305	0.1165	-0.0558	-0.2860	0.8313	0.0591	-1.1926	-0.4183	0.7975	0.3887
2.3000	0.0030	0.0000	0.0000	0.0000	0.0118	-0.0494	-0.0192	0.1101	-0.0866	-0.2575	-0.2051	0.1603	0.8318	-0.0250	0.1806	0.2096
2.3500	0.0030	0.0000	0.0000	0.0000	0.0256	-0.0470	-0.0384	0.1191	-0.0679	0.2064	1.4112	0.3787	-0.7309	-0.5980	-0.0692	-0.5727
2.4000	0.0030	0.0000	0.0000	0.0000	0.0239	0.0042	0.0305	0.0155	0.0322	-0.3359	0.6478	0.7493	0.6543	0.4119	0.5967	0.2190
2.4500	0.0030	0.0000	0.0000	0.0000	0.0533	0.0136	0.0152	0.0261	0.0804	0.0458	-0.0354	-0.9368	-0.1804	-0.0347	-0.1768	0.4687
2.5000	0.0030	0.0000	0.0000	0.0000	0.0300	-0.0245	-0.0307	0.0788	-0.0188	-0.2575	1.0378	1.1342	-0.5266	0.5867	0.2785	0.1341
2.5500	0.0030	0.0000	0.0000	0.0000	0.0806	0.0035	-0.0509	0.0736	0.0877	0.3347	-0.7002	-1.5367	0.0416	-0.0784	-0.5098	0.1294
2.6000	0.0030	0.0000	0.0000	0.0000	0.0911	0.0100	-0.0362	0.0713	0.1109	-0.8033	0.2803	0.4989	-0.0827	-0.7582	0.6750	-0.5727
2.6500	0.0030	0.0000	0.0000	0.0000	-0.0147	-0.0745	0.0348	0.1336	-0.1629	0.0244	0.4580	-0.8433	-1.4324	0.2954	-0.2405	0.7798
2.7000	0.0030	0.0000	0.0000	0.0000	0.0869	0.0035	0.0239	0.0799	0.0939	0.2420	0.5701	1.4877	1.4001	0.5576	0.0581	-0.7140
2.7500	0.0030	0.0000	0.0000	0.0000	-0.0164	0.0139	0.0507	-0.0441	0.0113	-0.2075	0.9814	-0.0176	-1.2636	0.2712	0.6065	0.3274
2.8000	0.0030	0.0000	0.0000	0.0000	-0.0669	-0.0405	-0.0629	0.0136	-0.1475	0.2920	0.1878	1.2790	-0.0472	-0.2872	-0.1279	0.2803
2.8500	0.0030	0.0000	0.0000	0.0000	0.0265	-0.0245	0.0261	0.0753	-0.0223	-0.1932	-0.1223	-0.7414	0.6454	-0.2484	-0.1229	0.7515
2.9000	0.0030	0.0000	0.0000	0.0000	0.0520	0.0122	0.0163	0.0278	0.0762	-0.0327	-1.2423	-0.1326	0.2725	0.0283	0.0238	0.5865
2.9500	0.0030	0.0000	0.0000	0.0000	-0.0281	-0.0609	0.0272	0.0931	-0.1493	0.2598	1.3096	0.6156	1.2581	-0.1949	-0.4363	0.6384
3.0000	0.0030	0.0000	0.0000	0.0000	0.0007	0.0072	0.0414	-0.0136	0.0150	-0.4287	-0.2163	1.3296	0.7785	0.8198	0.0728	-0.0402
3.0500	0.0030	0.0000	0.0000	0.0000	-0.0225	0.0091	-0.0531	-0.0406	-0.0044	-0.1825	0.3720	-0.6752	1.9151	0.5139	-0.1719	-0.6103
3.1000	0.0030	0.0000	0.0000	0.0000	-0.0409	-0.0393	0.0097	0.0373	-0.1191	0.0672	-0.9182	0.2155	-0.9085	-0.3746	-0.2698	-0.0072
3.1500	0.0030	0.0000	0.0000	0.0000	0.0358	0.0110	0.0255	0.0139	0.0577	0.5381	-0.5713	-0.9599	0.4323	-0.5009	-0.2160	-0.0825
3.2000	0.0030	0.0000	0.0000	0.0000	0.0161	0.0135	0.0365	-0.0108	0.0430	0.0565	-1.0754	-0.7266	-0.1981	-0.6951	0.6555	0.3227
3.2500	0.0030	0.0000	0.0000	0.0000	-0.0445	-0.0536	-0.0220	0.0622	-0.1512	-0.5072	0.5394	0.7828	-0.2337	-0.3212	0.2834	-0.2381
3.3000	0.0030	0.0000	0.0000	0.0000	0.0450	-0.0077	-0.0526	0.0603	0.0297	-0.0470	0.9424	1.1805	-0.6066	0.8975	-0.4853	-0.4030
3.3500	0.0030	0.0000	0.0000	0.0000	0.0421	-0.0188	0.0081	0.0794	0.0047	-0.4108	0.3902	0.8323	1.4446	0.0624	-0.3433	-0.9120
3.4000	0.0030	0.0000	0.0000	0.0000	0.0002	-0.0570	0.0277	0.1137	-0.1132	-0.1576	-0.2924	-0.4598	-0.3403	-0.2823	0.0581	-0.6668
3.4500	0.0030	0.0000	0.0000	0.0000	0.0607	-0.0051	0.0245	0.0709	0.0505	-0.1469	-0.9220	-0.4910	1.0894	0.1109	-1.0630	0.5112
3.5000	0.0030	0.0000	0.0000	0.0000	0.0188	-0.0485	0.0348	0.1154	-0.0778	0.4703	-0.6145	-1.2835	-0.8463	-0.4086	0.1512	0.2519
3.5500	0.0030	0.0000	0.0000	0.0000	-0.0147	-0.0582	-0.0395	0.1011	-0.1305	0.0565	0.5131	1.1784	-0.7309	0.7615	0.4008	0.6384
3.6000	0.0030	0.0000	0.0000	0.0000	0.0510	0.0016	-0.0427	0.0479	0.0542	0.1493	1.3409	0.4779	-1.2015	0.1692	-0.3286	0.3180
3.6500	0.0030	0.0000	0.0000	0.0000	0.0326	-0.0062	0.0108	0.0449	0.0203	0.0708	0.6399	0.9943	0.3967	0.0235	-0.0838	-0.1815
3.7000	0.0030	0.0000	0.0000	0.0000	0.0506	-0.0428	0.0250	0.1358	-0.0346	0.1814	-0.7359	-1.2629	-0.5356	-0.0202	-0.2846	-0.1156
3.7500	0.0030	0.0000	0.0000	0.0000	0.0161	-0.0587	0.0469	0.1330	-0.1007	-0.3252	0.5497	0.8774	0.8496	-0.5251	-0.3384	0.1625
3.8000	0.0030	0.0000	0.0000	0.0000	0.0568	0.0402	-0.0362	-0.0232	0.1368	0.3062	-0.4611	-1.0479	-1.0328	0.8975	0.0484	-0.1109
3.8500	0.0030	0.0000	0.0000	0.0000	-0.0067	0.0034	-0.0460	-0.0134	0.0000	-0.1575	-0.3828	-0.1556	0.8851	0.0283	0.0827	-0.4973
3.9000	0.0030	0.0000	0.0000	0.0000	-0.0576	-0.0106	0.0365	-0.0366	-0.0787	-0.4251	1.4700	0.6334	1.1959	-0.2921	0.0386	0.1719
3.9500	0.0030	0.0000	0.0000	0.0000	-0.0541	-0.0356	0.0042	0.0169	-0.1250	-0.2432	0.0832	0.7822	0.4856	0.3002	-0.4657	0.5018
4.0000	0.0030	0.0000	0.0000	0.0000	0.0542	0.0340	0.0277	-0.0136	0.1219	0.1635	-0.2455	-0.6663	1.0273	-0.0688	-0.2551	-0.0968
4.0500	0.0030	0.0000	0.0000	0.0000	-0.0070	0.0168	0.0474	-0.0404	0.0263	0.6665	0.5063	0.9750	0.7785	0.5382	0.5673	-1.1711
4.1000	0.0030	0.0000	0.0000	0.0000	0.0338	-0.0481	0.0496	0.1296	-0.0619	0.1171	1.1811	0.8541	-1.2814	-0.4377	-0.4167	-0.4171
4.1500	0.0030	0.0000	0.0000	0.0000	-0.0259	0.0056	-0.0548	-0.0369	-0.0148	-0.2931	0.6564	0.8983	2.1549	-0.4766	0.2491	-0.6339
4.2000	0.0030	0.0000	0.0000	0.0000	0.0213	0.0588	0.0015	-0.0957	0.1383	0.1956	-0.7897	-1.2597	-1.5923	0.4314	0.5723	-0.2193
4.2500	0.0030	0.0000	0.0000	0.0000	-0.0071	0.0593	0.0294	-0.1252	0.1110	-0.0041	-0.9202	-0.5455	0.8496	-0.0445	-0.7056	-0.1156
4.3000	0.0030	0.0000	0.0000	0.0000	-0.0465	0.0332	0.0245	-0.1125	0.0196	-0.0862	1.4937	0.3194	-0.6954	-0.2678	-0.2062	-0.4784
4.3500	0.0030	0.0000	0.0000	0.0000	-0.0029	0.0722	0.0163	-0.1465	0.1407	-0.0113	0.0968	1.1891	1.6221	-0.5591	-0.0446	-0.7282
4.4000	0.0030	0.0000	0.0000	0.0000	-0.0193	0.0432	-0.0619	-0.1053	0.0667	0.0957	0.2887	-0.5888	-1.2459	-0.7047	-0.8084	-0.5680
4.4500	0.0030	0.0000	0.0000	0.0000	-0.0788	-0.0118	-0.0274	-0.0553	-0.1024	0.0922	-1.5389	-0.0881	1.7819	0.5819	0.0141	-0.7989
4.5000	0.0030	0.0000	0.0000	0.0000	-0.0638	0.0145	0.0343	-0.0927	-0.0348	0.1243	-0.6898	-1.4422	0.0239	0.4945	-0.4999	-0.2428
4.5500	0.0030	0.0000	0.0000	0.0000	0.0037	-0.0347	0.0277	0.0727	-0.0653	0.2027	-0.7066	0.3118	-1.0594	-0.3358	0.3911	0.1484
4.6000	0.0030	0.0000	0.0000	0.0000	0.0162	0.0448	0.0337	-0.0730	0.1054	0.4061	1.2275	0.2534	0.0239	-0.3552	0.2540	0.0682
4.6500	0.0030	0.0000	0.0000	0.0000	-0.0220	0.0033	0.0092	-0.0286	-0.0154	-0.3573	-1.0230	0.1400	-0.6776	0.1206	0.2686	0.4028
4.7000	0.0030	0.0000	0.0000	0.0000	0.0879	0.0033	-0.0171	0.0813	0.0944	0.2277	1.3852	0.3530	0.1038	0.1303	0.4302	0.1341
4.7500	0.0030	0.0000	0.0000	0.0000	-0.0140	0.0347	0.0070	-0.0831	0.0551	0.1315	-0.2899	1.1165	-0.1271	-0.3503	-0.0055	0.1059
4.8000	0.0030	0.0000	0.0000	0.0000	-0.0483	0.0261	0.0059	-0.1002	0.0036	-0.4109	0.9353	0.1617	-0.6155	-0.5445	0.4254	0.4924
4.8500	0.0030	0.0000	0.0000	0.0000	-0.0575	-0.0599	0.0217	0.0617	-0.1766	-0.0613	-1.5590	-1.1197	1.4091	0.4945	0.4841	0.0210
4.9000	0.0030	0.0000	0.0000	0.0000	-0.0053	0.0246	-0.0034	-0.0543	0.0436	-0.1290	-0.0475	-0.9769	-1.6721	0.2226	0.4939	-0.2381
4.9500	0.0030	0.0000	0.0000	0.0000	-0.0055	0.0040	-0.0542	-0.0134	0.0024	0.1386	-1.4187	-0.8969	-0.8108	0.3294	-0.1181	0.0069
5.0000	0.0030	0.0000	0.0000	0.0000	0.0139	-0.0018	0.0152	0.0176	0.0103	-0.1468	0.4108	-0.2153	-0.3757	0.7372	0.7142	-0.0921
5.0500	0.0030	0.0000	0.0000	0.0000	0.0375	0.0525	0.0184	-0.0669	0.1420	-0.3894	0.0989	0.7133	-0.4379	-0.2629	0.5330	-0.3512
5.1000	0.0030	0.0000	0.0000	0.0000	-0.0200	-0.0107	0.0425	0.0013	-0.0412	-0.2289	-0.5702	-1.4084	-0.9617	0.1838	-0.1083	-0.5349
5.1500	0.0030	0.0000	0.0000	0.0000	-0.0342	0.0708	-0.0548	-0.1751	0.1066	0.5274	0.6960	1.3308	0.7519	-0.3795	-0.0642	-0.4360
5.2000	0.0030	0.0000	0.0000	0.0000	-0.0602	0.0460	-0.0247	-0.1517	0.0313	-0.1361	1.1096	0.1652	0.5832	-0.2580	-0.2209	0.1200
5.2500	0.0030	0.0000	0.0000	0.0000	-0.0385	0.0126	0.0119	-0.0635	-0.0135	-0.5393	0.8080	1.1884	-1.0861	0.9801	-0.4657	-0.7564
5.3000	0.0030	0.0000	0.0000	0.0000	-0.0252	0.0491	0.0168	-0.1229	0.0726	0.0921	-0.4351	-1.0222	-0.2159	0.3974	-0.3727	-0.3512
5.3500	0.0030	0.0000	0.0000	0.0000	-0.0144	0.0593	0.0250	-0.1324	0.1036	-0.3466	-1.5791	-0.9147	0.2725	-0.4669	0.4988	-0.4737
5.4000	0.0030	0.0000	0.0000	0.0000	-0.0227	0.0119	-0.0553	-0.0464	0.0011	0.0958	0.6653	0.6259	1.8352	0.1789	0.1169	-0.2193
5.4500	0.0030	0.0000	0.0000	0.0000	-0.0374	-0.0083	0.0048	-0.0209	-0.0540	-0.3395	0.8898	0.7352	-0.8818	0.1109	-0.4999	-0.4360
5.5000	0.0030	0.0000	0.0000	0.0000	-0.0133	0.0175	0.0070	-0.0481	0.0214	0.4347	0.4700	0.8548	-0.9884	0.3148	0.0876	-0.5396
5.5500	0.0030	0.0000	0.0000	0.0000	0.0025	0.0452	0.0326	-0.0874	0.0923	-0.2895	-0.3843	-0.5224	0.0594	-0.2533	-0.5979	-0.0778
