time 	x0 	y0 	psi 	u 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm 	mm 	mm 	mm 	
0.0250	4.0012	0.0001	0.0000	0.0000	-0.0929	-0.0973	0.2197	-0.0128	0.0216
0.0500	4.0012	0.0001	0.0000	0.0000	0.6175	-0.0147	-0.6273	0.0579	-0.4960
0.0750	4.0012	0.0001	0.0000	0.0000	-0.9187	-1.0732	-0.7987	0.3500	-0.5660
0.1000	4.0012	0.0001	0.0000	0.0000	-0.3504	-0.5052	0.1022	0.5950	-0.1510
0.1250	4.0012	0.0001	0.0000	0.0000	-0.8388	-0.6654	0.2344	-0.0505	-1.4147
0.1500	4.0012	0.0001	0.0000	0.0000	0.3422	-0.5683	-0.1181	-0.4180	0.2594
0.1750	4.0012	0.0001	0.0000	0.0000	-1.0696	-0.0778	-0.2992	-0.3380	-0.7898
0.2000	4.0012	0.0001	0.0000	0.0000	-2.0020	0.0290	0.1414	-0.4935	-0.8178
0.2250	4.0012	0.0001	0.0000	0.0000	0.1735	0.4514	-0.0839	0.2747	0.6138
0.2500	4.0012	0.0001	0.0000	0.0000	-0.4481	0.1115	0.2197	0.0391	-1.8717
0.2750	4.0012	0.0001	0.0000	0.0000	1.6564	0.4368	-0.1866	0.0720	-0.2769
0.3000	4.0012	0.0001	0.0000	0.0000	-0.3592	0.6844	-0.4168	-0.1824	0.4133
0.3250	4.0012	0.0001	0.0000	0.0000	1.3545	0.4660	0.1218	0.7128	1.2106
0.3500	4.0012	0.0001	0.0000	0.0000	1.4255	-0.4711	-0.2112	-0.0505	0.5205
0.3750	4.0012	0.0001	0.0000	0.0000	-0.0130	-0.3935	0.4352	0.2369	-0.1603
0.4000	4.0012	0.0001	0.0000	0.0000	1.2124	-0.6265	-0.4070	0.1569	-0.0484
0.4250	4.0012	0.0001	0.0000	0.0000	-1.4159	-0.4371	-0.8182	-0.5452	1.2013
0.4500	4.0012	0.0001	0.0000	0.0000	1.6830	-0.3595	0.2931	0.0438	-0.0437
0.4750	4.0012	0.0001	0.0000	0.0000	0.2356	-0.2818	0.4645	0.3784	0.9402
0.5000	4.0012	0.0001	0.0000	0.0000	0.6619	0.1455	0.0092	-0.0175	-0.3142
0.5250	4.0012	0.0001	0.0000	0.0000	-0.6078	0.9806	-0.2503	0.2935	-0.6499
0.5500	4.0012	0.0001	0.0000	0.0000	2.1358	0.6359	-0.0643	-0.3851	-0.2722
0.5750	4.0012	0.0001	0.0000	0.0000	0.3688	-0.0973	-0.6420	-0.2155	0.2314
0.6000	4.0012	0.0001	0.0000	0.0000	1.2213	0.1455	0.6750	-0.4039	-0.3142
0.6250	4.0012	0.0001	0.0000	0.0000	-1.2472	0.4950	-0.0055	-0.7196	0.7070
