time 	x0 	y0 	psi 	u 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm 	mm 	mm 	mm 	
0.6500	4.0012	0.0001	0.0000	0.0000	-1.5669	0.0435	-0.1329	-0.0693	-0.9251
0.6750	4.0012	0.0001	0.0000	0.0000	-0.0396	-0.2672	0.0582	-0.4133	-0.2023
0.7000	4.0012	0.0001	0.0000	0.0000	-0.1373	-0.3400	0.2588	0.3594	0.0728
0.7250	4.0012	0.0001	0.0000	0.0000	0.4132	-0.2526	-0.8231	1.1087	-0.3655
0.7500	4.0012	0.0001	0.0000	0.0000	1.6564	-0.3546	-0.3727	-0.1542	0.6791
0.7750	4.0012	0.0001	0.0000	0.0000	-0.0130	0.1406	-0.1769	-0.3191	0.0169
0.8000	4.0012	0.0001	0.0000	0.0000	-1.5047	0.7379	-0.3434	0.6422	0.7676
0.8250	4.0012	0.0001	0.0000	0.0000	1.1236	-0.0002	0.8757	0.0673	-0.2536
0.8500	4.0012	0.0001	0.0000	0.0000	-1.1673	0.6067	0.1315	0.5479	1.6536
0.8750	4.0012	0.0001	0.0000	0.0000	0.7951	-0.2915	0.7436	-0.4652	-0.5380
0.9000	4.0012	0.0001	0.0000	0.0000	-0.6523	-0.6944	0.1071	-0.1683	-1.1209
0.9250	4.0012	0.0001	0.0000	0.0000	-0.3059	0.2669	-1.0239	0.2794	0.7303
0.9500	4.0012	0.0001	0.0000	0.0000	1.3545	0.9224	-0.7056	-0.0128	0.6977
0.9750	4.0012	0.0001	0.0000	0.0000	0.7596	-0.0681	0.6065	1.2124	0.1848
1.0000	4.0012	0.0001	0.0000	0.0000	-1.3093	0.7525	0.1904	-0.3191	0.4179
1.0250	4.0012	0.0001	0.0000	0.0000	2.0204	-0.1604	0.4302	0.1285	-0.5334
1.0500	4.0012	0.0001	0.0000	0.0000	-2.0730	-0.3935	-0.2650	-0.0882	-1.2095
1.0750	4.0012	0.0001	0.0000	0.0000	0.9105	0.8204	-0.5049	0.0013	-0.5893
1.1000	4.0012	0.0001	0.0000	0.0000	-0.4392	0.2280	0.1022	0.7128	0.7723
1.1250	4.0012	0.0001	0.0000	0.0000	0.7862	-0.2866	-0.3581	-0.7809	-0.6266
1.1500	4.0012	0.0001	0.0000	0.0000	0.2179	-0.7333	0.6015	0.0107	0.8283
1.1750	4.0012	0.0001	0.0000	0.0000	0.0581	-0.8159	0.6261	0.4160	-1.8064
1.2000	4.0012	0.0001	0.0000	0.0000	0.1025	-0.5488	0.1511	0.1522	0.1381
1.2250	4.0012	0.0001	0.0000	0.0000	-1.4159	-0.5245	0.0679	-0.3380	0.4412
1.2500	4.0012	0.0001	0.0000	0.0000	-0.0130	-0.3351	-0.3678	0.3076	0.1614
1.2750	4.0012	0.0001	0.0000	0.0000	-1.7622	0.1698	-0.2944	0.6469	-0.5194
1.3000	4.0012	0.0001	0.0000	0.0000	-0.4747	0.9224	0.0924	0.0391	0.2547
1.3250	4.0012	0.0001	0.0000	0.0000	0.0759	-0.0390	0.6310	0.2605	0.4552
1.3500	4.0012	0.0001	0.0000	0.0000	0.5110	-0.1459	-0.3335	-0.0882	-0.8458
1.3750	4.0012	0.0001	0.0000	0.0000	0.2712	-0.0827	-0.0544	-0.6254	0.0495
1.4000	4.0012	0.0001	0.0000	0.0000	0.4044	0.0629	0.1854	0.5432	-0.2349
1.4250	4.0012	0.0001	0.0000	0.0000	-1.4958	0.4708	-0.6175	-0.1353	-1.1442
1.4500	4.0012	0.0001	0.0000	0.0000	1.8872	0.2912	0.4106	0.3218	0.1754
1.4750	4.0012	0.0001	0.0000	0.0000	-1.7711	0.0921	0.4645	-0.5500	-0.6313
1.5000	4.0012	0.0001	0.0000	0.0000	0.9105	-0.0050	0.3372	-0.7102	0.3247
1.5250	4.0012	0.0001	0.0000	0.0000	-0.4481	-0.4468	0.0336	0.6705	0.1055
1.5500	4.0012	0.0001	0.0000	0.0000	-0.3237	0.1260	-0.3727	-0.1495	1.2060
1.5750	4.0012	0.0001	0.0000	0.0000	-0.9720	0.1844	-0.0202	0.5432	-0.4774
1.6000	4.0012	0.0001	0.0000	0.0000	1.4343	-0.8353	0.1609	-0.4605	-1.0463
1.6250	4.0012	0.0001	0.0000	0.0000	-0.4836	-0.0730	0.1169	-0.0128	-0.4821
1.6500	4.0012	0.0001	0.0000	0.0000	-1.8066	0.3883	-0.3531	0.7318	0.1475
1.6750	4.0012	0.0001	0.0000	0.0000	1.9139	-0.7090	0.4988	-0.0834	-0.9157
1.7000	4.0012	0.0001	0.0000	0.0000	-1.6912	-0.4760	-0.4413	-0.2107	0.4319
1.7250	4.0012	0.0001	0.0000	0.0000	-0.8654	0.8301	-0.2992	-0.4274	0.5019
1.7500	4.0012	0.0001	0.0000	0.0000	-0.9720	0.6165	0.4889	-0.1589	0.6557
1.7750	4.0012	0.0001	0.0000	0.0000	-1.0429	0.0290	0.1365	0.2463	-0.6779
1.8000	4.0012	0.0001	0.0000	0.0000	-1.0429	0.6990	0.3567	0.5856	1.2713
1.8250	4.0012	0.0001	0.0000	0.0000	1.9139	-0.2041	0.0532	-0.1730	-0.2722
1.8500	4.0012	0.0001	0.0000	0.0000	0.2800	-0.5731	-0.3482	-0.7291	-0.2209
1.8750	4.0012	0.0001	0.0000	0.0000	-0.2438	-0.4809	0.7337	-0.4086	0.2407
1.9000	4.0012	0.0001	0.0000	0.0000	0.2001	0.0483	-0.4265	-0.8704	-0.0111
1.9250	4.0012	0.0001	0.0000	0.0000	-0.1639	0.1649	0.2588	0.2181	-0.6220
1.9500	4.0012	0.0001	0.0000	0.0000	-0.2793	-0.2429	0.3225	-0.2955	-0.1137
1.9750	4.0012	0.0001	0.0000	0.0000	-0.4303	0.2329	0.6162	-0.7432	-0.6499
2.0000	4.0012	0.0001	0.0000	0.0000	0.9461	-0.2721	-0.3385	0.0814	0.4832
2.0250	4.0012	0.0001	0.0000	0.0000	1.7007	-0.3207	0.0189	-0.2908	-0.2955
2.0500	4.0012	0.0001	0.0000	0.0000	-0.2616	0.5970	0.0875	0.3453	1.2013
2.0750	4.0012	0.0001	0.0000	0.0000	-2.1707	-0.5197	-0.6175	0.4113	-0.6779
2.1000	4.0012	0.0001	0.0000	0.0000	1.5765	0.2766	0.2931	0.6516	0.3806
2.1250	4.0012	0.0001	0.0000	0.0000	-0.7056	0.5873	-0.4168	0.1191	-0.2862
2.1500	4.0012	0.0001	0.0000	0.0000	0.1202	0.1552	-0.5343	0.2747	0.3760
2.1750	4.0012	0.0001	0.0000	0.0000	-1.1939	-0.6800	-0.0349	0.3547	0.8189
2.2000	4.0012	0.0001	0.0000	0.0000	-0.2083	0.1357	0.4009	0.3784	-0.1230
2.2250	4.0012	0.0001	0.0000	0.0000	-1.3715	0.3883	-0.1083	0.2134	1.4531
2.2500	4.0012	0.0001	0.0000	0.0000	1.2035	0.4806	-0.1083	0.0673	-0.1183
2.2750	4.0012	0.0001	0.0000	0.0000	-0.7410	0.2960	0.1267	-0.8704	-0.4587
2.3000	4.0012	0.0001	0.0000	0.0000	0.5909	-0.1749	0.3225	0.2700	0.6837
2.3250	4.0012	0.0001	0.0000	0.0000	0.2356	-0.0924	0.4156	0.2039	3.1738
2.3500	4.0012	0.0001	0.0000	0.0000	-0.9098	-0.3983	-0.9014	0.2700	-0.1650
2.3750	4.0012	0.0001	0.0000	0.0000	1.0525	-0.7333	0.9394	0.0909	0.4879
2.4000	4.0012	0.0001	0.0000	0.0000	-0.7588	-0.6216	0.2099	-0.8280	-0.2209
2.4250	4.0012	0.0001	0.0000	0.0000	0.8305	-0.7139	0.0239	0.4113	-0.0904
2.4500	4.0012	0.0001	0.0000	0.0000	1.5320	-0.6411	0.2295	0.4207	-1.3354
2.4750	4.0012	0.0001	0.0000	0.0000	0.0492	-0.2526	-0.3385	0.1427	-0.0717
2.5000	4.0012	0.0001	0.0000	0.0000	-0.6789	0.4514	0.2197	0.8543	-0.2676
2.5250	4.0012	0.0001	0.0000	0.0000	0.0847	0.0678	0.6015	-0.3286	-0.0810
2.5500	4.0012	0.0001	0.0000	0.0000	-1.6024	0.3543	0.2001	0.1804	-1.3307
2.5750	4.0012	0.0001	0.0000	0.0000	-0.6256	0.1406	-0.4217	0.2087	-0.0670
2.6000	4.0012	0.0001	0.0000	0.0000	-0.9897	0.4222	-0.0398	0.4443	0.4226
2.6250	4.0012	0.0001	0.0000	0.0000	-0.0663	0.5145	0.2295	0.1003	-0.3655
2.6500	4.0012	0.0001	0.0000	0.0000	0.6264	-0.3740	0.1071	-0.5595	-0.2862
2.6750	4.0012	0.0001	0.0000	0.0000	1.6298	0.0727	-0.1622	-0.2437	-0.1556
2.7000	4.0012	0.0001	0.0000	0.0000	0.5376	-0.1604	-0.6077	0.7223	0.3107
2.7250	4.0012	0.0001	0.0000	0.0000	-1.2739	-0.3449	-0.5244	0.0720	0.6744
2.7500	4.0012	0.0001	0.0000	0.0000	0.7596	-0.1459	0.3617	-0.4746	-0.3188
2.7750	4.0012	0.0001	0.0000	0.0000	0.6264	-0.3012	0.2491	-0.1636	0.6231
2.8000	4.0012	0.0001	0.0000	0.0000	-1.1495	-0.0973	0.1218	-0.1589	1.2340
2.8250	4.0012	0.0001	0.0000	0.0000	0.5020	0.2134	0.1414	-0.6631	-0.4914
2.8500	4.0012	0.0001	0.0000	0.0000	-0.6078	0.6650	0.0189	0.1097	0.4319
2.8750	4.0012	0.0001	0.0000	0.0000	-1.0429	0.1941	0.0483	-0.6583	0.8143
2.9000	4.0012	0.0001	0.0000	0.0000	-0.0396	-0.3255	0.1169	0.0814	-0.4634
2.9250	4.0012	0.0001	0.0000	0.0000	-1.3360	-0.5440	0.2050	0.5668	-0.7339
2.9500	4.0012	0.0001	0.0000	0.0000	1.4966	-0.1362	0.7337	0.3641	0.1288
2.9750	4.0012	0.0001	0.0000	0.0000	-1.7178	-0.5003	0.1757	0.2322	-0.9857
3.0000	4.0012	0.0001	0.0000	0.0000	0.9194	-0.5342	-0.7595	0.6705	-0.0577
3.0250	4.0012	0.0001	0.0000	0.0000	-0.9542	-0.6022	-0.1524	-0.7573	0.4086
3.0500	4.0012	0.0001	0.0000	0.0000	-0.1817	-0.4032	-0.6273	0.4207	0.7443
3.0750	4.0012	0.0001	0.0000	0.0000	1.8339	0.4319	-0.1377	-0.1965	0.1801
3.1000	4.0012	0.0001	0.0000	0.0000	0.0936	0.7038	0.8170	-0.0505	0.2407
3.1250	4.0012	0.0001	0.0000	0.0000	-1.6202	0.0386	-0.2356	-0.7196	0.3713
3.1500	4.0012	0.0001	0.0000	0.0000	0.6264	-0.8984	0.0140	0.0201	0.0728
3.1750	4.0012	0.0001	0.0000	0.0000	-1.3360	-0.4809	0.3910	0.5432	2.0547
3.2000	4.0012	0.0001	0.0000	0.0000	0.2800	0.5096	-0.3874	0.3076	-0.0344
3.2250	4.0012	0.0001	0.0000	0.0000	-0.3237	0.1309	0.6162	0.2275	-0.3002
3.2500	4.0012	0.0001	0.0000	0.0000	1.1236	0.0096	0.2931	0.1992	0.0822
3.2750	4.0012	0.0001	0.0000	0.0000	1.3634	0.1067	-0.4755	-0.2484	-0.4774
3.3000	4.0012	0.0001	0.0000	0.0000	-0.1728	-0.0730	0.2491	0.3029	0.0868
3.3250	4.0012	0.0001	0.0000	0.0000	0.1913	-0.0973	-0.0643	0.1144	-0.3748
3.3500	4.0012	0.0001	0.0000	0.0000	-1.0429	-0.4566	0.2148	-0.3662	0.3573
3.3750	4.0012	0.0001	0.0000	0.0000	1.0437	-0.1992	0.4693	0.4631	0.1241
3.4000	4.0012	0.0001	0.0000	0.0000	-1.2384	0.4660	0.2540	0.4819	0.6977
3.4250	4.0012	0.0001	0.0000	0.0000	0.0936	0.3834	-0.4217	0.5432	-0.3049
3.4500	4.0012	0.0001	0.0000	0.0000	-0.7144	-0.0924	0.0973	-0.6773	0.1241
3.4750	4.0012	0.0001	0.0000	0.0000	-0.5191	-0.0536	0.0483	-0.9741	-0.1137
3.5000	4.0012	0.0001	0.0000	0.0000	2.4200	-0.2090	-0.1720	0.6657	0.0542
3.5250	4.0012	0.0001	0.0000	0.0000	0.5376	-0.2284	0.1708	0.1380	0.5019
3.5500	4.0012	0.0001	0.0000	0.0000	-0.9630	-0.5391	0.0288	-0.6301	-0.3515
3.5750	4.0012	0.0001	0.0000	0.0000	0.8129	-0.1701	-0.4804	-1.0919	-0.3888
3.6000	4.0012	0.0001	0.0000	0.0000	-1.9576	-0.3983	-0.1965	0.1003	-0.5520
3.6250	4.0012	0.0001	0.0000	0.0000	1.2035	0.5534	-0.2063	0.2416	0.5252
3.6500	4.0012	0.0001	0.0000	0.0000	-0.4125	0.0970	0.1805	-1.0778	-0.1370
3.6750	4.0012	0.0001	0.0000	0.0000	1.0703	0.5096	0.0483	0.4443	0.0822
3.7000	4.0012	0.0001	0.0000	0.0000	-0.1018	-0.3692	-0.9113	-0.6583	0.2874
3.7250	4.0012	0.0001	0.0000	0.0000	0.2090	-0.0147	0.4792	-0.4322	0.1055
3.7500	4.0012	0.0001	0.0000	0.0000	-1.1318	-0.6459	0.2491	0.5715	0.1428
3.7750	4.0012	0.0001	0.0000	0.0000	1.4610	-0.2623	-0.0202	-0.6066	-1.3727
3.8000	4.0012	0.0001	0.0000	0.0000	0.3688	0.8010	0.5869	0.5621	-0.7105
3.8250	4.0012	0.0001	0.0000	0.0000	1.7185	0.5048	-0.4707	0.7365	1.3599
3.8500	4.0012	0.0001	0.0000	0.0000	-1.1495	0.2766	-0.4853	-0.6395	0.0402
3.8750	4.0012	0.0001	0.0000	0.0000	-1.1673	-0.0439	0.3714	-0.5783	-0.2629
3.9000	4.0012	0.0001	0.0000	0.0000	-1.5313	0.6213	-0.0544	-1.0307	-1.0510
3.9250	4.0012	0.0001	0.0000	0.0000	0.7063	-0.7528	-0.3629	0.6987	-0.3841
3.9500	4.0012	0.0001	0.0000	0.0000	1.5675	0.0483	-0.4217	-0.7998	0.1661
3.9750	4.0012	0.0001	0.0000	0.0000	-1.1229	0.4514	0.1658	0.4348	0.3573
4.0000	4.0012	0.0001	0.0000	0.0000	-1.2472	0.2474	0.3372	-0.1306	-0.2955
4.0250	4.0012	0.0001	0.0000	0.0000	-0.4481	0.0727	0.3763	0.0956	-0.5054
4.0500	4.0012	0.0001	0.0000	0.0000	1.5142	-0.1021	-0.0202	-0.2155	-0.0204
4.0750	4.0012	0.0001	0.0000	0.0000	1.3634	-0.4809	0.2784	0.0060	-1.4706
4.1000	4.0012	0.0001	0.0000	0.0000	-0.3415	-0.5052	0.0483	-0.5736	-0.5427
4.1250	4.0012	0.0001	0.0000	0.0000	-1.0785	0.2766	-0.5196	0.8024	0.0449
4.1500	4.0012	0.0001	0.0000	0.0000	0.4932	0.7330	0.0679	0.0060	0.1428
4.1750	4.0012	0.0001	0.0000	0.0000	-0.2260	0.0144	0.1658	-0.2626	-1.3960
4.2000	4.0012	0.0001	0.0000	0.0000	-0.1728	-0.1604	0.4939	-0.0740	0.1381
4.2250	4.0012	0.0001	0.0000	0.0000	-0.9098	0.5970	0.4498	-0.0787	0.1288
4.2500	4.0012	0.0001	0.0000	0.0000	0.5110	-0.4955	-0.2944	0.3218	-1.7504
4.2750	4.0012	0.0001	0.0000	0.0000	0.4044	-0.3838	0.1805	-0.0882	-0.7525
4.3000	4.0012	0.0001	0.0000	0.0000	-0.9986	0.2377	0.0973	-0.0929	0.3573
4.3250	4.0012	0.0001	0.0000	0.0000	0.9461	-0.2866	-0.4021	0.6140	-0.9204
4.3500	4.0012	0.0001	0.0000	0.0000	1.4610	-0.4955	-0.2013	-0.9364	-0.5427
4.3750	4.0012	0.0001	0.0000	0.0000	1.3545	-0.2623	0.6848	0.4066	-0.1790
4.4000	4.0012	0.0001	0.0000	0.0000	-1.0341	0.5096	-0.2992	-0.6631	0.8096
4.4250	4.0012	0.0001	0.0000	0.0000	0.0403	0.1503	-0.1720	0.7977	0.4739
4.4500	4.0012	0.0001	0.0000	0.0000	0.6619	0.1357	0.0826	0.5291	0.0635
4.4750	4.0012	0.0001	0.0000	0.0000	1.3279	-0.0439	-1.0043	-0.6867	1.8541
4.5000	4.0012	0.0001	0.0000	0.0000	-0.8654	-0.1749	0.0875	0.7318	-0.0624
4.5250	4.0012	0.0001	0.0000	0.0000	1.1414	0.2474	0.8856	-0.2107	-0.3422
4.5500	4.0012	0.0001	0.0000	0.0000	-0.3504	1.0049	0.2883	-0.3096	0.9542
4.5750	4.0012	0.0001	0.0000	0.0000	0.7951	0.4902	0.6358	0.6752	-0.0857
4.6000	4.0012	0.0001	0.0000	0.0000	-1.1495	-0.2575	0.2735	0.3265	0.4879
4.6250	4.0012	0.0001	0.0000	0.0000	-0.9808	-0.0632	-0.1279	0.7788	1.3972
4.6500	4.0012	0.0001	0.0000	0.0000	0.3155	-0.1506	-0.5930	-0.4464	0.1475
4.6750	4.0012	0.0001	0.0000	0.0000	0.2268	-0.1749	0.7387	0.2134	0.6091
4.7000	4.0012	0.0001	0.0000	0.0000	-1.4248	-0.3012	0.5967	0.7883	0.1614
4.7250	4.0012	0.0001	0.0000	0.0000	-0.0041	0.0921	-0.0594	0.1144	-0.3701
4.7500	4.0012	0.0001	0.0000	0.0000	1.5498	0.2377	-0.0398	-0.2296	-0.5567
4.7750	4.0012	0.0001	0.0000	0.0000	-0.5280	-0.4663	0.1169	0.1380	-1.3867
4.8000	4.0012	0.0001	0.0000	0.0000	1.2746	-0.1362	-0.3482	-0.2767	0.2034
4.8250	4.0012	0.0001	0.0000	0.0000	-0.0929	-0.1798	0.1609	0.1522	1.2293
4.8500	4.0012	0.0001	0.0000	0.0000	0.0314	-0.2721	-0.0594	-0.3002	0.0495
4.8750	4.0012	0.0001	0.0000	0.0000	-0.9453	-0.5197	-0.3727	-0.6773	0.3247
4.9000	4.0012	0.0001	0.0000	0.0000	-0.5280	-0.5828	0.4596	0.0013	0.3713
4.9250	4.0012	0.0001	0.0000	0.0000	0.7240	0.3300	0.2099	-0.1071	-0.3188
4.9500	4.0012	0.0001	0.0000	0.0000	0.0759	0.4076	0.6701	-0.1824	0.2874
4.9750	4.0012	0.0001	0.0000	0.0000	0.8750	0.0824	0.1315	0.0720	0.6184
5.0000	4.0012	0.0001	0.0000	0.0000	-1.9842	0.0872	-0.1866	-0.7149	-0.3562
5.0250	4.0012	0.0001	0.0000	0.0000	0.3600	-0.7042	0.5331	-0.0222	-0.1277
5.0500	4.0012	0.0001	0.0000	0.0000	1.2923	0.1213	-0.4070	-0.2626	-0.5334
5.0750	4.0012	0.0001	0.0000	0.0000	1.2479	0.6359	-0.2601	0.5009	0.1848
5.1000	4.0012	0.0001	0.0000	0.0000	-0.1994	0.6650	-0.3629	0.3218	0.2034
5.1250	4.0012	0.0001	0.0000	0.0000	-1.0163	0.2717	0.0582	-0.2155	0.0029
5.1500	4.0012	0.0001	0.0000	0.0000	-0.2971	0.3251	0.1169	0.0154	-0.1790
5.1750	4.0012	0.0001	0.0000	0.0000	0.9461	0.6116	-0.8477	-0.7244	0.4086
5.2000	4.0012	0.0001	0.0000	0.0000	1.7452	0.7718	-0.1230	-0.7149	-0.4681
5.2250	4.0012	0.0001	0.0000	0.0000	-1.0874	0.0678	-0.1133	-0.3521	-0.5660
5.2500	4.0012	0.0001	0.0000	0.0000	0.9727	-0.2769	-0.1377	0.6187	0.3760
5.2750	4.0012	0.0001	0.0000	0.0000	0.5376	0.1309	0.2295	0.3784	-0.1323
5.3000	4.0012	0.0001	0.0000	0.0000	0.0048	0.5582	-0.1573	-0.1353	0.0962
5.3250	4.0012	0.0001	0.0000	0.0000	1.2213	0.4125	0.2295	-0.1353	0.2174
5.3500	4.0012	0.0001	0.0000	0.0000	0.6352	0.1844	0.0679	0.3359	-0.6313
5.3750	4.0012	0.0001	0.0000	0.0000	-0.4569	-0.1264	0.6652	0.1851	0.0868
5.4000	4.0012	0.0001	0.0000	0.0000	0.9993	-0.1701	-0.8427	-0.3757	0.0915
5.4250	4.0012	0.0001	0.0000	0.0000	-1.4870	-0.3109	-0.0740	-1.0495	-0.1090
5.4500	4.0012	0.0001	0.0000	0.0000	-0.9808	-0.2429	0.6114	0.3170	-0.6593
5.4750	4.0012	0.0001	0.0000	0.0000	0.5819	0.0386	-0.1034	-0.1165	0.3480
5.5000	4.0012	0.0001	0.0000	0.0000	-0.2172	0.1213	0.6261	-0.3898	-0.7012
5.5250	4.0012	0.0001	0.0000	0.0000	-1.0429	-0.7528	0.1169	-0.3992	0.1008
5.5500	4.0012	0.0001	0.0000	0.0000	-0.8920	-0.3643	-0.0790	0.0107	-0.1137
5.5750	4.0012	0.0001	0.0000	0.0000	-0.5014	0.5873	-0.3923	-0.4840	1.2293
5.6000	4.0012	0.0001	0.0000	0.0000	0.0492	-0.3255	0.4009	0.4254	3.2950
5.6250	4.0012	0.0001	0.0000	0.0000	0.1202	-0.3061	0.1658	1.0145	-0.2582
5.6500	4.0012	0.0001	0.0000	0.0000	-1.2916	-0.2090	0.2687	-0.2814	0.6884
5.6750	4.0012	0.0001	0.0000	0.0000	0.5287	-0.5973	-0.3825	-0.4180	-0.2349
5.7000	4.0012	0.0001	0.0000	0.0000	0.6796	0.4028	0.3323	0.0767	0.0822
5.7250	4.0012	0.0001	0.0000	0.0000	1.2923	0.6019	0.3714	-0.3191	-0.2396
5.7500	4.0012	0.0001	0.0000	0.0000	-1.7533	0.5145	-0.7056	0.7223	0.4645
5.7750	4.0012	0.0001	0.0000	0.0000	0.7240	-0.0778	-0.3286	-0.1495	-0.6359
5.8000	4.0012	0.0001	0.0000	0.0000	-0.4747	-0.1362	-0.0055	0.0344	0.4459
5.8250	4.0012	0.0001	0.0000	0.0000	-0.6878	0.1844	-0.1818	-0.3521	-0.5427
5.8500	4.0012	0.0001	0.0000	0.0000	1.5765	0.6116	0.3470	-0.6631	-0.8877
5.8750	4.0012	0.0001	0.0000	0.0000	0.1025	0.3786	-0.3629	0.0485	-0.0344
5.9000	4.0012	0.0001	0.0000	0.0000	1.2834	0.2474	0.9492	0.1475	0.7537
5.9250	4.0012	0.0001	0.0000	0.0000	0.7506	0.0386	0.2784	-0.4416	0.6604
5.9500	4.0012	0.0001	0.0000	0.0000	-0.9275	-0.1167	0.2295	0.6705	0.5112
5.9750	4.0012	0.0001	0.0000	0.0000	-1.3715	0.3251	-0.2063	0.2747	0.1148
6.0000	4.0012	0.0001	0.0000	0.0000	0.9016	-0.5780	0.1022	0.0249	-0.2163
6.0250	4.0012	0.0001	0.0000	0.0000	0.7951	0.0872	-0.4461	-0.7573	-0.6499
6.0500	4.0012	0.0001	0.0000	0.0000	1.1591	-0.0050	-0.0202	0.2039	0.9169
6.0750	4.0012	0.0001	0.0000	0.0000	-1.2739	0.5679	0.2148	0.4678	-2.3286
6.1000	4.0012	0.0001	0.0000	0.0000	0.4843	-0.2526	-0.3189	-0.9082	-0.0997
6.1250	4.0012	0.0001	0.0000	0.0000	0.4665	-0.1410	-0.0937	-0.1071	-0.1137
6.1500	4.0012	0.0001	0.0000	0.0000	-1.0962	-0.1847	-0.0447	-0.2720	-0.3935
6.1750	4.0012	0.0001	0.0000	0.0000	-1.0163	-0.4032	-0.2944	0.0532	1.4811
6.2000	4.0012	0.0001	0.0000	0.0000	-1.2916	-0.3449	0.9884	0.7930	-0.4261
6.2250	4.0012	0.0001	0.0000	0.0000	-0.4303	-0.4566	-0.0398	0.2653	-0.0904
6.2500	4.0012	0.0001	0.0000	0.0000	-0.2527	-0.8499	0.5282	0.2605	-0.4168
6.2750	4.0012	0.0001	0.0000	0.0000	0.2800	-0.3351	-0.1083	0.0767	-1.6711
6.3000	4.0012	0.0001	0.0000	0.0000	-1.4248	-0.3012	-0.1377	-0.0552	-0.2815
6.3250	4.0012	0.0001	0.0000	0.0000	0.2356	-0.1410	0.1119	0.8402	-0.3235
6.3500	4.0012	0.0001	0.0000	0.0000	0.7063	0.0290	0.1757	0.1992	0.7770
6.3750	4.0012	0.0001	0.0000	0.0000	-0.1551	1.1408	-0.9700	-0.1306	0.9402
6.4000	4.0012	0.0001	0.0000	0.0000	1.2568	-0.4517	-0.4804	0.0579	-0.6639
6.4250	4.0012	0.0001	0.0000	0.0000	-0.1018	0.6165	0.2295	0.1616	0.2454
6.4500	4.0012	0.0001	0.0000	0.0000	-0.7144	0.5145	0.3030	0.3594	-0.4681
6.4750	4.0012	0.0001	0.0000	0.0000	0.5376	0.6213	-0.8378	0.0579	-0.6220
6.5000	4.0012	0.0001	0.0000	0.0000	-0.0041	0.8786	0.0189	0.1003	0.1288
6.5250	4.0012	0.0001	0.0000	0.0000	-0.0751	0.2377	-0.1670	0.2982	-0.5660
6.5500	4.0012	0.0001	0.0000	0.0000	-1.0252	-0.0390	0.5478	-0.5123	-0.2909
6.5750	4.0012	0.0001	0.0000	0.0000	-0.7234	-0.0099	0.0189	0.5574	-0.1370
