time 	x0 	y0 	psi 	u 	v 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm 	mm 	mm 	mm 	
24.7000	15.3193	0.0001	0.0000	0.0640	-0.0000	-0.5434	-0.1789	-0.3557	0.3235	0.8639
24.7250	15.3209	0.0001	0.0000	0.0600	-0.0000	0.5043	-0.1740	0.2955	0.7052	-1.2391
24.7500	15.3224	0.0001	0.0000	0.0640	-0.0000	-1.5557	0.5980	-0.6445	0.3707	0.0805
24.7750	15.3240	0.0001	0.0000	0.0600	-0.0000	1.0194	0.6125	0.2808	0.6346	-0.1759
24.8000	15.3255	0.0001	0.0000	0.0640	-0.0000	0.6020	-0.4605	0.4277	0.4932	0.1365
24.8250	15.3271	0.0001	0.0000	0.0640	-0.0000	0.6464	0.3115	0.0213	-0.5765	-0.6935
24.8500	15.3287	0.0001	0.0000	0.0600	-0.0000	-0.7210	0.1464	0.3787	-0.2749	-0.8801
24.8750	15.3302	0.0001	0.0000	0.0640	-0.0000	0.5221	-0.4314	0.0360	0.0361	-5.0255
24.9000	15.3318	0.0001	0.0000	0.0640	-0.0000	1.1614	-1.0091	-0.1549	0.0785	0.1924
24.9250	15.3334	0.0001	0.0000	0.0640	-0.0000	0.8950	0.0396	0.0850	0.1869	1.8712
24.9500	15.3350	0.0001	0.0000	0.0640	-0.0000	1.1881	0.0493	0.5648	0.3612	0.1085
24.9750	15.3366	0.0001	0.0000	0.0640	-0.0000	1.0549	-0.0381	-0.3753	0.4932	0.1924
25.0000	15.3382	0.0001	0.0000	0.0640	-0.0000	0.5754	-0.2226	0.7459	1.0728	0.5608
25.0250	15.3398	0.0001	0.0000	0.0640	-0.0000	1.2591	0.8650	-0.3018	0.1822	0.3184
25.0500	15.3414	0.0001	0.0000	0.0680	-0.0000	0.8595	0.0979	-0.6739	-0.7556	0.5002
25.0750	15.3431	0.0001	0.0000	0.0640	-0.0000	-0.4546	0.0396	-0.0325	-0.0581	0.2484
25.1000	15.3447	0.0001	0.0000	0.0680	-0.0000	-0.6944	-0.4459	-0.2186	0.0173	0.1365
25.1250	15.3464	0.0001	0.0000	0.0640	-0.0000	1.6942	0.5543	0.6921	0.8796	0.7753
25.1500	15.3480	0.0001	0.0000	0.0680	-0.0000	0.3356	-0.3877	-0.0570	0.5921	-0.6795
25.1750	15.3497	0.0001	0.0000	0.0640	-0.0000	0.5843	-0.4799	0.7655	0.0314	0.2111
25.2000	15.3513	0.0001	0.0000	0.0680	-0.0000	-1.1561	-0.6498	-0.0276	0.2057	-0.4417
25.2250	15.3530	0.0001	0.0000	0.0640	-0.0000	0.7885	-0.7421	0.2123	0.2481	-1.2158
25.2500	15.3546	0.0001	0.0000	0.0680	-0.0000	-0.9696	0.0202	-0.5809	0.1115	-0.2459
25.2750	15.3563	0.0001	0.0000	0.0680	-0.0000	-0.8453	0.9476	0.4326	0.2529	-0.2459
25.3000	15.3580	0.0001	0.0000	0.0680	-0.0000	0.4244	-0.4411	0.0801	-0.3833	-0.1666
25.3250	15.3597	0.0001	0.0000	0.0640	-0.0000	-0.6411	0.8068	-0.5956	1.0162	0.1225
25.3500	15.3613	0.0001	0.0000	0.0720	-0.0000	-0.6322	0.3261	-0.1696	-0.5576	0.6867
25.3750	15.3631	0.0001	0.0000	0.0640	-0.0000	0.6642	0.0299	-0.0325	0.4225	-1.0899
25.4000	15.3647	0.0001	0.0000	0.0680	-0.0000	-0.7121	-0.4071	0.1780	0.6581	-1.7054
25.4250	15.3664	0.0001	0.0000	0.0640	-0.0000	0.9750	-0.0235	-0.0717	0.8890	-0.6842
25.4500	15.3680	0.0001	0.0000	0.0680	-0.0000	0.7441	-0.4216	0.1437	1.0068	0.4862
25.4750	15.3697	0.0001	0.0000	0.0680	-0.0000	0.3001	-0.3440	0.0556	1.0351	1.1810
25.5000	15.3714	0.0001	0.0000	0.0680	-0.0000	0.8950	-0.6256	0.1045	-0.3974	-0.2972
25.5250	15.3731	0.0001	0.0000	0.0680	-0.0000	0.3534	-0.6887	0.3298	-0.5812	0.5189
25.5500	15.3748	0.0001	0.0000	0.0680	-0.0000	1.3834	1.3360	0.2123	-0.7226	1.2416
25.5750	15.3765	0.0001	0.0000	0.0680	-0.0000	0.8329	0.1367	-0.4536	-0.6048	-1.7381
25.6000	15.3782	0.0001	0.0000	0.0680	-0.0000	0.3445	-0.0138	-0.6298	-0.0487	-0.1060
25.6250	15.3799	0.0001	0.0000	0.0720	-0.0000	0.1137	0.5591	0.2563	-0.1760	-0.2226
25.6500	15.3817	0.0001	0.0000	0.0680	-0.0000	-0.3214	0.1173	0.3004	0.5686	0.1505
25.6750	15.3834	0.0001	0.0000	0.0720	-0.0000	-1.3248	-0.3537	-0.9872	0.7288	1.7359
25.7000	15.3852	0.0001	0.0000	0.0720	-0.0000	-0.8542	-0.0575	0.6186	-0.0110	0.1738
25.7250	15.3870	0.0001	0.0000	0.0680	-0.0000	0.8418	-0.3391	0.0115	0.0220	-0.1107
25.7500	15.3887	0.0001	0.0000	0.0720	-0.0000	2.0138	-0.6207	-0.0227	0.5874	-0.4277
25.7750	15.3905	0.0001	0.0000	0.0720	-0.0000	-0.6233	-0.3537	0.1878	0.4885	0.0945
25.8000	15.3923	0.0001	0.0000	0.0720	-0.0000	0.7175	-0.7227	-0.8208	0.0078	-0.5863
25.8250	15.3941	0.0001	0.0000	0.0680	-0.0000	0.0515	-0.0478	0.3493	-0.0864	-0.0127
25.8500	15.3958	0.0001	0.0000	0.0720	-0.0000	0.8240	0.2824	-0.1598	-0.2042	-0.7961
25.8750	15.3976	0.0001	0.0000	0.0720	-0.0000	1.4544	-0.1109	-0.4438	-0.7650	0.7474
25.9000	15.3994	0.0001	0.0000	0.0720	-0.0000	-0.3037	0.0008	-0.5025	-0.1712	-2.5961
25.9250	15.4012	0.0001	0.0000	0.0720	-0.0000	0.5487	0.2290	0.3787	0.6770	-0.4324
25.9500	15.4030	0.0001	0.0000	0.0720	-0.0000	0.0160	-0.3537	0.7753	0.5026	0.0619
25.9750	15.4048	0.0001	0.0000	0.0720	-0.0000	0.8062	-0.6984	0.1829	1.1011	-0.0733
26.0000	15.4066	0.0001	0.0000	0.0720	-0.0000	0.4333	0.1513	-0.6984	0.7571	-0.3065
26.0250	15.4084	0.0001	0.0000	0.0720	-0.0000	0.1314	-0.1595	-0.5907	0.0078	-0.0920
26.0500	15.4102	0.0001	0.0000	0.0720	-0.0000	0.6819	0.4426	0.2955	-0.1053	-0.4184
26.0750	15.4120	0.0001	0.0000	0.0720	-0.0000	0.3712	0.0008	0.0262	0.2105	0.4722
26.1000	15.4138	0.0001	0.0000	0.0720	-0.0000	0.7175	-0.4314	-0.2137	0.2906	-0.1946
26.1250	15.4156	0.0001	0.0000	0.0720	-0.0000	1.3212	-0.0235	-0.8257	-0.2608	-1.0992
26.1500	15.4174	0.0001	0.0000	0.0720	-0.0000	-1.1650	0.4814	0.0703	0.1680	1.2929
26.1750	15.4192	0.0001	0.0000	0.0760	-0.0000	-0.0195	0.0299	0.0066	0.1633	-0.1480
26.2000	15.4211	0.0001	0.0000	0.0720	-0.0000	0.5665	-0.1692	-0.3410	0.8136	1.1251
26.2250	15.4229	0.0001	0.0000	0.0760	-0.0000	0.3712	0.1319	-0.3655	-0.1524	-0.8334
26.2500	15.4248	0.0001	0.0000	0.0720	-0.0000	0.9661	-0.4993	-0.4536	-0.3173	2.6639
26.2750	15.4266	0.0001	0.0000	0.0760	-0.0000	-0.6855	0.9427	-0.8844	0.0173	-0.1526
26.3000	15.4285	0.0001	0.0000	0.0760	-0.0000	-0.4457	-0.0769	0.2123	-0.1524	-0.4324
26.3250	15.4304	0.0001	0.0000	0.0760	-0.0000	0.3889	0.3067	-0.0032	-0.2985	-0.8567
26.3500	15.4323	0.0001	0.0000	0.0760	-0.0000	1.1614	0.3455	0.0311	0.2717	0.0712
26.3750	15.4342	0.0001	0.0000	0.0720	-0.0000	0.3978	-0.5188	0.5843	0.4037	-0.5257
26.4000	15.4360	0.0001	0.0000	0.0800	-0.0000	-0.0284	-0.4459	0.6284	-0.5765	-0.0500
26.4250	15.4380	0.0001	0.0000	0.0720	-0.0000	0.3001	-0.2371	-0.7865	0.4319	1.5820
26.4500	15.4398	0.0001	0.0000	0.0800	-0.0000	-0.6056	0.1270	0.3347	0.2105	-0.3764
26.4750	15.4418	0.0001	0.0000	0.0760	-0.0000	0.2024	0.0979	-0.1011	-0.2938	-0.2739
26.5000	15.4437	0.0001	0.0000	0.0760	-0.0000	1.0282	-0.5042	0.0360	-0.5011	0.6215
26.5250	15.4456	0.0001	0.0000	0.0760	-0.0000	-1.3426	0.6951	0.6676	-0.7320	0.1178
26.5500	15.4475	0.0001	0.0000	0.0800	-0.0000	-0.7743	-0.2129	0.4815	-0.4493	-0.2832
26.5750	15.4495	0.0001	0.0000	0.0720	-0.0000	0.1225	-0.2420	-0.3214	-0.5529	-0.9780
26.6000	15.4513	0.0001	0.0000	0.0800	-0.0000	-0.3037	-0.1449	0.0066	-0.7838	-1.5702
26.6250	15.4533	0.0001	0.0000	0.0720	-0.0000	-0.5789	-0.2129	-0.5025	-0.2796	0.1598
26.6500	15.4551	0.0001	0.0000	0.0800	-0.0000	0.4511	-0.3148	0.2759	-0.8168	-0.4650
26.6750	15.4571	0.0001	0.0000	0.0760	-0.0000	0.3623	-0.1886	0.2563	-0.5906	-0.5770
26.7000	15.4590	0.0001	0.0000	0.0800	-0.0000	0.2380	-0.3537	-0.0766	0.5969	0.1085
26.7250	15.4610	0.0001	0.0000	0.0760	-0.0000	0.8862	0.3892	-1.0362	-0.5859	0.6448
26.7500	15.4629	0.0001	0.0000	0.0760	-0.0000	0.3001	-0.5430	-0.3753	0.4885	0.0432
26.7750	15.4648	0.0001	0.0000	0.0760	-0.0000	1.3301	0.7533	0.4032	0.1303	-0.8334
26.8000	15.4667	0.0001	0.0000	0.0800	-0.0000	1.5965	0.1659	-0.6641	-0.1995	-0.1293
26.8250	15.4687	0.0001	0.0000	0.0760	-0.0000	-0.2682	0.3746	0.1241	-0.5435	-0.2739
26.8500	15.4706	0.0001	0.0000	0.0800	-0.0000	-0.1616	0.6028	-0.0423	-0.3079	1.3302
26.8750	15.4726	0.0001	0.0000	0.0800	-0.0000	0.3889	-0.1595	-0.5564	-0.1335	1.4282
26.9000	15.4746	0.0001	0.0000	0.0800	-0.0000	0.8418	-0.8489	-0.0570	-0.6660	-0.0967
26.9250	15.4766	0.0001	0.0000	0.0800	-0.0000	1.4367	0.3358	-0.0472	-0.4775	-0.0360
26.9500	15.4786	0.0001	0.0000	0.0800	-0.0000	0.2912	-0.1206	0.2563	-0.6377	-0.0034
26.9750	15.4806	0.0001	0.0000	0.0800	-0.0000	-0.3392	-0.4216	-0.6005	0.1633	0.3930
27.0000	15.4826	0.0001	0.0000	0.0840	-0.0000	0.5754	-0.1206	-0.1500	-0.8451	-1.7940
27.0250	15.4847	0.0001	0.0000	0.0800	-0.0000	-0.7388	0.2824	0.8928	-0.7556	0.1132
27.0500	15.4867	0.0001	0.0000	0.0840	-0.0000	-0.0551	0.4280	-0.0766	0.9550	0.4163
27.0750	15.4888	0.0001	0.0000	0.0800	-0.0000	0.5931	0.4523	-0.1598	0.3000	-0.0500
27.1000	15.4908	0.0001	0.0000	0.0800	-0.0000	0.2113	0.4863	0.2612	0.3942	0.4722
27.1250	15.4928	0.0001	0.0000	0.0840	-0.0000	0.1669	0.1124	0.2514	0.6440	0.1831
27.1500	15.4949	0.0001	0.0000	0.0800	-0.0000	0.4599	-0.0284	-0.4095	-0.4068	0.7987
27.1750	15.4969	0.0001	0.0000	0.0800	-0.0000	-1.6178	-0.0915	-0.8404	0.2057	-0.5210
27.2000	15.4989	0.0001	0.0000	0.0800	-0.0000	0.4511	-0.4071	-0.2626	0.0455	-0.4837
27.2250	15.5009	0.0001	0.0000	0.0840	-0.0000	0.8329	-0.6984	0.3640	0.5733	-0.0407
27.2500	15.5030	0.0001	0.0000	0.0800	-0.0000	-1.2271	-0.8149	-0.0962	0.3707	0.2997
27.2750	15.5050	0.0001	0.0000	0.0800	-0.0000	0.6287	-0.2711	-0.3410	-0.2325	0.0292
27.3000	15.5070	0.0001	0.0000	0.0840	-0.0000	0.1936	0.3261	-0.1207	0.8419	0.0059
27.3250	15.5091	0.0001	0.0000	0.0800	-0.0000	0.8862	0.9524	-0.0374	-0.1618	0.1272
27.3500	15.5111	0.0001	0.0000	0.0800	-0.0000	-0.2593	0.5494	0.5256	0.0832	0.4816
27.3750	15.5131	0.0001	0.0000	0.0840	-0.0000	-0.3303	-0.0575	-0.1598	-0.1524	-0.4184
27.4000	15.5152	0.0001	0.0000	0.0840	-0.0000	-0.6944	-0.0672	0.0654	-0.4870	0.2904
27.4250	15.5173	0.0001	0.0000	0.0840	-0.0000	0.1758	-0.4022	0.1878	-0.2608	-0.8148
27.4500	15.5194	0.0001	0.0000	0.0840	-0.0000	-0.2504	0.0882	-0.1402	-0.2890	-0.4884
27.4750	15.5215	0.0001	0.0000	0.0800	-0.0000	1.1969	0.3989	-0.0130	-0.5011	-0.2925
27.5000	15.5235	0.0001	0.0000	0.0840	-0.0000	-0.3214	-0.6110	0.6284	0.6204	0.5935
27.5250	15.5256	0.0001	0.0000	0.0880	-0.0000	1.2680	0.3455	-0.1354	0.1728	0.4769
27.5500	15.5278	0.0001	0.0000	0.0840	-0.0000	-0.6411	-0.8829	-0.4536	-0.1524	0.8313
27.5750	15.5299	0.0001	0.0000	0.0880	-0.0000	-0.0639	-0.3634	0.5158	1.0869	-1.1412
27.6000	15.5321	0.0001	0.0000	0.0880	-0.0000	0.2291	-0.0623	-0.1402	0.5026	-0.2505
27.6250	15.5343	0.0001	0.0000	0.0840	-0.0000	0.1492	0.5883	0.4277	0.0314	-0.8521
27.6500	15.5364	0.0001	0.0000	0.0880	-0.0000	0.9394	0.4766	-0.1598	0.4414	-0.2739
27.6750	15.5386	0.0001	0.0000	0.0840	-0.0000	-0.5701	-0.1158	-0.4046	0.0408	-0.1107
27.7000	15.5407	0.0001	0.0000	0.0840	-0.0000	0.4422	-0.3828	0.6872	0.0597	1.5634
27.7250	15.5428	0.0001	0.0000	0.0880	-0.0000	-1.1650	-0.2032	0.1927	0.0691	-0.2645
27.7500	15.5450	0.0001	0.0000	0.0880	-0.0000	0.3090	0.3212	-0.7718	0.0879	0.0712
27.7750	15.5472	0.0001	0.0000	0.0840	-0.0000	1.0282	0.3164	0.7459	0.3188	0.1738
27.8000	15.5493	0.0001	0.0000	0.0880	-0.0000	0.6287	0.1998	-0.8551	-0.0252	1.0924
27.8250	15.5515	0.0001	0.0000	0.0840	-0.0000	-0.5079	0.3067	-0.2186	-0.2325	0.7007
27.8500	15.5536	0.0001	0.0000	0.0840	-0.0000	-1.2360	0.1998	0.1976	0.1068	-0.9453
27.8750	15.5557	0.0001	0.0000	0.0880	-0.0000	0.1492	-0.2274	-0.3557	-0.6896	0.3184
27.9000	15.5579	0.0001	0.0000	0.0880	-0.0000	1.0460	-0.3974	0.3787	-0.1335	-0.0500
27.9250	15.5601	0.0001	0.0000	0.0840	-0.0000	-0.4191	0.3698	0.1290	-0.2985	0.1738
27.9500	15.5622	0.0001	0.0000	0.0880	-0.0000	0.2024	0.4620	-0.6249	-0.0393	1.1670
27.9750	15.5644	0.0001	0.0000	0.0880	-0.0000	0.9750	-0.0332	0.7753	0.7665	-0.9080
28.0000	15.5666	0.0001	0.0000	0.0880	-0.0000	0.7796	-0.4945	0.5158	-0.1948	-0.2179
28.0250	15.5688	0.0001	0.0000	0.0880	-0.0000	1.2147	-0.4653	-0.6788	0.1256	-0.1293
28.0500	15.5710	0.0001	0.0000	0.0880	-0.0000	-0.6322	0.0105	0.3444	0.3989	0.7054
28.0750	15.5732	0.0001	0.0000	0.0920	-0.0000	-1.0140	0.5688	-0.4683	-0.3173	0.7380
28.1000	15.5755	0.0001	0.0000	0.0920	-0.0000	0.4777	-0.0089	0.3836	1.0822	-0.0967
28.1250	15.5778	0.0001	0.0000	0.0880	-0.0000	1.1348	0.3018	0.5550	0.3707	0.3743
28.1500	15.5800	0.0001	0.0000	0.0920	-0.0000	-0.6677	-0.0381	-0.3214	0.0031	-1.0153
28.1750	15.5823	0.0001	0.0000	0.0880	-0.0000	1.3834	-0.4168	-0.0325	-0.1147	0.0945
28.2000	15.5845	0.0001	0.0000	0.0920	-0.0000	-0.5257	-0.5430	0.3444	0.5073	-0.3018
28.2250	15.5868	0.0001	0.0000	0.0880	-0.0000	-0.6322	0.4960	-0.2773	-0.0346	0.4396
28.2500	15.5890	0.0001	0.0000	0.0920	-0.0000	0.2113	-0.0915	0.0164	0.7052	2.2815
28.2750	15.5913	0.0001	0.0000	0.0920	-0.0000	-1.1295	-0.0915	-0.5564	0.3235	0.2204
28.3000	15.5936	0.0001	0.0000	0.0920	-0.0000	1.1881	-0.6256	-0.2675	-0.6283	-0.4930
28.3250	15.5959	0.0001	0.0000	0.0880	-0.0000	0.3001	-0.3488	0.2710	0.5450	-0.6376
28.3500	15.5981	0.0001	0.0000	0.0920	-0.0000	0.0604	0.0396	0.2367	0.2434	0.1318
28.3750	15.6004	0.0001	0.0000	0.0920	-0.0000	-1.5912	0.5009	-0.5319	0.6204	0.3650
28.4000	15.6027	0.0001	0.0000	0.0920	-0.0000	0.3445	-0.1886	-0.3801	-0.6142	-1.7614
28.4250	15.6050	0.0001	0.0000	0.0920	-0.0000	0.6198	0.4378	0.2172	-0.0393	-0.0360
28.4500	15.6073	0.0001	0.0000	0.0920	-0.0000	-0.3481	0.0687	0.6333	0.3707	-1.3977
28.4750	15.6096	0.0001	0.0000	0.0920	-0.0000	0.8151	-0.2371	0.0458	-0.7744	-0.1480
28.5000	15.6119	0.0001	0.0000	0.0920	-0.0000	-0.2948	-0.7615	-0.7816	-0.1147	-0.0500
28.5250	15.6142	0.0001	0.0000	0.0920	-0.0000	1.1614	0.1222	-0.4242	-0.6425	0.0386
28.5500	15.6165	0.0001	0.0000	0.0920	-0.0000	-0.5789	0.2047	0.8047	-0.3079	-0.0034
28.5750	15.6188	0.0001	0.0000	0.0920	-0.0000	-0.0373	-0.1352	0.0801	0.2811	1.1670
28.6000	15.6211	0.0001	0.0000	0.0960	-0.0000	0.7707	0.6805	0.5109	-0.4163	-0.9500
28.6250	15.6235	0.0001	0.0000	0.0920	-0.0000	1.4633	-0.0721	-0.1158	0.6110	-0.6469
28.6500	15.6258	0.0001	0.0000	0.0960	-0.0000	1.5344	-0.3003	-0.6494	0.9031	-0.2179
28.6750	15.6282	0.0001	0.0000	0.0920	-0.0000	-1.0229	-0.0623	-0.6788	-0.2985	-1.3231
28.7000	15.6305	0.0001	0.0000	0.0960	-0.0000	-0.7832	-0.1400	-0.5760	0.0220	-0.1246
28.7250	15.6329	0.0001	0.0000	0.0920	-0.0000	0.1758	0.0105	0.1045	-0.1948	0.3184
28.7500	15.6352	0.0001	0.0000	0.0960	-0.0000	-0.8364	-0.1886	0.0605	0.0031	0.8686
28.7750	15.6376	0.0001	0.0000	0.0960	-0.0000	-1.0229	-0.8246	0.0458	0.1162	-0.3205
28.8000	15.6400	0.0001	0.0000	0.0960	-0.0000	-0.0462	0.0687	-0.3410	0.7147	0.0153
28.8250	15.6424	0.0001	0.0000	0.0920	-0.0000	-0.5079	0.5591	0.5354	-0.5341	1.8105
28.8500	15.6447	0.0001	0.0000	0.0960	-0.0000	-0.1172	0.2678	0.2710	0.3518	-1.2764
28.8750	15.6471	0.0001	0.0000	0.0960	-0.0000	0.3623	0.3552	0.3347	1.0775	0.1458
28.9000	15.6495	0.0001	0.0000	0.0960	-0.0000	-0.4635	0.7970	0.1584	-0.4163	0.5468
28.9250	15.6519	0.0001	0.0000	0.0960	-0.0000	0.7175	0.1270	-0.5809	-0.1618	-0.1992
28.9500	15.6543	0.0001	0.0000	0.0960	-0.0000	1.1170	0.4766	-0.6054	-0.0393	0.1924
28.9750	15.6567	0.0001	0.0000	0.0960	-0.0000	0.2912	-0.1400	-0.6054	-0.5011	1.3675
29.0000	15.6591	0.0001	0.0000	0.1000	-0.0000	1.0371	-0.0769	0.2661	-0.2985	-2.0132
29.0250	15.6616	0.0001	0.0000	0.0960	-0.0000	0.6731	-0.2371	-0.1794	0.1680	0.1598
29.0500	15.6640	0.0001	0.0000	0.0960	-0.0000	0.8950	-0.7130	0.3102	-0.1948	0.9106
29.0750	15.6664	0.0001	0.0000	0.0960	-0.0000	-1.4669	-0.6838	0.4571	0.1633	0.7287
29.1000	15.6688	0.0001	0.0000	0.1000	-0.0000	0.7974	0.6805	-0.2382	0.1775	-0.1666
29.1250	15.6713	0.0001	0.0000	0.0960	-0.0000	-0.7654	0.4669	0.1927	-0.4917	-0.0547
29.1500	15.6737	0.0001	0.0000	0.1000	-0.0000	-0.8808	0.4766	0.1780	0.1115	1.1018
29.1750	15.6762	0.0001	0.0000	0.0960	-0.0000	-0.2948	0.3989	0.4277	0.3471	-0.0221
29.2000	15.6786	0.0001	0.0000	0.1000	-0.0000	-1.1561	-0.1837	0.1535	0.1492	0.8033
29.2250	15.6811	0.0001	0.0000	0.0960	-0.0000	-0.8098	-0.0332	0.3885	0.0691	0.0899
29.2500	15.6835	0.0001	0.0000	0.1000	-0.0000	1.4100	-0.7615	-0.8159	0.8089	-0.8521
29.2750	15.6860	0.0001	0.0000	0.0960	-0.0000	0.9128	-0.0575	0.3298	-0.0487	1.7732
29.3000	15.6884	0.0001	0.0000	0.1040	-0.0000	0.2468	-0.3100	0.2025	-0.5435	0.0246
29.3250	15.6910	0.0001	0.0000	0.0960	-0.0000	-0.9874	-0.9606	-1.3495	-0.3267	0.9712
29.3500	15.6934	0.0001	0.0000	0.1000	-0.0000	-1.7510	-0.4751	-1.0362	-0.6283	0.4163
29.3750	15.6959	0.0001	0.0000	0.1000	-0.0000	-0.0107	-0.0818	0.0703	0.2057	0.9199
29.4000	15.6984	0.0001	0.0000	0.1040	-0.0000	1.3834	0.3504	-0.0913	0.5827	2.1649
29.4250	15.7010	0.0001	0.0000	0.1000	-0.0000	-0.9075	0.9427	-0.1158	0.2811	2.4214
29.4500	15.7035	0.0001	0.0000	0.1000	-0.0000	-0.9519	0.2241	-0.2235	-0.0157	1.5261
29.4750	15.7060	0.0001	0.0000	0.1000	-0.0000	-0.9341	-0.0769	-0.4144	0.0738	2.1929
29.5000	15.7085	0.0001	0.0000	0.1040	-0.0000	-0.0995	-0.6256	-0.1990	0.1539	3.9835
29.5250	15.7111	0.0001	0.0000	0.1000	-0.0000	-1.2804	0.6223	0.0262	-0.6095	4.5291
29.5500	15.7136	0.0001	0.0000	0.1000	-0.0000	0.4156	0.0493	-0.2382	-1.4530	4.0302
29.5750	15.7161	0.0001	0.0000	0.1000	-0.0000	1.0815	0.2047	0.0703	0.5827	4.0115
29.6000	15.7186	0.0001	0.0000	0.1040	-0.0000	1.1703	-0.7567	0.0360	0.4414	5.3871
29.6250	15.7212	0.0001	0.0000	0.1000	-0.0000	-0.5967	0.4912	-0.5466	1.0634	6.4643
29.6500	15.7237	0.0001	0.0000	0.1040	-0.0000	0.0337	0.6125	0.2563	0.5403	5.0141
29.6750	15.7263	0.0001	0.0000	0.1000	-0.0000	0.7263	-0.4022	-0.2088	-0.2513	5.1820
29.7000	15.7288	0.0001	0.0000	0.1040	-0.0000	2.0316	0.6368	0.2612	0.6817	5.0607
29.7250	15.7314	0.0001	0.0000	0.1000	-0.0000	-0.7121	0.0542	-0.0032	0.3424	4.5291
29.7500	15.7339	0.0001	0.0000	0.1040	-0.0000	0.5399	-0.3828	0.1829	0.0974	5.1307
29.7750	15.7365	0.0001	0.0000	0.1040	-0.0000	-1.6800	0.7533	-0.1745	0.7335	3.4146
29.8000	15.7391	0.0001	0.0000	0.1040	-0.0000	-0.2326	0.7291	0.2906	0.0173	3.3260
29.8250	15.7417	0.0001	0.0000	0.1040	-0.0000	-0.8453	0.4232	-0.2822	0.4885	2.4960
29.8500	15.7443	0.0001	0.0000	0.1040	-0.0000	0.5399	0.0736	-0.3410	0.8183	2.2675
29.8750	15.7469	0.0001	0.0000	0.1040	-0.0000	-0.4280	0.3309	-0.9579	0.9031	0.7007
29.9000	15.7495	0.0001	0.0000	0.1040	-0.0000	0.6198	-0.3488	-0.1941	0.2387	-0.2785
29.9250	15.7521	0.0001	0.0000	0.1040	-0.0000	-0.6589	-0.4945	0.3787	0.9785	-1.7521
29.9500	15.7547	0.0001	0.0000	0.1080	-0.0000	-0.8453	0.7388	0.2074	-0.0723	-2.4888
29.9750	15.7574	0.0001	0.0000	0.1040	-0.0000	-0.1439	0.1561	-0.1696	0.3942	-2.9831
30.0000	15.7600	0.0001	0.0000	0.1040	-0.0000	-1.4402	0.2241	-0.0325	-0.2184	-5.4033
30.0250	15.7626	0.0001	0.0000	0.1040	-0.0000	0.6020	-0.5236	0.0458	-0.0393	-6.6296
30.0500	15.7652	0.0001	0.0000	0.1080	-0.0000	1.3124	-0.6013	-0.3018	-0.4822	-8.3363
30.0750	15.7679	0.0001	0.0000	0.1080	-0.0000	1.0815	0.6174	-0.3214	0.7288	-7.7861
30.1000	15.7706	0.0001	0.0000	0.1040	-0.0000	1.3745	0.0493	-0.4634	-0.4304	-9.7259
30.1250	15.7732	0.0001	0.0000	0.1040	-0.0000	-0.7388	0.2824	-0.2235	0.0832	-9.8472
30.1500	15.7758	0.0001	0.0000	0.1120	-0.0000	-1.5024	0.3892	-0.3312	-0.3362	-8.6115
30.1750	15.7786	0.0001	0.0000	0.1040	-0.0000	0.1314	-0.1886	-0.0766	0.5780	-13.0554
30.2000	15.7812	0.0001	0.0000	0.1080	-0.0000	1.0726	-0.2614	0.1976	-0.1241	-9.7446
30.2250	15.7839	0.0001	0.0000	0.1040	-0.0000	0.6997	-0.0721	-0.2675	-0.0487	-11.7544
30.2500	15.7865	0.0001	0.0000	0.1120	-0.0000	1.5166	-0.4022	-0.2675	0.6204	-13.2512
30.2750	15.7893	0.0001	0.0000	0.1040	-0.0000	0.2202	1.0058	-0.0227	-0.6896	-14.9533
30.3000	15.7919	0.0001	0.0000	0.1120	-0.0000	-0.7654	0.2484	-0.0423	0.9691	-11.8476
30.3250	15.7947	0.0001	0.0000	0.1040	-0.0000	0.3445	-0.4605	0.4766	0.4649	-12.9575
30.3500	15.7973	0.0001	0.0000	0.1080	-0.0000	-0.6855	0.2484	0.5941	-0.2419	-11.8383
30.3750	15.8000	0.0001	0.0000	0.1080	-0.0000	-0.7654	0.5300	-0.1941	-0.1053	-11.9596
30.4000	15.8027	0.0001	0.0000	0.1080	-0.0000	1.3212	0.0056	0.5501	0.6063	-10.8404
30.4250	15.8054	0.0001	0.0000	0.1080	-0.0000	0.6731	0.2630	-0.5025	-0.7744	-10.6772
30.4500	15.8081	0.0001	0.0000	0.1120	-0.0000	-1.0495	-0.4508	-0.6347	0.6016	-8.5648
30.4750	15.8109	0.0001	0.0000	0.1080	-0.0000	-0.5079	-0.4168	0.3836	-0.2890	-6.8162
30.5000	15.8136	0.0001	0.0000	0.1120	-0.0000	-0.4191	-0.5236	0.0752	-0.6519	-5.0302
30.5250	15.8164	0.0001	0.0000	0.1080	-0.0000	0.8595	-0.6013	-0.3801	0.7241	-4.0556
30.5500	15.8191	0.0001	0.0000	0.1120	-0.0000	-0.0817	0.7388	0.6480	0.2481	-2.3210
30.5750	15.8219	0.0001	0.0000	0.1080	-0.0000	-0.8808	0.1804	0.2074	0.4696	1.3909
30.6000	15.8246	0.0001	0.0000	0.1120	-0.0000	1.8807	0.6514	-0.3263	-0.2749	2.2256
30.6250	15.8274	0.0001	0.0000	0.1120	-0.0000	-0.1705	0.0250	-0.0081	1.0869	3.7970
