time 	x0 	y0 	psi 	u 	v 	WG1 	WG2 	WG3 	WG4 	x_0WM 	
s 	m 	m 	° 	m/s 	m/s 	mm 	mm 	mm 	mm 	mm 	
1.3500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.3479	0.3261	-0.0913	0.1586	0.6261
1.3750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.7920	-0.1449	-0.2333	0.3235	0.8313
1.4000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4457	-0.5042	0.3200	0.1775	0.3650
1.4250	14.9979	0.0001	0.0000	0.0000	-0.0000	1.2325	0.0930	0.1143	-0.5765	0.1412
1.4500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.9428	-0.7130	0.1290	0.1822	-0.1107
1.4750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.7121	0.6805	0.6676	-0.7650	-0.3811
1.5000	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.5912	0.2872	0.1780	-0.1524	-2.5867
1.5250	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.2449	-0.3100	0.0752	0.3989	-0.5117
1.5500	14.9979	0.0001	0.0000	0.0000	-0.0000	0.1669	-0.2711	-0.7571	-0.0911	0.6448
1.5750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.4813	0.4766	-0.0276	-0.4351	-0.0780
1.6000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.9874	0.3746	0.8879	0.2293	-0.6935
1.6250	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.5612	-0.2663	-0.7522	-0.1383	-0.0640
1.6500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.9785	0.4135	0.5256	-0.6943	-0.3158
1.6750	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.8897	0.4378	0.1388	-0.6660	-0.1946
1.7000	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.2326	-0.2760	-0.7963	-0.0911	0.0059
1.7250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.6287	-0.3634	-0.5809	0.2340	0.0246
1.7500	14.9979	0.0001	0.0000	0.0000	-0.0000	-0.3481	0.1998	-0.0913	0.3518	-0.8661
1.7750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.2380	0.1756	0.7851	-0.0581	0.1272
1.8000	14.9979	0.0001	0.0000	0.0000	-0.0000	0.3445	0.1561	-0.1402	0.7476	0.8313
1.8250	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.7244	-0.2614	-0.3997	0.1728	0.9898
1.8500	14.9979	0.0001	0.0000	0.0000	-0.0000	1.2147	-0.1643	0.5843	0.1162	-0.1619
1.8750	14.9979	0.0001	0.0000	0.0000	-0.0000	0.2735	0.2727	-0.4830	-0.6943	0.2018
1.9000	14.9979	0.0001	0.0000	0.0000	-0.0000	-1.3870	0.5009	-0.2871	-0.0958	-0.5583
1.9250	14.9979	0.0001	0.0000	0.0000	-0.0000	0.6020	0.1853	0.4228	-0.7791	0.1039
