time 	x0 	y0 	psi 	u 	WG1 	WG2 	WG3 	WG4 	x_0AW 	
s 	m 	m 	° 	m/s 	mm 	mm 	mm 	mm 	mm 	
1.5000	3.9989	0.0001	0.0000	0.0000	1.3853	0.7752	0.0407	-0.4330	4.0544
1.5250	3.9989	0.0001	0.0000	0.0000	-0.1419	-0.7252	0.8583	0.3303	0.2540
1.5500	3.9989	0.0001	0.0000	0.0000	0.5684	0.6489	-0.2580	0.5896	0.1608
1.5750	3.9989	0.0001	0.0000	0.0000	1.1189	0.3770	-0.2139	0.5612	0.6551
1.6000	3.9989	0.0001	0.0000	0.0000	1.1456	-0.5261	0.3100	0.6226	-0.7998
1.6250	3.9989	0.0001	0.0000	0.0000	0.0534	-0.0746	-0.0376	0.3681	0.5618
1.6500	3.9989	0.0001	0.0000	0.0000	0.5862	-0.2834	-0.4146	-0.5696	0.0255
1.6750	3.9989	0.0001	0.0000	0.0000	0.5240	-0.0503	-0.0033	-0.1503	0.7157
1.7000	3.9989	0.0001	0.0000	0.0000	-1.0121	-0.1279	0.6233	-0.6121	0.0442
1.7250	3.9989	0.0001	0.0000	0.0000	0.3287	0.1973	-0.0180	-0.4283	0.3100
1.7500	3.9989	0.0001	0.0000	0.0000	-0.1686	0.3576	0.3051	0.1278	-0.1050
1.7750	3.9989	0.0001	0.0000	0.0000	1.3675	0.1100	0.4324	0.5990	0.4545
1.8000	3.9989	0.0001	0.0000	0.0000	-1.1986	0.0711	-0.0866	0.6696	-1.0749
1.8250	3.9989	0.0001	0.0000	0.0000	-0.1686	0.0128	0.3002	0.3775	0.1375
1.8500	3.9989	0.0001	0.0000	0.0000	0.0090	-0.5746	0.6233	0.4340	-0.9770
1.8750	3.9989	0.0001	0.0000	0.0000	-0.9145	0.6295	-0.3901	0.4859	-0.4687
1.9000	3.9989	0.0001	0.0000	0.0000	0.0712	-0.8077	0.4421	0.0806	-1.5366
1.9250	3.9989	0.0001	0.0000	0.0000	0.4707	0.0954	0.5400	0.6838	-0.0071
1.9500	3.9989	0.0001	0.0000	0.0000	-1.5183	0.0031	0.1239	0.3869	0.9255
1.9750	3.9989	0.0001	0.0000	0.0000	0.6394	-0.3465	0.3002	0.2550	0.3520
2.0000	3.9989	0.0001	0.0000	0.0000	2.0690	0.3673	-0.2971	-0.3623	0.5991
2.0250	3.9989	0.0001	0.0000	0.0000	0.8437	-0.4387	0.0896	-1.0974	0.2540
2.0500	3.9989	0.0001	0.0000	0.0000	-1.8024	-0.8562	0.6135	-0.6074	1.2659
2.0750	3.9989	0.0001	0.0000	0.0000	-0.4172	-0.8417	-0.0670	-0.9749	-0.7066
2.1000	3.9989	0.0001	0.0000	0.0000	-0.8701	0.2507	0.3932	-0.3246	0.0255
2.1250	3.9989	0.0001	0.0000	0.0000	0.4264	-0.0212	0.4226	0.1984	0.6690
2.1500	3.9989	0.0001	0.0000	0.0000	0.3465	0.4206	-0.3411	-0.2822	-1.7278
2.1750	3.9989	0.0001	0.0000	0.0000	-0.9411	-0.8805	-0.4440	0.6885	0.7110
2.2000	3.9989	0.0001	0.0000	0.0000	1.1367	0.7363	-0.2384	-0.3010	-1.3454
2.2250	3.9989	0.0001	0.0000	0.0000	0.9680	0.4984	0.1680	-0.3293	0.3846
2.2500	3.9989	0.0001	0.0000	0.0000	0.8525	0.3867	0.3541	-0.0560	-0.0864
2.2750	3.9989	0.0001	0.0000	0.0000	0.0889	-0.3853	-0.1013	0.5660	-0.0258
2.3000	3.9989	0.0001	0.0000	0.0000	-0.3462	0.5323	-0.0327	0.0147	-0.8698
2.3250	3.9989	0.0001	0.0000	0.0000	-0.4616	0.5129	0.0946	-0.5649	0.3240
2.3500	3.9989	0.0001	0.0000	0.0000	-1.3584	0.0371	-0.4832	0.5896	0.1981
2.3750	3.9989	0.0001	0.0000	0.0000	0.2310	-0.3027	0.0554	0.2456	-0.7066
2.4000	3.9989	0.0001	0.0000	0.0000	-0.7191	0.7800	0.3198	-0.4471	0.9348
2.4250	3.9989	0.0001	0.0000	0.0000	0.8437	0.6004	0.2463	-0.3576	-0.1890
2.4500	3.9989	0.0001	0.0000	0.0000	0.9769	0.0566	-0.2922	0.2739	0.0908
2.4750	3.9989	0.0001	0.0000	0.0000	-0.3639	0.2265	0.0260	0.7827	-0.6926
2.5000	3.9989	0.0001	0.0000	0.0000	0.1866	0.4984	-0.1698	0.5660	-0.5061
2.5250	3.9989	0.0001	0.0000	0.0000	1.4208	0.4110	0.1043	0.7827	-0.2263
2.5500	3.9989	0.0001	0.0000	0.0000	0.7816	-0.3805	-0.2432	-0.0325	0.3613
2.5750	3.9989	0.0001	0.0000	0.0000	-0.1952	-0.3124	0.1826	0.1655	-0.7345
