testId,depth [m],surge velocity [m/s],sink_m [mm]
T0Z05A01_C2,0.4992000000000001,0.208,0.3996
T0Z05A01_C3,0.4992000000000001,0.333,1.3229
T0Z05A01_C4,0.4992000000000001,0.416,2.0869
T0Z02A02_C2,0.41600000000000004,0.208,0.7148
T0Z02A02_C3,0.41600000000000004,0.333,1.6637
T0Z02A02_C4,0.41600000000000004,0.416,2.6316
T0Z02A03_C2,0.3328,0.208,0.8974
T0Z02A03_C3,0.3328,0.333,2.216
T0Z02A03_C4,0.3328,0.416,3.4494
