# time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
# s 	m 	m 	deg 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
1.7000	0.0025	-0.0001	0.0000	0.0000	-0.0224	-0.0678	0.0355	0.1126	-0.1574	-0.3565	-0.5015	-0.6136	-0.6511	-0.1156	0.6761	-0.3846
1.7500	0.0025	-0.0001	0.0000	0.0000	-0.0236	-0.0180	0.0246	0.0123	-0.0594	-0.1139	-1.1128	-0.7953	-0.0295	-0.8439	0.1080	-0.4081
1.8000	0.0025	-0.0001	0.0000	0.0000	0.0242	0.0187	-0.0486	-0.0131	0.0615	0.3570	0.6922	0.2274	1.8796	-0.2127	-0.0143	-0.0076
1.8500	0.0025	-0.0001	0.0000	0.0000	-0.0700	0.0157	0.0213	-0.1011	-0.0388	0.2535	-1.2889	-0.7443	-1.7166	-0.4166	-0.1808	0.4071
1.9000	0.0025	-0.0001	0.0000	0.0000	-0.0852	0.0014	0.0235	-0.0881	-0.0823	0.0217	-0.7066	-1.3218	-0.7399	-0.3973	0.9404	0.1762
1.9500	0.0025	-0.0001	0.0000	0.0000	-0.0708	0.0181	-0.0311	-0.1069	-0.0348	0.3141	-0.5381	-0.3125	0.5388	0.7244	-0.3228	0.4259
2.0000	0.0025	-0.0001	0.0000	0.0000	-0.0495	0.0119	0.0142	-0.0732	-0.0258	-0.0034	1.0140	0.2358	0.4233	-0.3001	-0.0877	-0.6814
2.0500	0.0025	-0.0001	0.0000	0.0000	0.0032	-0.0150	0.0295	0.0330	-0.0266	-0.7632	0.2045	0.7858	-0.4380	0.1806	0.5242	-0.6390
2.1000	0.0025	-0.0001	0.0000	0.0000	0.0197	-0.0281	-0.0486	0.0755	-0.0362	0.4640	1.0465	-0.3505	0.0148	0.2971	0.3039	0.6380
2.1500	0.0025	-0.0001	0.0000	0.0000	-0.0396	-0.0541	0.0082	0.0681	-0.1474	0.2713	-0.3200	0.4088	0.4144	0.1952	-0.3913	0.3223
2.2000	0.0025	-0.0001	0.0000	0.0000	0.0566	-0.0256	0.0465	0.1076	0.0057	-0.1924	0.2200	-0.5198	-0.8997	0.2923	0.4557	-0.4364
2.2500	0.0025	-0.0001	0.0000	0.0000	-0.0042	0.0093	-0.0371	-0.0227	0.0143	0.1679	-0.6217	0.1952	-0.1539	-0.3924	0.3431	-0.0876
2.3000	0.0025	-0.0001	0.0000	0.0000	-0.0035	0.0444	0.0175	-0.0918	0.0848	0.2535	0.1092	-0.8259	1.5066	-0.3147	-0.8613	-0.1725
2.3500	0.0025	-0.0001	0.0000	0.0000	0.0361	0.0353	-0.0022	-0.0341	0.1062	0.0003	-0.4938	-0.4374	0.1570	-0.6982	-0.3081	-0.9736
2.4000	0.0025	-0.0001	0.0000	0.0000	0.0338	0.0195	-0.0125	-0.0050	0.0726	0.1430	0.1358	-0.4062	0.2369	-0.3535	0.7397	0.4495
2.4500	0.0025	-0.0001	0.0000	0.0000	0.0472	-0.0118	0.0164	0.0707	0.0236	0.0252	-0.8173	-0.3913	-0.7576	0.6564	-1.2921	0.3270
2.5000	0.0025	-0.0001	0.0000	0.0000	0.0180	-0.0054	-0.0382	0.0287	0.0073	-0.3066	-0.2897	-0.9385	-1.4768	-0.1836	0.2941	0.3081
2.5500	0.0025	-0.0001	0.0000	0.0000	-0.0043	-0.0012	0.0251	-0.0020	-0.0067	-0.0426	-1.1258	-0.8082	-1.3436	-0.0573	-0.3913	-0.1631
2.6000	0.0025	-0.0001	0.0000	0.0000	-0.0427	0.0077	0.0339	-0.0579	-0.0274	0.3070	-0.7645	-1.6038	2.2880	0.0058	-0.1955	0.3647
2.6500	0.0025	-0.0001	0.0000	0.0000	-0.0242	0.0564	-0.0502	-0.1365	0.0880	-0.3280	-0.5945	-0.2277	0.4056	0.5593	-0.1955	0.1103
2.7000	0.0025	-0.0001	0.0000	0.0000	-0.0089	0.0325	0.0268	-0.0736	0.0559	-0.1924	-0.6194	-0.7018	-0.1449	-0.1254	-0.3570	0.1480
2.7500	0.0025	-0.0001	0.0000	0.0000	-0.0306	-0.0305	0.0213	0.0300	-0.0913	-0.1746	0.6574	0.4740	-0.6333	0.3069	0.1668	0.3977
2.8000	0.0025	-0.0001	0.0000	0.0000	-0.0167	-0.0136	-0.0519	0.0103	-0.0438	-1.3518	0.2978	1.2153	0.7075	-0.0039	-0.1661	0.0631
2.8500	0.0025	-0.0001	0.0000	0.0000	-0.0127	-0.0088	0.0191	0.0048	-0.0302	-0.0961	1.1552	0.4314	-0.9263	-0.3438	-0.0290	0.9302
2.9000	0.0025	-0.0001	0.0000	0.0000	-0.0304	-0.0602	-0.0147	0.0895	-0.1503	-0.0604	-1.0941	-0.1306	-0.8198	0.0543	0.3578	0.5673
2.9500	0.0025	-0.0001	0.0000	0.0000	0.0410	-0.0519	-0.0508	0.1443	-0.0622	0.2428	1.0754	0.4089	1.1959	-0.4798	-0.4060	0.0302
3.0000	0.0025	-0.0001	0.0000	0.0000	-0.0200	-0.0154	0.0170	0.0106	-0.0506	0.1893	-0.7668	0.5298	-0.4646	0.7195	-0.0192	-0.4081
3.0500	0.0025	-0.0001	0.0000	0.0000	-0.0538	-0.0280	0.0421	0.0019	-0.1096	-0.2174	-0.4430	-1.1742	-1.5301	0.3942	0.1326	-1.1762
3.1000	0.0025	-0.0001	0.0000	0.0000	0.0030	0.0010	-0.0513	0.0010	0.0050	0.2321	-1.0336	0.0698	1.3467	-0.5477	0.6858	-0.2809
3.1500	0.0025	-0.0001	0.0000	0.0000	0.0096	-0.0231	0.0082	0.0555	-0.0363	0.2964	-0.0388	-1.2249	-0.6866	-0.3973	0.2011	0.6003
3.2000	0.0025	-0.0001	0.0000	0.0000	-0.0220	-0.0222	0.0475	0.0221	-0.0661	-0.2709	1.4235	2.4949	1.3645	-0.0185	0.3431	0.1103
3.2500	0.0025	-0.0001	0.0000	0.0000	-0.0419	-0.0159	0.0033	-0.0103	-0.0736	0.1037	1.0036	0.1413	1.1869	0.0447	0.5683	-0.3280
3.3000	0.0025	-0.0001	0.0000	0.0000	-0.0242	-0.0363	0.0066	0.0481	-0.0966	0.8457	-1.3019	-0.7571	0.4677	0.6418	0.0249	0.5768
3.3500	0.0025	-0.0001	0.0000	0.0000	0.0113	0.0067	-0.0464	-0.0021	0.0248	-0.0675	0.7962	0.3301	-1.8942	-0.4312	-0.4452	0.3600
3.4000	0.0025	-0.0001	0.0000	0.0000	0.0220	0.0167	0.0415	-0.0112	0.0553	0.2607	0.2219	0.6625	-0.3137	0.1126	-0.5725	-0.7427
3.4500	0.0025	-0.0001	0.0000	0.0000	-0.0137	0.0177	0.0175	-0.0489	0.0214	0.2286	0.9812	1.2433	0.4944	-0.1884	-0.5920	-0.4316
3.5000	0.0025	-0.0001	0.0000	0.0000	0.0654	0.0539	-0.0497	-0.0419	0.1727	0.0252	-0.3514	-0.6903	0.7253	0.4282	0.2256	-0.1348
3.5500	0.0025	-0.0001	0.0000	0.0000	0.0120	-0.0158	0.0120	0.0435	-0.0196	0.3820	-1.6741	-0.4501	-0.3137	-0.3050	0.1032	-0.1018
3.6000	0.0025	-0.0001	0.0000	0.0000	0.0156	-0.0147	0.0180	0.0448	-0.0136	-0.0711	-0.4430	-1.1742	-1.6545	-0.4409	0.6172	0.6521
3.6500	0.0025	-0.0001	0.0000	0.0000	0.0179	-0.0310	-0.0382	0.0796	-0.0439	-2.0761	-1.7991	-0.3204	0.4144	-0.2564	-0.3620	0.1103
3.7000	0.0025	-0.0001	0.0000	0.0000	0.0261	-0.0382	0.0268	0.1021	-0.0500	-0.2174	-0.6735	-1.5140	0.2013	0.4671	0.5193	-0.1631
3.7500	0.0025	-0.0001	0.0000	0.0000	0.0451	-0.0693	0.0322	0.1831	-0.0929	-0.0568	-1.7453	-0.3236	1.0360	0.7195	0.5683	-0.9029
3.8000	0.0025	-0.0001	0.0000	0.0000	0.0109	-0.0219	-0.0617	0.0544	-0.0326	0.3498	-0.1092	-1.1256	-0.7399	0.0058	-0.4158	0.1197
3.8500	0.0025	-0.0001	0.0000	0.0000	-0.0217	0.0339	0.0312	-0.0892	0.0459	0.1714	-0.6272	0.7800	1.4533	0.1465	0.6075	0.1856
3.9000	0.0025	-0.0001	0.0000	0.0000	-0.0470	0.0627	0.0377	-0.1717	0.0777	-0.1817	1.1059	0.2983	1.3201	-0.5672	0.4410	-0.0406
