# time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
# s 	m 	m 	deg 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
47.1000	7.1214	-0.0001	0.0000	0.3280	0.8453	-0.0827	-0.0699	1.0099	0.6807	-3.2355	0.1850	0.1482	0.2902	0.4476	-0.5676	-1.7652
47.1500	7.1378	-0.0001	0.0000	0.3280	0.8285	-0.0574	0.0339	0.9428	0.7142	-5.1798	0.4418	2.5657	0.8495	0.5156	-0.7095	-1.9820
47.2000	7.1542	-0.0001	0.0000	0.3280	0.8390	-0.0311	-0.0491	0.9009	0.7771	-1.5837	1.2745	-0.3501	-0.6156	-0.6885	-0.2542	-1.7888
47.2500	7.1706	-0.0001	0.0000	0.3260	0.8346	-0.0560	0.0492	0.9461	0.7231	0.9420	-0.2205	-0.5892	-1.6278	0.5010	-0.2102	-1.7652
47.3000	7.1869	-0.0001	0.0000	0.3280	0.8416	-0.0770	0.0159	0.9949	0.6883	0.0360	0.7747	0.1682	1.7552	0.0058	-0.9837	-1.4213
47.3500	7.2033	-0.0001	0.0000	0.3260	0.7649	-0.1001	-0.0076	0.9642	0.5657	1.5593	-0.3672	1.0366	-1.0507	0.6321	0.0738	-1.6898
47.4000	7.2196	-0.0001	0.0000	0.3280	0.8060	-0.0706	0.0170	0.9465	0.6654	1.7732	-0.6832	-1.2145	-1.5568	-0.5575	-0.3570	-1.4919
47.4500	7.2360	-0.0001	0.0000	0.3260	0.8243	-0.1011	-0.0568	1.0255	0.6231	-0.4564	-0.5519	0.9387	0.1392	-0.2856	0.0297	-2.2741
47.5000	7.2523	-0.0001	0.0000	0.3280	0.8499	-0.0505	-0.0098	0.9503	0.7494	-1.1235	-0.2264	-0.8199	0.4144	-0.7468	-0.4452	-1.8689
47.5500	7.2687	-0.0001	0.0000	0.3260	0.8175	-0.1265	0.0366	1.0693	0.5658	-1.5160	0.4056	-0.4489	-0.4735	0.1078	-0.0094	-2.5097
47.6000	7.2850	-0.0001	0.0000	0.3260	0.8646	-0.1067	-0.0022	1.0770	0.6521	0.7316	-0.3075	1.2641	0.0681	-0.1690	0.1130	-1.2516
47.6500	7.3013	-0.0001	0.0000	0.3280	0.7818	-0.0187	0.0557	0.8189	0.7447	0.5068	1.0228	-0.0365	-1.4325	0.7680	-0.6802	-1.5720
47.7000	7.3177	-0.0001	0.0000	0.3260	0.8149	-0.1238	-0.0617	1.0612	0.5686	-0.3244	-1.0717	0.0040	-0.4468	-0.7177	0.1326	-1.5155
47.7500	7.3340	-0.0001	0.0000	0.3260	0.8205	-0.1138	0.0306	1.0468	0.5941	-0.9879	0.7502	0.5093	-0.5179	0.2874	-0.4599	-1.1479
47.8000	7.3503	-0.0001	0.0000	0.3280	0.8020	-0.0517	-0.0688	0.9050	0.6990	-1.4375	-0.3953	1.4867	-1.4768	-0.0767	-0.2102	-2.4862
47.8500	7.3667	-0.0001	0.0000	0.3280	0.7828	-0.0631	0.0066	0.9084	0.6573	-4.2308	1.5425	-0.3386	-1.0329	-0.0039	0.5928	-1.5344
47.9000	7.3831	-0.0001	0.0000	0.3260	0.7861	-0.1436	-0.0590	1.0719	0.5004	-1.8835	0.2532	0.5248	0.9383	0.5739	0.4018	-1.5391
47.9500	7.3994	-0.0001	0.0000	0.3280	0.7926	-0.0762	0.0262	0.9442	0.6410	0.1929	0.4026	-1.1828	-0.4646	-0.5575	-0.3521	-1.3882
48.0000	7.4158	-0.0001	0.0000	0.3280	0.7992	-0.1126	0.0104	1.0233	0.5750	-1.0022	-0.9541	0.5136	-0.7754	0.0786	0.5683	-2.1281
48.0500	7.4322	-0.0001	0.0000	0.3280	0.8194	-0.0687	-0.0306	0.9560	0.6827	-0.3851	0.6718	-0.3829	-0.7843	0.1272	0.9893	-1.8500
48.1000	7.4486	-0.0001	0.0000	0.3280	0.7870	-0.0125	0.0180	0.8119	0.7621	-1.4018	-0.8504	-0.1991	2.5278	-0.7662	-0.7095	-2.0385
48.1500	7.4650	-0.0001	0.0000	0.3280	0.8294	-0.0479	-0.0344	0.9248	0.7340	0.0431	0.0678	-1.2039	-0.9175	0.3699	0.0150	-2.1140
48.2000	7.4814	-0.0001	0.0000	0.3260	0.8410	-0.0896	0.0306	1.0193	0.6626	-0.5777	-1.1497	-1.3096	-0.7310	0.5156	0.6711	-1.6851
48.2500	7.4977	-0.0001	0.0000	0.3280	0.7481	-0.0643	0.0049	0.8760	0.6202	1.0812	-0.7739	-0.4890	-0.9708	0.2631	-0.9347	-2.5239
48.3000	7.5141	-0.0001	0.0000	0.3260	0.8387	-0.0766	-0.0513	0.9912	0.6863	0.6567	-0.1368	0.1399	-1.4858	-0.2079	-0.2591	-1.4165
48.3500	7.5304	-0.0001	0.0000	0.3260	0.8729	-0.0679	0.0049	1.0081	0.7377	1.1597	0.9909	-0.2928	-1.2637	-0.2030	0.1766	-2.2694
48.4000	7.5467	-0.0001	0.0000	0.3260	0.8025	-0.0348	0.0099	0.8719	0.7332	2.0194	0.7156	1.5714	0.9739	0.0398	0.2549	-1.7369
48.4500	7.5630	-0.0001	0.0000	0.3260	0.8472	-0.0806	-0.0235	1.0077	0.6868	-1.7799	0.4334	0.7589	-1.1217	0.4184	-0.2346	-2.6511
48.5000	7.5793	-0.0001	0.0000	0.3260	0.7880	-0.0552	0.0295	0.8979	0.6782	-5.4902	0.7921	1.2815	1.4977	-0.3099	-0.4109	-1.5956
48.5500	7.5956	-0.0001	0.0000	0.3280	0.8586	-0.0757	-0.0382	1.0093	0.7080	-3.2069	0.4842	0.0221	1.5066	-0.2030	0.7054	-2.0951
48.6000	7.6120	-0.0001	0.0000	0.3260	0.8171	-0.0680	0.0055	0.9525	0.6818	-1.0843	-0.3123	0.5850	-0.5090	-0.5720	-0.5284	-1.6427
48.6500	7.6283	-0.0001	0.0000	0.3280	0.7430	-0.0674	-0.0639	0.8771	0.6088	-1.2698	-0.0685	0.5163	-0.7754	0.2485	0.4067	-1.5861
48.7000	7.6447	-0.0001	0.0000	0.3260	0.8290	-0.0830	0.0197	0.9942	0.6638	-1.2948	-0.0768	1.1827	1.8263	-0.4215	0.6026	-2.2176
48.7500	7.6610	-0.0001	0.0000	0.3280	0.8464	-0.1410	0.0262	1.1270	0.5657	0.2393	-0.0127	0.0375	1.1248	-0.5720	-0.9495	-2.0574
48.8000	7.6774	-0.0001	0.0000	0.3280	0.7720	0.0018	0.0273	0.7683	0.7756	0.4283	-1.1101	-0.8771	0.0947	-0.3389	0.1472	-1.9537
48.8500	7.6938	-0.0001	0.0000	0.3260	0.8177	-0.0802	0.0170	0.9772	0.6581	-0.8417	-0.3691	-0.1457	-0.7843	-0.3001	0.3382	-2.1516
48.9000	7.7101	-0.0001	0.0000	0.3260	0.8703	-0.0965	-0.0475	1.0624	0.6782	-0.5313	-0.3721	-0.8793	0.1836	-0.2856	0.1080	-1.6663
48.9500	7.7264	-0.0001	0.0000	0.3280	0.7655	-0.0407	0.0006	0.8465	0.6845	1.4023	-0.5904	0.0575	1.4623	-0.8391	-0.5676	-1.5673
49.0000	7.7428	-0.0001	0.0000	0.3260	0.7390	-0.0822	0.0366	0.9026	0.5754	0.5033	-1.4753	-0.7878	0.9739	-0.6400	0.6075	-1.9160
49.0500	7.7591	-0.0001	0.0000	0.3260	0.8516	-0.0975	-0.0267	1.0456	0.6577	-1.4375	-1.4472	-0.0012	-0.1894	0.2195	-0.1710	-1.7888
49.1000	7.7754	-0.0001	0.0000	0.3280	0.8090	-0.0262	0.0372	0.8612	0.7568	-3.0500	0.6355	0.7335	0.7075	-0.0816	-0.4794	-2.3449
49.1500	7.7918	-0.0001	0.0000	0.3260	0.8466	-0.0633	-0.0038	0.9725	0.7207	-2.9608	0.3179	-0.2264	-0.7754	-0.4117	0.8719	-1.5344
49.2000	7.8081	-0.0001	0.0000	0.3280	0.8003	-0.0848	0.0410	0.9690	0.6316	-0.7525	-1.3713	-0.6851	0.4233	-0.8779	0.1032	-2.0197
49.2500	7.8245	-0.0001	0.0000	0.3260	0.8521	-0.0515	-0.0552	0.9547	0.7496	1.0598	0.2922	0.5633	-0.7132	-0.0865	-0.6361	-1.4401
49.3000	7.8408	-0.0001	0.0000	0.3280	0.8104	-0.0158	0.0131	0.8419	0.7789	-0.5813	0.1117	0.7505	1.2225	0.6127	-0.2591	-2.3966
49.3500	7.8572	-0.0001	0.0000	0.3260	0.8883	-0.0379	-0.0448	0.9637	0.8130	-0.8596	-0.6604	-0.2646	1.5687	0.0835	0.4900	-1.3458
49.4000	7.8735	-0.0001	0.0000	0.3280	0.8377	-0.0576	0.0251	0.9524	0.7230	-2.1509	-1.0256	-0.1753	-0.4912	-0.5575	0.4263	-1.8547
49.4500	7.8899	-0.0001	0.0000	0.3260	0.7714	-0.0584	-0.0065	0.8876	0.6551	-1.9726	-1.0235	-0.6511	0.4411	-0.0622	-0.4990	-1.3929
49.5000	7.9062	-0.0001	0.0000	0.3280	0.8166	-0.0702	0.0131	0.9562	0.6769	-2.1581	-0.9408	0.1051	-0.8464	-0.5380	0.5634	-1.9254
49.5500	7.9226	-0.0001	0.0000	0.3260	0.7793	-0.1363	0.0465	1.0505	0.5082	0.3713	-0.0146	-1.1448	0.7519	0.4330	-0.3570	-1.7369
49.6000	7.9389	-0.0001	0.0000	0.3280	0.7133	-0.0408	0.0246	0.7945	0.6321	0.9456	-1.5657	-0.4835	-1.1395	-0.6594	-0.1220	-1.5107
49.6500	7.9553	-0.0001	0.0000	0.3280	0.7750	-0.1381	0.0120	1.0498	0.5003	-0.4315	-1.2581	-1.2761	0.6009	-0.1884	0.1080	-2.5192
49.7000	7.9717	-0.0001	0.0000	0.3260	0.8022	-0.0980	-0.0579	0.9973	0.6071	-2.0225	-1.4481	0.0260	0.2546	0.4428	0.0200	-1.3694
49.7500	7.9880	-0.0001	0.0000	0.3280	0.7235	-0.1149	-0.0011	0.9521	0.4950	-1.5159	-0.0418	-1.9586	-0.7399	0.0786	-0.0339	-1.0537
49.8000	8.0044	-0.0001	0.0000	0.3260	0.7528	-0.0597	0.0355	0.8717	0.6339	-1.2734	0.0355	0.6190	0.4144	0.3554	0.1668	-2.6511
49.8500	8.0207	-0.0001	0.0000	0.3280	0.7205	-0.1287	-0.0218	0.9766	0.4643	0.2036	1.5567	0.4623	-2.0984	0.2728	0.0640	-1.7558
49.9000	8.0371	-0.0001	0.0000	0.3260	0.7061	-0.0795	0.0000	0.8642	0.5479	0.8565	-0.1423	1.9611	-1.2815	-0.5575	-0.5382	-1.6285
49.9500	8.0534	-0.0001	0.0000	0.3260	0.8044	-0.0962	-0.0399	0.9959	0.6129	0.6459	0.9454	0.2806	1.5244	-0.2613	0.5634	-1.8076
50.0000	8.0697	-0.0001	0.0000	0.3260	0.7896	-0.0728	-0.0044	0.9345	0.6448	-1.4732	-0.7727	-0.9375	-0.9708	-0.7420	0.0150	-1.9443
50.0500	8.0860	-0.0001	0.0000	0.3260	0.7408	-0.0546	-0.0426	0.8495	0.6322	-3.3069	-0.9213	-0.4940	-0.6955	-0.5477	-0.4060	-1.7888
50.1000	8.1023	-0.0001	0.0000	0.3280	0.7776	-0.1180	0.0262	1.0125	0.5428	-2.4863	0.0043	-0.9013	1.6842	-0.0282	0.4802	-1.5861
50.1500	8.1187	-0.0001	0.0000	0.3280	0.7856	-0.0779	-0.0087	0.9405	0.6306	-0.5777	-0.2078	-0.1551	-1.5035	0.0932	0.2598	-2.0197
50.2000	8.1351	-0.0001	0.0000	0.3260	0.7332	-0.0738	-0.0573	0.8801	0.5863	0.9813	-0.1251	-0.6355	-0.8198	-0.6740	0.2402	-1.9678
50.2500	8.1514	-0.0001	0.0000	0.3260	0.7384	-0.0987	0.0180	0.9349	0.5419	1.1098	-0.7325	-0.1109	1.2758	0.5690	0.1766	-1.7888
50.3000	8.1677	-0.0001	0.0000	0.3280	0.8093	-0.0522	-0.0612	0.9133	0.7053	0.8921	1.4707	0.6305	0.2457	0.6661	0.4654	-1.2940
50.3500	8.1841	-0.0001	0.0000	0.3260	0.7752	-0.0142	0.0306	0.8034	0.7470	-0.5314	-0.4270	-0.4277	0.9383	-0.0185	-0.0633	-1.4071
50.4000	8.2004	-0.0001	0.0000	0.3280	0.8501	-0.0838	0.0191	1.0169	0.6834	-0.9451	0.4002	-1.5223	-0.4646	-0.6934	-0.5725	-2.1987
50.4500	8.2168	-0.0001	0.0000	0.3260	0.8233	-0.0433	0.0077	0.9093	0.7372	-0.9309	1.6666	0.7957	-0.7222	-0.3778	0.3774	-1.6616
50.5000	8.2331	-0.0001	0.0000	0.3260	0.7454	-0.0353	0.0443	0.8156	0.6751	-0.8702	1.1989	-0.0875	-0.0029	0.5204	-0.6752	-1.5956
50.5500	8.2494	-0.0001	0.0000	0.3280	0.7826	-0.1145	-0.0338	1.0104	0.5548	-1.9797	0.0919	0.5342	-2.2316	0.5981	0.2501	-1.9490
50.6000	8.2658	-0.0001	0.0000	0.3260	0.8032	-0.1253	-0.0071	1.0526	0.5539	-2.6469	0.4086	0.2847	0.1214	0.0447	0.1913	-1.6663
50.6500	8.2821	-0.0001	0.0000	0.3280	0.7474	-0.0292	-0.0732	0.8056	0.6892	-1.4589	1.6161	1.1112	-0.7132	-0.6594	-0.1612	-2.5569
50.7000	8.2985	-0.0001	0.0000	0.3260	0.8298	-0.0732	0.0175	0.9755	0.6841	-2.7325	-0.0574	-0.6531	0.1658	0.3069	0.0591	-2.0621
50.7500	8.3148	-0.0001	0.0000	0.3280	0.8460	-0.0714	0.0847	0.9880	0.7040	-2.9822	-0.2864	-0.6261	1.3113	0.0786	0.5732	-1.8500
50.8000	8.3312	-0.0001	0.0000	0.3260	0.7868	-0.0731	-0.0147	0.9323	0.6413	0.4497	-0.2633	-0.0975	-0.3847	-0.2030	0.5928	-2.2365
50.8500	8.3475	-0.0001	0.0000	0.3280	0.8159	-0.0358	0.0344	0.8872	0.7447	1.8553	0.5086	-1.5558	0.5388	0.0737	-0.1661	-1.7841
50.9000	8.3639	-0.0001	0.0000	0.3280	0.8297	-0.1102	-0.0688	1.0489	0.6104	0.9670	-1.8514	0.0495	1.0981	0.3748	0.1276	-2.8820
50.9500	8.3803	-0.0001	0.0000	0.3260	0.8036	-0.0149	0.0180	0.8332	0.7740	-0.2923	1.4439	0.6319	-0.0029	-0.0476	-0.0486	-1.6992
51.0000	8.3966	-0.0001	0.0000	0.3260	0.8357	-0.0946	0.0383	1.0239	0.6474	-0.2031	-0.0954	0.5179	0.1658	-0.2418	-0.6557	-1.6285
51.0500	8.4129	-0.0001	0.0000	0.3280	0.8256	-0.0343	-0.0366	0.8937	0.7574	-1.8050	1.6167	0.2686	1.1159	-0.4701	-0.0877	-1.5107
51.1000	8.4293	-0.0001	0.0000	0.3260	0.7720	-0.0689	0.0164	0.9090	0.6350	-3.1213	1.4270	1.1494	-1.1573	0.5836	-0.6018	-1.4495
51.1500	8.4456	-0.0001	0.0000	0.3280	0.8618	-0.0732	-0.0530	1.0075	0.7160	-1.3090	1.2184	0.5500	0.0060	-0.8099	0.0542	-1.4589
51.2000	8.4620	-0.0001	0.0000	0.3260	0.8689	-0.0787	0.0448	1.0256	0.7123	-0.2852	0.3469	1.7695	-0.3580	-0.6788	-0.6557	-2.3825
51.2500	8.4783	-0.0001	0.0000	0.3280	0.7333	-0.0822	0.0661	0.8969	0.5697	-0.8310	-0.2879	-0.9929	-0.0916	0.4040	0.5487	-1.4683
51.3000	8.4947	-0.0001	0.0000	0.3280	0.7895	-0.0906	0.0120	0.9698	0.6093	-2.3115	-0.2886	1.5076	0.0947	-0.2904	0.2501	-1.7747
51.3500	8.5111	-0.0001	0.0000	0.3260	0.7848	-0.1299	0.0257	1.0433	0.5262	-3.8277	0.0236	0.1577	0.6009	-0.4360	-0.8173	-1.7888
51.4000	8.5274	-0.0001	0.0000	0.3280	0.7968	-0.0730	-0.0311	0.9422	0.6515	0.8528	-0.4421	0.0353	-1.9475	-0.4458	-0.3766	-2.0998
51.4500	8.5438	-0.0001	0.0000	0.3260	0.7879	-0.0877	0.0082	0.9624	0.6133	0.0002	2.3872	0.9167	1.7818	0.3942	0.4900	-1.5720
51.5000	8.5601	-0.0001	0.0000	0.3280	0.8159	-0.0889	0.0459	0.9928	0.6390	1.3773	-1.3397	-1.2441	-1.1128	0.3262	-0.4011	-1.7039
51.5500	8.5765	-0.0001	0.0000	0.3260	0.7659	-0.0762	0.0142	0.9176	0.6142	-0.4493	0.3871	1.3595	0.9916	0.8507	0.2549	-2.2176
51.6000	8.5928	-0.0001	0.0000	0.3260	0.8065	-0.0546	0.0470	0.9152	0.6979	-0.6990	-2.6426	0.4490	1.8529	-0.2807	0.5046	-1.6333
51.6500	8.6091	-0.0001	0.0000	0.3260	0.8148	-0.1328	-0.0715	1.0791	0.5504	-0.7953	0.2436	-2.0703	-1.3881	-0.4701	0.1326	-1.0537
51.7000	8.6254	-0.0001	0.0000	0.3280	0.7577	-0.0015	-0.0125	0.7606	0.7548	-3.0358	-0.0478	0.7054	-1.0950	-0.6934	0.4949	-1.2846
51.7500	8.6418	-0.0001	0.0000	0.3260	0.8147	-0.0469	-0.0311	0.9080	0.7214	-3.8384	0.8964	-0.2738	0.5032	0.7195	0.7005	-1.5626
51.8000	8.6581	-0.0001	0.0000	0.3260	0.7917	-0.0109	-0.0431	0.8135	0.7700	0.9420	0.8754	1.1952	0.4677	-0.0622	-0.6312	-1.0584
51.8500	8.6744	-0.0001	0.0000	0.3280	0.8267	-0.0575	0.0732	0.9411	0.7122	3.1932	-0.0861	-0.5970	0.1037	-0.0137	-0.0437	-1.0442
51.9000	8.6908	-0.0001	0.0000	0.3280	0.8015	-0.0203	-0.0437	0.8420	0.7611	-1.6729	-2.0018	-0.6891	-1.2371	-0.6594	0.1864	-2.3684
51.9500	8.7072	-0.0001	0.0000	0.3280	0.7535	-0.0387	0.0077	0.8305	0.6765	-4.0453	-0.8348	-1.5046	-1.0329	-0.5672	0.4900	-1.0914
52.0000	8.7236	-0.0001	0.0000	0.3280	0.7496	-0.0350	-0.0459	0.8193	0.6800	-0.3280	0.6716	1.2749	-0.3048	-0.0185	0.6564	-1.3835
52.0500	8.7400	-0.0001	0.0000	0.3260	0.8210	-0.0780	0.0088	0.9763	0.6656	2.0051	0.8072	0.8186	-0.7576	-0.3438	-1.0180	-1.9725
52.1000	8.7563	-0.0001	0.0000	0.3280	0.6986	-0.0413	0.0186	0.7809	0.6164	-2.3685	0.6642	0.6774	-1.4502	-0.0962	-0.3424	-1.5673
52.1500	8.7727	-0.0001	0.0000	0.3280	0.7596	-0.1195	0.0743	0.9973	0.5219	-2.8574	0.3930	1.5902	0.9117	-0.1205	0.3871	-1.5249
52.2000	8.7891	-0.0001	0.0000	0.3260	0.7268	-0.1354	-0.0612	0.9963	0.4574	2.6545	0.6395	-1.4547	-1.4236	0.4622	0.0396	-1.1008
52.2500	8.8054	-0.0001	0.0000	0.3280	0.7323	-0.0709	0.0650	0.8735	0.5911	1.4130	-0.8241	-0.5948	-1.0507	0.2777	0.1080	-1.5579
52.3000	8.8218	-0.0001	0.0000	0.3260	0.7260	-0.0809	-0.0093	0.8870	0.5649	-3.3747	-0.6864	-0.2903	0.9383	-0.3050	-0.9250	-1.7511
52.3500	8.8381	-0.0001	0.0000	0.3260	0.7848	-0.0938	0.0579	0.9714	0.5981	-3.4317	0.4671	-0.2759	1.1071	-0.8925	0.3774	-1.3129
52.4000	8.8544	-0.0001	0.0000	0.3260	0.7134	-0.0811	-0.0868	0.8748	0.5520	6.1399	1.7493	0.3152	1.1426	-0.1302	0.5683	-1.5107
52.4500	8.8707	-0.0001	0.0000	0.3280	0.7506	-0.1078	-0.0857	0.9652	0.5361	4.2884	-0.1771	-0.6869	-0.9530	-0.0670	-0.2298	-1.4354
52.5000	8.8871	-0.0001	0.0000	0.3260	0.7842	-0.0950	-0.0005	0.9732	0.5953	-5.2084	0.1852	-0.2730	-0.3758	0.6564	-0.3032	-0.8558
52.5500	8.9034	-0.0001	0.0000	0.3260	0.7371	-0.0927	0.1224	0.9215	0.5527	-5.4901	-1.8065	-0.9179	-0.5623	0.1514	-0.1808	-0.9217
52.6000	8.9197	-0.0001	0.0000	0.3280	0.7700	-0.1217	0.0415	1.0123	0.5277	1.0420	-3.8725	-0.5121	-0.9352	0.0106	-0.8173	-1.8217
52.6500	8.9361	-0.0001	0.0000	0.3280	0.7758	-0.1656	-0.0093	1.1054	0.4461	-3.6529	-0.6540	-2.1131	-1.4680	0.0543	-0.2052	-1.4730
52.7000	8.9525	-0.0001	0.0000	0.3280	0.7092	-0.0778	-0.1278	0.8641	0.5543	-6.7495	1.5822	1.3305	1.2225	-0.7225	0.2794	-2.1234
52.7500	8.9689	-0.0001	0.0000	0.3280	0.7253	-0.1144	0.0197	0.9529	0.4976	-1.8763	-0.1981	-0.4546	-0.5800	-0.1059	0.2158	-1.8359
52.8000	8.9853	-0.0001	0.0000	0.3300	0.7969	-0.1217	0.0678	1.0390	0.5548	5.7903	-0.7560	1.4398	0.2990	1.0691	-0.4158	-1.0348
52.8500	9.0018	-0.0001	0.0000	0.3260	0.7331	-0.0807	0.0060	0.8936	0.5725	1.9124	-0.3741	-0.4036	-0.9085	0.3942	0.6222	-1.3552
52.9000	9.0181	-0.0001	0.0000	0.3280	0.6860	-0.1044	0.0033	0.8938	0.4781	-3.1927	1.5367	1.9039	-0.8020	-0.7614	0.0885	-1.1055
52.9500	9.0345	-0.0001	0.0000	0.3260	0.7962	-0.1274	-0.0972	1.0497	0.5427	-2.0332	0.1550	-1.8206	-1.1040	-0.4166	-0.4647	-1.0631
53.0000	9.0508	-0.0001	0.0000	0.3260	0.7002	-0.0971	0.0481	0.8935	0.5069	3.1681	-0.7157	-0.6283	-0.9441	0.2097	0.1423	-1.3552
53.0500	9.0671	-0.0001	0.0000	0.3260	0.7941	-0.1105	0.0847	1.0140	0.5743	3.7068	0.1306	-0.2427	0.3789	0.6516	0.2452	-1.6003
53.1000	9.0834	-0.0001	0.0000	0.3260	0.7677	-0.1205	0.0645	1.0076	0.5278	-1.0022	-1.1861	-2.6664	1.4445	0.3894	-0.1025	-1.8925
53.1500	9.0997	-0.0001	0.0000	0.3260	0.7586	-0.0762	0.0448	0.9102	0.6071	-1.2448	0.6196	1.2236	-2.4891	-0.2515	0.2452	-1.7228
53.2000	9.1160	-0.0001	0.0000	0.3240	0.7386	-0.1554	-0.0437	1.0479	0.4292	3.4286	2.4561	0.4506	-1.4946	-0.7856	-0.2640	-1.4354
53.2500	9.1322	-0.0001	0.0000	0.3260	0.7149	-0.0583	-0.0240	0.8309	0.5988	1.1168	0.6819	1.3695	-0.2781	-0.4798	0.2745	-0.9830
53.3000	9.1485	-0.0001	0.0000	0.3280	0.7462	-0.1132	0.0027	0.9714	0.5209	-11.8796	-1.1216	0.7136	-0.1094	-0.0331	0.3088	-2.2412
53.3500	9.1649	-0.0001	0.0000	0.3280	0.7778	-0.1171	0.0033	1.0108	0.5448	-9.8818	0.2946	0.9028	1.3912	0.5690	0.0934	-2.0056
53.4000	9.1813	-0.0001	0.0000	0.3280	0.7260	-0.0610	0.0213	0.8473	0.6046	3.9174	0.7782	0.0593	0.6454	-0.0767	0.4459	-1.5720
53.4500	9.1977	-0.0001	0.0000	0.3280	0.7553	-0.1011	0.0514	0.9565	0.5541	7.6954	-1.8776	0.4451	-0.0828	-0.7079	-0.3130	-1.2092
53.5000	9.2141	-0.0001	0.0000	0.3260	0.8207	-0.0842	0.0672	0.9883	0.6531	-4.3592	-1.2045	1.6154	-0.6866	-0.4409	-0.0926	-1.8029
53.5500	9.2304	-0.0001	0.0000	0.3260	0.7641	-0.0724	0.0536	0.9082	0.6200	-2.0583	0.0564	0.3868	-0.3847	0.6127	0.1962	-1.4213
53.6000	9.2467	-0.0001	0.0000	0.3260	0.7670	-0.0826	-0.0770	0.9314	0.6025	3.3644	-2.3291	-1.3495	-1.0950	0.3554	-0.2151	-1.3082
53.6500	9.2630	-0.0001	0.0000	0.3260	0.7557	-0.0959	0.0443	0.9465	0.5648	1.2381	-0.7689	-0.2310	-1.6455	-0.3681	-0.3032	-2.2318
53.7000	9.2793	-0.0001	0.0000	0.3260	0.7098	-0.1069	0.0836	0.9225	0.4972	-4.3415	-0.7772	-2.0379	-0.1982	0.3942	-0.1220	-2.0621
53.7500	9.2956	-0.0001	0.0000	0.3260	0.7758	-0.0969	-0.0125	0.9686	0.5830	-1.4946	-1.5600	0.1684	0.4499	-0.4215	-0.0192	-1.7700
53.8000	9.3119	-0.0001	0.0000	0.3280	0.7337	-0.0291	-0.0300	0.7916	0.6758	-0.2280	-0.6064	-0.6890	-1.0241	0.1029	0.0249	-0.9029
53.8500	9.3283	-0.0001	0.0000	0.3260	0.7855	-0.0834	0.0639	0.9514	0.6196	-2.6219	-0.0966	0.9665	-0.3403	0.6078	-0.3325	-1.1196
53.9000	9.3446	-0.0001	0.0000	0.3280	0.8049	-0.1376	-0.0448	1.0788	0.5311	-3.2176	0.2257	0.1323	-0.8109	0.7875	0.5487	-1.5391
53.9500	9.3610	-0.0001	0.0000	0.3280	0.7252	-0.0683	0.0874	0.8612	0.5893	-4.4092	-0.3876	0.4262	-0.5800	-0.8973	0.2501	-1.3364
54.0000	9.3774	-0.0001	0.0000	0.3260	0.8076	-0.0923	-0.0852	0.9912	0.6240	2.3048	-1.0596	-1.1925	-0.5978	-0.3292	0.0885	-1.4778
54.0500	9.3937	-0.0001	0.0000	0.3260	0.7782	-0.0347	-0.0420	0.8471	0.7092	4.6523	0.3002	0.3182	-1.1395	0.8943	-0.4892	-2.4343
54.1000	9.4100	-0.0001	0.0000	0.3280	0.8235	-0.0800	0.0000	0.9828	0.6643	0.5960	1.5304	-0.3787	0.6720	0.5544	0.4606	-2.0668
54.1500	9.4264	-0.0001	0.0000	0.3280	0.8103	-0.0515	0.1355	0.9128	0.7077	-4.5484	-1.3445	2.2079	-1.7699	-0.1933	-0.2738	-1.6569
54.2000	9.4428	-0.0001	0.0000	0.3260	0.7344	-0.0748	-0.0224	0.8832	0.5856	-1.6373	-0.9385	-0.7919	-0.7843	-0.4263	0.3676	-0.8981
54.2500	9.4591	-0.0001	0.0000	0.3280	0.8339	-0.0766	-0.0011	0.9863	0.6814	2.2371	0.7289	1.1629	1.1692	-0.0962	0.2844	-1.5626
54.3000	9.4755	-0.0001	0.0000	0.3260	0.6920	-0.0539	-0.0650	0.7993	0.5848	-1.3269	0.9159	-0.8729	0.7163	-0.2710	-0.9543	-1.3882
54.3500	9.4918	-0.0001	0.0000	0.3260	0.7684	-0.0855	0.0508	0.9385	0.5982	-3.9526	-1.8927	-0.3286	0.6098	0.3020	0.3284	-1.8925
54.4000	9.5081	-0.0001	0.0000	0.3280	0.7827	-0.1136	0.1109	1.0088	0.5566	-0.1960	-1.5492	-1.8162	-1.0241	-0.1933	-0.2444	-2.1610
54.4500	9.5245	-0.0001	0.0000	0.3280	0.7744	-0.0600	-0.0349	0.8938	0.6550	1.3202	-2.4629	0.2890	0.9916	-0.0331	0.1080	-2.1893
54.5000	9.5409	-0.0001	0.0000	0.3260	0.7821	-0.0938	-0.0011	0.9687	0.5955	-2.5184	1.1558	0.8255	1.2135	-0.2807	0.4214	-1.1479
54.5500	9.5572	-0.0001	0.0000	0.3260	0.7554	-0.0205	-0.0808	0.7961	0.7146	-4.0667	0.3365	0.4384	0.6897	0.7729	0.2794	-1.6191
54.6000	9.5735	-0.0001	0.0000	0.3280	0.8235	-0.0810	0.0164	0.9847	0.6623	-1.3697	-0.3659	0.1667	0.1392	-0.4749	-0.0780	-1.7322
