time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	� 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
31.5500	2.2600	-0.0001	0.0100	0.2600	0.9035	0.1980	-0.0409	0.5095	1.2975	-0.9340	-2.1035	-0.7002	0.4266	-0.4297	-0.8022	-1.0703
31.6000	2.2730	-0.0001	0.0100	0.2580	0.8869	0.1983	-0.0360	0.4923	1.2816	-6.2816	-0.3434	1.2900	-1.7399	0.2209	-0.1070	-1.4850
31.6500	2.2859	-0.0001	0.0100	0.2620	0.8749	0.2406	-0.0770	0.3960	1.3538	-1.3014	1.8160	-1.1598	1.5454	-0.0801	0.4708	-1.6830
31.7000	2.2990	-0.0001	0.0100	0.2580	0.8868	0.1884	-0.0551	0.5119	1.2616	-0.8305	2.1475	-0.2143	-0.6922	-0.0170	-0.2539	-1.9798
31.7500	2.3119	-0.0001	0.0100	0.2640	0.9672	0.1804	-0.0699	0.6082	1.3262	-6.0604	-0.1757	-0.5681	-0.8521	-0.5899	0.0252	-0.9903
31.8000	2.3251	-0.0001	0.0100	0.2580	0.9306	0.1823	-0.0633	0.5678	1.2934	-5.9819	-0.5736	0.5289	-0.9763	-0.6045	0.1624	-1.7112
31.8500	2.3380	-0.0001	0.0100	0.2640	0.9180	0.1542	-0.0863	0.6112	1.2248	-5.8285	0.8316	0.2294	2.0693	0.8375	-0.1070	-2.1448
31.9000	2.3512	-0.0001	0.0100	0.2600	0.9079	0.1128	-0.0535	0.6834	1.1325	-4.5692	0.0030	-1.9374	-2.2105	-0.4735	-0.0923	-1.6783
31.9500	2.3642	-0.0001	0.0100	0.2660	0.9910	0.1241	-0.0639	0.7441	1.2380	-6.2138	1.0180	0.2729	-0.7189	-0.7308	-0.4399	-1.4474
32.0000	2.3775	-0.0001	0.0100	0.2600	0.9347	0.0707	-0.0311	0.7941	1.0753	-5.0580	-2.2185	-1.2914	1.1814	0.1141	-0.3322	-2.6537
32.0500	2.3905	-0.0001	0.0100	0.2680	0.9106	0.2159	-0.0458	0.4809	1.3402	-3.6524	-1.4933	1.1669	0.8973	-0.1190	-0.3371	-2.4982
32.1000	2.4039	-0.0001	0.0100	0.2640	0.8994	0.1260	-0.0409	0.6487	1.1501	-6.7525	-2.8897	-1.2795	-0.3547	0.6628	-0.2783	-2.1824
32.1500	2.4171	-0.0001	0.0100	0.2680	0.9936	0.1831	-0.0469	0.6292	1.3581	-6.0818	-1.8825	-1.7187	1.0482	-0.4637	-0.5623	-2.3050
32.2000	2.4305	-0.0001	0.0100	0.2660	0.9660	0.1404	-0.0660	0.6866	1.2453	-1.3014	-0.1462	-0.6513	-0.3193	-0.5802	0.4855	-2.2201
32.2500	2.4438	-0.0001	0.0100	0.2700	1.0113	0.1755	-0.0376	0.6621	1.3604	-5.4682	-0.9684	-0.5354	-1.4825	0.6093	0.3630	-2.3898
32.3000	2.4573	-0.0001	0.0100	0.2660	0.9169	0.1416	-0.0551	0.6350	1.1987	-1.3299	-0.8446	-0.2165	-1.2960	0.0801	-0.2930	-1.3908
32.3500	2.4706	-0.0001	0.0100	0.2720	0.9987	0.1126	-0.0611	0.7746	1.2227	-1.8330	-0.6331	-1.3567	1.2968	-0.4005	0.3190	-1.2400
32.4000	2.4842	-0.0001	0.0100	0.2680	0.9253	0.1072	-0.0726	0.7119	1.1387	-8.6611	0.6978	0.6313	0.9594	0.3811	-0.4301	-1.4049
32.4500	2.4976	-0.0001	0.0100	0.2720	0.9536	0.1925	-0.0475	0.5705	1.3366	-5.6894	-2.2548	-1.4116	-0.0262	0.3423	-0.4937	-1.3814
32.5000	2.5112	-0.0001	0.0100	0.2680	0.9256	0.1317	-0.0436	0.6635	1.1876	-2.5322	-2.0669	-1.0013	-0.7632	-0.2549	-0.5084	-2.6490
32.5500	2.5246	-0.0001	0.0100	0.2740	1.0099	0.1757	-0.0770	0.6602	1.3596	-7.2342	-2.5665	-0.9042	0.2845	0.1820	0.3973	-2.6819
32.6000	2.5383	-0.0001	0.0100	0.2680	0.9943	0.1079	-0.0726	0.7795	1.2090	-5.9071	-0.5864	-2.3787	1.1014	0.4199	0.0351	-1.5981
32.6500	2.5517	-0.0001	0.0100	0.2740	1.0567	0.1425	-0.0573	0.7732	1.3402	-3.6666	0.2430	-0.2390	0.3556	0.0316	-0.4888	-1.7771
32.7000	2.5654	-0.0001	0.0100	0.2700	0.9626	0.1160	-0.0180	0.7319	1.1934	-1.8044	-2.0722	0.3988	-1.3581	0.2354	-0.5966	-2.2342
32.7500	2.5789	-0.0001	0.0100	0.2760	1.0097	0.1929	-0.0218	0.6260	1.3935	-5.1008	-0.5969	0.4215	1.2701	0.1190	-0.3126	-1.8102
32.8000	2.5927	-0.0001	0.0100	0.2720	1.0045	0.1425	-0.0513	0.7210	1.2880	-7.9726	0.5787	-0.2451	-1.5890	0.7307	-0.5867	-1.6499
32.8500	2.6063	-0.0001	0.0100	0.2760	1.0125	0.1985	-0.0944	0.6175	1.4075	-5.3219	-1.0313	-1.0753	1.2258	-0.0558	0.0987	-1.6641
32.9000	2.6201	-0.0001	0.0100	0.2740	1.0129	0.1277	-0.0202	0.7588	1.2670	-1.4619	-1.4851	-0.7363	-0.2571	-0.3520	-0.3273	-1.7536
32.9500	2.6338	-0.0001	0.0100	0.2780	0.9741	0.1750	-0.0535	0.6258	1.3224	-3.5524	-0.8997	0.6565	1.4655	-0.2501	0.1281	-2.6537
33.0000	2.6477	-0.0001	0.0100	0.2760	1.0178	0.1010	-0.0223	0.8169	1.2187	-5.8785	0.1828	0.3760	1.1369	0.1190	-0.1413	-2.9835
33.0500	2.6615	-0.0001	0.0100	0.2800	1.1201	0.1303	-0.0338	0.8608	1.3793	-3.3812	-1.6574	-1.2154	0.6575	0.3714	-0.0286	-1.5558
33.1000	2.6755	-0.0001	0.0100	0.2760	0.9889	0.0934	-0.0469	0.8030	1.1748	2.4623	0.7021	-0.7414	0.0093	-0.5511	-0.5770	-2.0223
33.1500	2.6893	-0.0001	0.0100	0.2800	1.0572	0.2056	-0.0054	0.6482	1.4663	-0.5808	-1.0189	-0.2199	-0.5412	0.3132	-0.4154	-2.4793
33.2000	2.7033	-0.0001	0.0100	0.2760	0.9534	0.1770	0.0334	0.6012	1.3056	-8.3971	-1.0768	-0.5019	-0.0795	0.3277	-0.2539	-2.0317
33.2500	2.7171	-0.0001	0.0100	0.2820	1.0550	0.2148	0.0154	0.6276	1.4823	-2.6249	0.6989	0.1828	-0.2127	0.8327	-0.2392	-1.7442
33.3000	2.7312	-0.0001	0.0100	0.2780	0.9937	0.1010	0.0055	0.7928	1.1946	1.7310	0.6466	-0.6838	-1.0119	-0.0558	-0.1118	-1.6736
33.3500	2.7451	-0.0001	0.0100	0.2820	1.0769	0.1621	0.0421	0.7542	1.3995	-7.4696	0.3027	-0.0115	1.4388	-0.4103	0.3582	-2.1401
33.4000	2.7592	-0.0001	0.0100	0.2780	1.0888	0.1357	0.0492	0.8188	1.3588	-8.7218	-1.8574	-0.4292	0.3733	-0.2355	-0.6259	-1.7677
33.4500	2.7731	-0.0001	0.0100	0.2860	1.0222	0.1681	0.0394	0.6877	1.3567	-4.1126	-0.0670	-1.0228	1.2346	0.3957	-0.3469	-1.6264
33.5000	2.7874	-0.0001	0.0100	0.2800	1.0689	0.0982	0.0077	0.8734	1.2644	-1.9542	2.0719	0.0483	0.1070	0.1820	-0.8119	-2.2626
33.5500	2.8014	-0.0001	0.0100	0.2860	1.1266	0.1179	0.0001	0.8919	1.3613	-3.6667	0.4036	-1.8792	-1.5535	-0.5706	-0.5721	-2.5547
33.6000	2.8157	-0.0001	0.0100	0.2820	1.0641	0.1278	0.0580	0.8098	1.3184	-6.0890	-0.3789	-0.0940	0.7818	-0.4879	0.1672	-2.0458
33.6500	2.8298	-0.0001	0.0100	0.2860	1.0552	0.1886	0.0388	0.6799	1.4305	-4.8867	-2.3514	0.3199	-2.1484	-0.0365	0.3630	-2.0929
33.7000	2.8441	-0.0001	0.0100	0.2820	1.0603	0.1595	0.0323	0.7429	1.3778	5.0667	0.0328	-2.4419	1.3323	0.5947	0.1330	-2.9506
33.7500	2.8582	-0.0001	0.0100	0.2880	1.0982	0.1746	-0.0131	0.7507	1.4457	-0.4095	0.0432	-1.1108	-0.3370	-0.3277	-0.6210	-2.7526
33.8000	2.8726	-0.0001	0.0100	0.2820	1.1219	0.1123	0.0104	0.8984	1.3454	-8.8182	0.7397	0.1668	-1.1894	0.5851	-0.7924	-2.5406
33.8500	2.8867	-0.0001	0.0100	0.2880	1.1147	0.1604	0.0225	0.7955	1.4339	-3.6916	-0.4114	0.4922	0.6397	0.0704	-0.6455	-1.6264
33.9000	2.9011	-0.0001	0.0100	0.2840	1.0671	0.0774	0.0361	0.9131	1.2210	0.7571	-0.9078	-0.3351	0.2845	-0.0073	0.2407	-2.5782
33.9500	2.9153	-0.0001	0.0100	0.2900	1.1201	0.1434	0.0230	0.8347	1.4054	-5.4646	2.1422	-0.0509	-1.1716	-0.0219	0.1477	-2.0882
34.0000	2.9298	-0.0001	0.0100	0.2860	1.1133	0.0619	0.0175	0.9901	1.2365	-9.0857	0.0834	-1.5209	-0.0262	0.4588	-0.1363	-1.4284
34.0500	2.9441	-0.0001	0.0100	0.2920	1.0847	0.1171	0.0312	0.8517	1.3177	-4.0519	1.0195	0.6397	1.0570	-0.1529	0.1770	-2.1589
34.1000	2.9587	-0.0001	0.0100	0.2880	1.0438	0.1229	0.0279	0.7992	1.2884	-1.0374	-2.0938	-0.9997	-1.1273	-0.0704	-0.1559	-1.7630
34.1500	2.9731	-0.0001	0.0100	0.2920	1.0999	0.1339	0.0072	0.8334	1.3664	-5.6966	-0.3796	-1.7248	1.4833	-0.3277	-0.5182	-2.1966
34.2000	2.9877	-0.0001	0.0100	0.2880	1.0940	0.0716	0.0044	0.9514	1.2365	-6.2781	1.5480	0.0654	-0.0528	-0.3909	-0.1363	-2.1589
34.2500	3.0021	-0.0001	0.0100	0.2940	1.1818	0.1272	0.0279	0.9286	1.4349	-3.2099	1.1140	0.6207	-0.3015	0.5268	-0.1902	-1.9563
34.3000	3.0168	-0.0001	0.0100	0.2880	1.1649	0.0932	0.0214	0.9795	1.3503	0.7678	-0.9096	-0.2806	2.0161	-0.0607	0.2064	-2.1259
34.3500	3.0312	-0.0001	0.0100	0.2940	1.1822	0.1501	0.0317	0.8835	1.4809	0.9568	2.3067	0.2521	-0.0085	0.5996	0.0693	-1.8620
34.4000	3.0459	-0.0001	0.0100	0.2900	1.1250	0.0435	0.0263	1.0385	1.2116	-6.7846	0.0166	-1.5305	-1.7932	0.0024	-0.6455	-2.6348
34.4500	3.0604	-0.0001	0.0100	0.2940	1.1251	0.1830	0.0110	0.7610	1.4892	-4.6691	0.3154	0.4227	-0.8787	-0.1772	-0.6602	-3.2756
34.5000	3.0751	-0.0001	0.0100	0.2900	1.1488	0.1292	0.0104	0.8918	1.4058	0.1506	-1.5921	-0.3359	-1.2782	-0.7356	-0.0775	-2.3003
34.5500	3.0896	-0.0001	0.0100	0.2960	1.1874	0.0840	0.0312	1.0202	1.3546	-3.9413	0.1107	-0.7070	0.9504	0.3325	-0.0874	-1.5652
34.6000	3.1044	-0.0001	0.0100	0.2920	1.1287	0.0558	0.0481	1.0177	1.2398	-9.0464	1.3016	0.2156	-1.2872	0.3520	-0.2832	-2.2437
34.6500	3.1190	-0.0001	0.0100	0.2980	1.2195	0.1201	0.0443	0.9805	1.4584	-7.3233	-0.0706	-2.1505	-0.5235	0.4006	0.1330	-1.9280
34.7000	3.1339	-0.0001	0.0100	0.2920	1.2238	0.1336	0.0574	0.9580	1.4896	-3.1351	0.4141	0.6887	0.3290	-0.3569	-0.1706	-1.6593
34.7500	3.1485	-0.0001	0.0100	0.2980	1.2572	0.1160	-0.0070	1.0263	1.4882	-3.3955	-1.9381	-0.4244	-0.4436	0.1190	-0.1021	-1.9186
34.8000	3.1634	-0.0001	0.0100	0.2960	1.2028	0.1625	-0.0486	0.8794	1.5261	-8.3936	-0.5613	-1.0891	0.6309	0.1577	0.0155	-2.7573
34.8500	3.1782	-0.0001	0.0100	0.3000	1.1900	0.1331	-0.0486	0.9251	1.4548	-5.0009	0.3822	0.4323	0.8706	0.8424	0.7449	-2.0882
34.9000	3.1932	-0.0001	0.0100	0.2940	1.2349	0.1490	-0.0442	0.9384	1.5313	2.0806	-1.2523	-1.2935	-0.9497	-0.3131	-0.3665	-2.6395
34.9500	3.2079	-0.0001	0.0100	0.3000	1.2517	0.1314	-0.0234	0.9901	1.5132	-2.7426	-1.0461	-1.0337	1.4388	-1.0512	-0.4399	-2.0788
35.0000	3.2229	-0.0001	0.0100	0.2960	1.2409	0.1279	-0.0103	0.9863	1.4956	-3.9771	-0.2175	1.1331	-1.7045	0.5073	-0.4644	-2.0458
35.0500	3.2377	-0.0001	0.0100	0.3000	1.2507	0.0994	-0.0131	1.0530	1.4485	-1.9400	0.3095	0.1920	0.7374	-0.3277	0.4414	-2.5782
35.1000	3.2527	-0.0001	0.0100	0.2980	1.1586	0.0459	0.0181	1.0673	1.2499	-3.0031	-0.8467	-2.2140	1.4211	0.9055	-0.1021	-2.2626
35.1500	3.2676	-0.0001	0.0100	0.3000	1.1912	0.1578	0.0552	0.8772	1.5052	-5.8464	-0.3933	0.7629	-0.2571	0.0995	-0.0874	-2.8846
35.2000	3.2826	-0.0001	0.0100	0.2980	1.1447	0.0657	0.0459	1.0140	1.2755	-6.7276	-0.1954	0.4524	-1.4647	0.2258	0.0644	-2.0741
35.2500	3.2975	-0.0001	0.0100	0.3040	1.1954	0.1299	-0.0382	0.9368	1.4539	-6.0498	-0.4607	0.3592	-0.1772	-0.1627	-0.6308	-2.7291
35.3000	3.3127	-0.0001	0.0100	0.2980	1.2453	0.0740	0.0530	1.0979	1.3926	-4.1483	0.0556	-1.4920	-0.7011	-0.3861	0.2750	-2.3804
35.3500	3.3276	-0.0001	0.0100	0.3060	1.2642	0.1288	0.0372	1.0079	1.5206	-1.0731	-1.5977	-0.9879	-0.0706	-0.0316	-0.1853	-1.9092
35.4000	3.3429	-0.0001	0.0100	0.3000	1.2786	0.0760	0.0317	1.1274	1.4298	-1.9828	-0.7889	0.9626	-0.3814	-0.0850	-0.8511	-2.6207
35.4500	3.3579	-0.0001	0.0100	0.3040	1.2742	0.0287	0.0367	1.2171	1.3312	-3.3134	-0.3402	0.3658	-1.3226	-0.1432	-0.3419	-2.4086
35.5000	3.3731	-0.0001	0.0100	0.3000	1.2267	0.0662	0.0115	1.0950	1.3584	0.3469	-0.5078	-1.9076	-1.5180	0.6822	-0.0139	-2.2673
35.5500	3.3881	-0.0001	0.0100	0.3060	1.1964	0.0602	0.0268	1.0766	1.3163	0.5894	0.7545	0.1252	-0.7189	0.8084	0.1624	-2.3191
35.6000	3.4034	-0.0001	0.0100	0.3000	1.2231	0.1438	0.0416	0.9369	1.5093	-3.1637	-0.0352	0.8915	-0.6922	-0.1481	-0.2049	-3.1862
35.6500	3.4184	-0.0001	0.0100	0.3060	1.2400	0.0612	-0.0349	1.1182	1.3617	-3.3027	0.9636	-0.1180	0.5243	0.5899	-0.2440	-2.1589
35.7000	3.4337	-0.0001	0.0100	0.3020	1.2240	0.0685	-0.0393	1.0877	1.3603	-2.9924	0.9433	0.5083	-0.9497	0.2549	-0.3566	-1.7914
35.7500	3.4488	-0.0001	0.0100	0.3080	1.2778	0.0559	-0.0420	1.1666	1.3890	-4.9580	-1.0115	-0.8591	1.3146	0.8473	-0.1461	-2.1401
35.8000	3.4642	-0.0001	0.0100	0.3040	1.2701	0.1120	-0.0639	1.0473	1.4929	-8.1331	-0.7143	-0.5095	0.7018	-0.5560	0.0105	-2.3097
35.8500	3.4794	-0.0001	0.0100	0.3080	1.2586	0.0999	-0.0573	1.0599	1.4574	-6.2317	0.3588	-0.9116	-0.1151	-0.1967	-0.7826	-2.8516
35.9000	3.4948	-0.0001	0.0100	0.3060	1.3091	0.0516	-0.0349	1.2065	1.4117	-0.9268	0.1210	-0.6124	-0.9941	-0.2258	-0.1363	-2.2248
35.9500	3.5101	-0.0001	0.0100	0.3100	1.2458	0.0578	0.0454	1.1308	1.3607	-0.2561	0.7220	0.7114	1.1902	-0.1772	-0.2196	-3.2333
36.0000	3.5256	-0.0001	0.0100	0.3060	1.2935	0.0705	0.0530	1.1531	1.4338	-3.2457	-1.7664	-0.3394	0.3645	0.0024	-0.7336	-2.3144
36.0500	3.5409	-0.0001	0.0100	0.3100	1.2166	0.1311	0.0629	0.9556	1.4775	-1.0588	0.6771	0.4423	-1.8820	-0.1870	-0.4007	-2.3851
36.1000	3.5564	-0.0001	0.0100	0.3040	1.3010	0.1220	0.0487	1.0582	1.5437	-0.0706	-0.2348	-1.6382	-0.7189	0.2258	0.1525	-2.9081
36.1500	3.5716	-0.0001	0.0100	0.3100	1.2997	0.1057	0.0192	1.0894	1.5101	-1.1123	1.0984	0.6895	0.0537	0.4442	0.4414	-2.3238
36.2000	3.5871	-0.0001	0.0100	0.3060	1.3492	0.0962	0.0328	1.1577	1.5406	-2.0649	-1.1321	-0.8656	-0.3193	-0.2064	-0.8952	-1.9139
36.2500	3.6024	-0.0001	0.0100	0.3100	1.3569	0.0266	0.0175	1.3040	1.4098	-4.9438	0.9651	0.2488	1.8829	-0.1821	0.1770	-2.0270
36.3000	3.6179	-0.0001	0.0100	0.3060	1.2609	0.1145	0.0399	1.0330	1.4888	-4.9867	-0.4154	-1.4509	-1.8021	-0.3715	-0.5818	-2.7856
36.3500	3.6332	-0.0001	0.0100	0.3120	1.2976	0.0665	0.0044	1.1652	1.4299	-7.7871	0.8280	0.3384	-0.7099	-0.7502	-0.2440	-2.1448
36.4000	3.6488	-0.0001	0.0100	0.3080	1.2812	0.0348	0.0541	1.2120	1.3504	-6.3422	-0.0036	0.3325	1.0393	-0.2744	-0.7043	-2.3662
36.4500	3.6642	-0.0001	0.0100	0.3140	1.2762	0.0334	-0.0081	1.2097	1.3428	-6.7097	-0.6624	-1.6947	1.1902	0.4491	0.1330	-3.7186
36.5000	3.6799	-0.0001	0.0100	0.3100	1.3641	0.0913	-0.0316	1.1824	1.5457	-5.5325	0.2305	-1.0945	-1.2427	0.3035	0.4855	-2.7950
36.5500	3.6954	-0.0001	0.0100	0.3140	1.2735	0.0503	0.0246	1.1734	1.3736	-2.2290	-0.8845	-0.2277	1.5632	0.4248	-0.0678	-3.3181
36.6000	3.7111	-0.0001	0.0100	0.3100	1.3591	0.0681	0.0383	1.2236	1.4945	0.9818	0.1802	1.6943	1.7940	0.2403	0.3435	-2.9788
36.6500	3.7266	-0.0001	0.0100	0.3140	1.3016	0.0675	0.0476	1.1673	1.4358	-0.6378	0.2240	-1.7193	1.5543	0.8230	-0.4888	-2.6019
36.7000	3.7423	-0.0001	0.0100	0.3100	1.2979	0.0380	0.0601	1.2223	1.3734	-2.8319	-0.3568	-0.7749	0.0004	-0.4928	0.0693	-3.0400
36.7500	3.7578	-0.0001	0.0100	0.3160	1.3181	0.0479	0.0388	1.2229	1.4133	-1.0338	0.1092	1.3995	-1.6867	-0.0704	0.6470	-2.3473
36.8000	3.7736	-0.0001	0.0100	0.3100	1.2886	0.0563	0.0405	1.1767	1.4006	-1.4726	0.8470	0.5818	0.9860	0.0316	0.2456	-2.0317
36.8500	3.7891	-0.0001	0.0100	0.3140	1.3105	0.0193	0.0449	1.2721	1.3489	-4.1197	1.8940	0.1539	0.7995	-0.0947	-0.2097	-1.7395
36.9000	3.8048	-0.0001	0.0100	0.3120	1.3262	0.0291	0.0274	1.2684	1.3840	-7.2305	-0.8964	-1.9257	-0.1061	-0.5025	-0.7043	-2.2955
36.9500	3.8204	-0.0001	0.0100	0.3160	1.3257	-0.0351	-0.0251	1.3955	1.2559	-4.7333	-1.1137	0.2205	-1.1450	-0.5122	-0.2881	-2.7432
37.0000	3.8362	-0.0001	0.0100	0.3140	1.3389	0.0730	-0.0158	1.1935	1.4842	-1.6153	-2.0920	-1.0542	-1.2161	-0.2161	0.1134	-2.8091
37.0500	3.8519	-0.0001	0.0100	0.3180	1.2628	0.0133	-0.0382	1.2364	1.2892	-2.4501	0.4345	0.0623	0.7818	-0.3131	-0.3811	-2.6725
37.1000	3.8678	-0.0001	0.0100	0.3120	1.4169	0.0284	0.0623	1.3603	1.4735	-2.3610	-0.5181	-0.7655	-0.0352	0.2646	0.0889	-3.5254
37.1500	3.8834	-0.0001	0.0100	0.3200	1.3511	0.0220	0.0667	1.3072	1.3949	-2.3431	0.0123	-0.1576	0.1158	0.3909	-0.6650	-2.5029
37.2000	3.8994	-0.0001	0.0100	0.3140	1.4329	0.0202	0.0569	1.3927	1.4731	-2.0898	1.1681	1.4329	1.3855	-0.3083	0.1182	-2.5971
37.2500	3.9151	-0.0001	0.0100	0.3180	1.3404	0.0631	0.0738	1.2149	1.4659	-3.1672	1.4103	-0.2391	-1.7045	-0.2889	-0.3419	-2.4039
37.3000	3.9310	-0.0001	0.0100	0.3140	1.4362	0.1003	0.0607	1.2367	1.6358	-0.6378	2.4456	-1.1286	-1.0651	-0.6142	0.6177	-2.9694
37.3500	3.9467	-0.0001	0.0100	0.3180	1.4030	0.0399	0.0378	1.3235	1.4825	-0.8590	-0.4177	-0.5539	-0.6123	0.5947	-0.5182	-2.4039
37.4000	3.9626	-0.0001	0.0100	0.3140	1.4056	-0.0314	0.0574	1.4682	1.3431	-0.8126	-0.1147	1.6843	-0.3547	0.2307	-0.9687	-3.4924
37.4500	3.9783	-0.0001	0.0100	0.3200	1.4528	0.0161	0.0476	1.4209	1.4848	-3.8807	0.1408	0.8405	0.8440	0.5413	0.1477	-2.4133
37.5000	3.9943	-0.0001	0.0100	0.3160	1.3989	0.0122	0.0230	1.3746	1.4232	-6.6705	1.1055	0.4716	0.3290	-0.4005	0.2211	-1.9092
37.5500	4.0101	-0.0001	0.0100	0.3200	1.4802	0.0292	0.0481	1.4221	1.5382	-5.5823	-0.0430	-0.5213	-0.2216	-0.0268	0.0791	-2.5735
37.6000	4.0261	-0.0001	0.0100	0.3180	1.4286	-0.0022	0.0154	1.4330	1.4243	-3.5061	1.4494	1.0359	-0.9675	-0.1384	-0.5035	-2.7007
37.6500	4.0420	-0.0001	0.0100	0.3220	1.4974	0.0530	-0.0049	1.3919	1.6029	-2.8675	-0.3787	-0.5154	0.9771	0.7404	-0.6553	-2.8657
37.7000	4.0581	-0.0001	0.0100	0.3160	1.4342	0.0747	-0.0256	1.2855	1.5828	-5.0615	-0.0369	-0.7120	-0.0352	-0.2695	0.3679	-1.9092
37.7500	4.0739	-0.0001	0.0100	0.3220	1.4848	0.0547	-0.0278	1.3760	1.5936	-0.5522	-0.5433	-0.8183	-1.0474	-0.2549	-0.1608	-2.0646
37.8000	4.0900	-0.0001	0.0100	0.3160	1.3913	0.0435	0.0711	1.3047	1.4778	0.2897	-0.6886	-0.0625	-0.5945	0.5754	-0.6650	-2.6395
37.8500	4.1058	-0.0001	0.0100	0.3220	1.4171	-0.0642	0.0880	1.5449	1.2893	-1.4298	-1.0916	-1.6969	2.1315	0.5559	-0.6504	-2.6819
37.9000	4.1219	-0.0001	0.0100	0.3160	1.3701	0.0374	0.0809	1.2956	1.4445	-0.9981	0.8295	0.7052	1.8562	-0.7647	0.2211	-3.1155
37.9500	4.1377	-0.0001	0.0100	0.3220	1.4143	-0.0285	0.0678	1.4709	1.3576	-0.2596	0.8747	0.5531	-1.8287	0.0995	0.2504	-3.1578
38.0000	4.1538	-0.0001	0.0100	0.3180	1.4670	0.0709	0.0662	1.3259	1.6081	-1.8044	-2.1461	-0.6297	0.1336	-0.1286	-0.3713	-2.2060
38.0500	4.1697	-0.0001	0.0100	0.3220	1.5052	0.0049	0.0394	1.4954	1.5150	-5.9712	1.1917	-0.1177	-0.3281	0.0218	-0.1021	-2.0552
38.1000	4.1858	-0.0001	0.0100	0.3180	1.3867	0.0272	0.0487	1.3326	1.4408	-8.9536	0.6738	-1.1067	1.1014	-0.3763	0.7596	-2.4651
38.1500	4.2017	-0.0001	0.0100	0.3260	1.4656	-0.0162	0.0563	1.4978	1.4333	-3.3242	-0.2963	-0.5746	-0.3725	0.3909	-1.1106	-2.6113
38.2000	4.2180	-0.0001	0.0100	0.3180	1.4481	0.0149	0.0541	1.4185	1.4777	-0.2775	1.0059	1.4695	1.3855	-0.4200	-0.6650	-2.1211
38.2500	4.2339	-0.0001	0.0100	0.3260	1.5306	-0.0073	0.0520	1.5451	1.5162	-2.8889	-0.3072	-2.2998	0.5509	0.3909	-0.0775	-2.5735
38.3000	4.2502	-0.0001	0.0100	0.3180	1.4082	0.0222	0.0465	1.3641	1.4523	-4.0983	-1.5206	-0.8837	-0.0884	0.0510	-0.2244	-2.6348
38.3500	4.2661	-0.0001	0.0100	0.3260	1.5105	-0.0075	0.0569	1.5253	1.4957	-0.3524	-1.3537	-0.2411	-0.7988	-0.7113	0.3043	-2.2767
38.4000	4.2824	-0.0001	0.0100	0.3200	1.4540	0.0180	0.0503	1.4181	1.4899	-0.3917	-0.0577	0.7569	0.6841	-0.4832	0.0791	-2.0646
38.4500	4.2984	-0.0001	0.0100	0.3240	1.4855	-0.0598	0.0334	1.6045	1.3665	-3.3706	-0.5276	-0.8873	-1.8909	0.3617	0.0204	-2.3992
38.5000	4.3146	-0.0001	0.0100	0.3200	1.4760	0.0765	0.0623	1.3238	1.6282	-4.6228	-0.8972	-1.8985	0.8706	0.4296	-0.5231	-2.3097
38.5500	4.3306	-0.0001	0.0100	0.3260	1.4213	-0.0339	0.0481	1.4888	1.3538	-0.3738	-0.1081	-0.5855	-0.8076	0.2840	-0.4595	-2.6866
38.6000	4.3469	-0.0001	0.0100	0.3200	1.4934	0.0066	0.0754	1.4803	1.5065	-1.7402	-1.4756	0.6221	0.5420	0.2451	0.3729	-3.0589
38.6500	4.3629	-0.0001	0.0100	0.3260	1.5572	-0.0113	0.0607	1.5797	1.5348	-3.7023	0.5695	0.4486	0.1336	-0.2452	0.1182	-2.9506
38.7000	4.3792	-0.0001	0.0100	0.3200	1.4103	0.0306	0.0454	1.3495	1.4712	-3.3491	-0.1364	-0.9509	1.9716	-0.0365	-0.4301	-3.2898
38.7500	4.3952	-0.0001	0.0100	0.3260	1.4843	0.0302	0.0498	1.4243	1.5443	-0.6592	-0.2072	-0.0090	-0.2216	-0.5220	0.0693	-2.4935
38.8000	4.4115	-0.0001	0.0100	0.3220	1.4326	-0.0324	0.0481	1.4970	1.3682	-0.8947	0.4263	1.9653	0.1691	0.1287	0.1770	-1.8855
38.8500	4.4276	-0.0001	0.0100	0.3260	1.4939	-0.0494	0.0001	1.5923	1.3956	-3.2564	1.0877	-0.2203	-1.0208	-0.1627	-0.0335	-3.2333
38.9000	4.4439	-0.0001	0.0100	0.3220	1.4391	-0.0284	0.0301	1.4956	1.3827	-5.1257	0.2884	-2.0492	0.0093	0.6870	0.3386	-2.8846
38.9500	4.4600	-0.0001	0.0100	0.3260	1.4541	0.0019	0.0388	1.4503	1.4579	0.3682	-0.3406	-0.4497	-0.7721	0.0947	-0.0923	-2.8657
39.0000	4.4763	-0.0001	0.0100	0.3220	1.4809	-0.0251	-0.0245	1.5308	1.4311	0.1720	-0.6296	-1.4656	-1.4114	0.9832	0.5198	-2.2060
39.0500	4.4924	-0.0001	0.0100	0.3280	1.5757	-0.0005	-0.0021	1.5767	1.5747	-4.8510	0.1949	1.6527	-0.9320	-0.3326	0.7107	-1.9798
