time 	x0 	y0 	psi 	u 	heave 	trim 	roll 	z_VF 	z_VA 	X 	Y 	N 	WG1 	WG2 	WG3 	WG4 	
s 	m 	m 	� 	m/s 	mm 	mm/m 	Nm 	mm 	mm 	N 	N 	Nm 	mm 	mm 	mm 	mm 	
1.7000	0.0041	-0.0001	0.0100	0.0000	0.0338	-0.0151	-0.0447	0.0638	0.0038	0.3004	0.7137	1.3778	0.2845	-0.6385	0.1085	-0.1657
1.7500	0.0041	-0.0001	0.0100	0.0000	-0.0132	0.0185	-0.0513	-0.0501	0.0237	-0.3203	-0.6372	-0.4052	-0.7898	0.7792	-0.4154	-0.5332
1.8000	0.0041	-0.0001	0.0100	0.0000	-0.0583	-0.0449	0.0137	0.0311	-0.1477	0.3539	1.3329	0.0779	0.0537	0.1480	-0.3273	-0.3823
1.8500	0.0041	-0.0001	0.0100	0.0000	0.0152	-0.0018	-0.0573	0.0187	0.0118	-0.0492	-0.9123	-1.4356	0.8883	0.2549	0.4463	0.4800
1.9000	0.0041	-0.0001	0.0100	0.0000	0.0711	0.0222	-0.0475	0.0269	0.1152	-0.1527	0.2711	0.5475	0.4444	-0.6724	0.1868	-0.1326
1.9500	0.0041	-0.0001	0.0100	0.0000	-0.0170	0.0549	-0.0174	-0.1264	0.0923	0.4039	0.2638	1.1866	-0.2660	0.3520	-0.2783	-0.7075
2.0000	0.0041	-0.0001	0.0100	0.0000	0.0221	0.0353	0.0154	-0.0483	0.0924	-0.4309	-0.6198	-0.5285	1.2080	0.0558	0.1672	0.5978
2.0500	0.0041	-0.0001	0.0100	0.0000	-0.0253	0.0179	0.0328	-0.0610	0.0104	0.3718	1.4889	0.2319	-0.2838	0.6773	0.5931	-0.1514
2.1000	0.0041	-0.0001	0.0100	0.0000	-0.0035	-0.0179	0.0476	0.0323	-0.0392	0.1863	-0.7052	-1.2030	-1.2339	-0.3909	-0.8022	0.4235
2.1500	0.0041	-0.0001	0.0100	0.0000	0.0225	0.0243	0.0306	-0.0258	0.0708	-0.0064	0.3314	1.1691	-0.8254	0.5656	0.1427	0.6166
2.2000	0.0041	-0.0001	0.0100	0.0000	0.0059	-0.0461	0.0449	0.0977	-0.0859	0.0721	-0.3387	0.7326	0.4532	0.6676	0.4659	0.6448
2.2500	0.0041	-0.0001	0.0100	0.0000	0.0578	-0.0091	0.0334	0.0759	0.0398	-0.0314	0.1185	-0.9521	1.4122	0.6239	-0.2244	-0.1798
2.3000	0.0041	-0.0001	0.0100	0.0000	-0.0782	-0.0217	0.0388	-0.0350	-0.1214	0.2897	1.3944	0.2510	0.8084	-0.1142	0.0008	-0.2174
2.3500	0.0041	-0.0001	0.0100	0.0000	0.0080	-0.0475	0.0449	0.1027	-0.0866	-0.3239	-1.0689	-0.7469	0.2934	-0.7987	0.7057	-0.5614
2.4000	0.0041	-0.0001	0.0100	0.0000	0.0123	-0.0169	0.0290	0.0460	-0.0213	-0.1776	-0.4852	0.7003	-0.0706	0.6482	-0.6161	-0.6604
2.4500	0.0041	-0.0001	0.0100	0.0000	0.0006	0.0415	0.0263	-0.0820	0.0832	0.0222	0.6056	0.9900	-1.8287	0.9347	-0.2783	0.5082
2.5000	0.0041	-0.0001	0.0100	0.0000	-0.0386	0.0510	0.0323	-0.1400	0.0628	0.1256	1.4003	0.4817	0.7018	0.1433	0.6862	-0.8206
2.5500	0.0041	-0.0001	0.0100	0.0000	-0.0334	-0.0049	0.0186	-0.0236	-0.0431	-0.2169	1.0458	0.2441	-0.3814	-0.6919	-0.2783	0.2396
2.6000	0.0041	-0.0001	0.0100	0.0000	0.0015	-0.0337	0.0104	0.0686	-0.0655	0.0721	-0.0220	0.4831	-0.0884	-0.3715	0.0399	0.5035
2.6500	0.0041	-0.0001	0.0100	0.0000	-0.0046	-0.0394	0.0225	0.0738	-0.0830	-0.2882	-1.0730	0.2046	1.2968	-0.5074	-0.0825	-0.2976
